GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:06:17 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28509
MAX SAMPLE COUNT,43048185

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.120,42326462,0.122,43038755,-0.002,0.116,0.128
2001-009,2001-01-09,2001-01-16,STD,0.120,42204849,0.122,43040869,-0.002,0.114,0.127
2001-017,2001-01-17,2001-01-24,STD,0.122,42181933,0.121,43045240,0.001,0.117,0.125
2001-025,2001-01-25,2001-02-01,STD,0.116,40752131,0.122,43045987,-0.006,0.113,0.128
2001-033,2001-02-02,2001-02-09,STD,0.124,41048917,0.123,43046224,0.001,0.115,0.130
2001-041,2001-02-10,2001-02-17,STD,0.122,42322533,0.125,43047465,-0.003,0.118,0.130
2001-049,2001-02-18,2001-02-25,STD,0.125,42682548,0.124,43047744,0.001,0.116,0.132
2001-057,2001-02-26,2001-03-05,STD,0.123,41986144,0.126,43048081,-0.003,0.112,0.133
2001-065,2001-03-06,2001-03-13,STD,0.126,42996185,0.127,43047757,-0.001,0.118,0.137
2001-073,2001-03-14,2001-03-21,STD,0.127,42948409,0.128,43048177,-0.001,0.113,0.139
2001-081,2001-03-22,2001-03-29,STD,0.128,42880267,0.128,43048121,0.000,0.104,0.140
2001-089,2001-03-30,2001-04-06,STD,0.126,42809807,0.130,43048177,-0.004,0.112,0.142
2001-097,2001-04-07,2001-04-14,STD,0.124,42858250,0.130,43048185,-0.006,0.117,0.143
2001-105,2001-04-15,2001-04-22,STD,0.124,42948793,0.130,43048185,-0.006,0.121,0.141
2001-113,2001-04-23,2001-04-30,STD,0.120,42996442,0.129,43048185,-0.009,0.120,0.142
2001-121,2001-05-01,2001-05-08,STD,0.121,42851465,0.127,43048185,-0.006,0.113,0.139
2001-129,2001-05-09,2001-05-16,STD,0.119,42988777,0.125,43048185,-0.006,0.115,0.136
2001-137,2001-05-17,2001-05-24,STD,0.117,42387154,0.123,43048185,-0.006,0.114,0.132
2001-145,2001-05-25,2001-06-01,STD,0.115,43040679,0.120,43048185,-0.005,0.111,0.129
2001-153,2001-06-02,2001-06-09,STD,0.114,43043452,0.119,43048185,-0.005,0.112,0.125
2001-161,2001-06-10,2001-06-17,STD,0.112,42983102,0.117,43048185,-0.005,0.109,0.124
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.117,43048185,#N/A,0.110,0.122
2001-177,2001-06-26,2001-07-03,STD,0.118,20377020,0.116,43048185,0.002,0.110,0.121
2001-185,2001-07-04,2001-07-11,STD,0.112,43043675,0.115,43048185,-0.003,0.109,0.120
2001-193,2001-07-12,2001-07-19,STD,0.111,43040662,0.114,43048185,-0.003,0.107,0.119
2001-201,2001-07-20,2001-07-27,STD,0.110,43045072,0.114,43048185,-0.004,0.109,0.119
2001-209,2001-07-28,2001-08-04,STD,0.109,43044305,0.114,43048185,-0.005,0.106,0.119
2001-217,2001-08-05,2001-08-12,STD,0.111,43047301,0.113,43048185,-0.002,0.106,0.118
2001-225,2001-08-13,2001-08-20,STD,0.109,43035947,0.113,43048185,-0.004,0.108,0.119
2001-233,2001-08-21,2001-08-28,STD,0.109,43006450,0.114,43048185,-0.005,0.109,0.119
2001-241,2001-08-29,2001-09-05,STD,0.111,43032734,0.114,43048185,-0.003,0.111,0.118
2001-249,2001-09-06,2001-09-13,STD,0.112,43042200,0.114,43048185,-0.002,0.109,0.120
2001-257,2001-09-14,2001-09-21,STD,0.109,43016968,0.115,43048185,-0.006,0.109,0.119
2001-265,2001-09-22,2001-09-29,STD,0.112,42948486,0.116,43048185,-0.004,0.110,0.121
2001-273,2001-09-30,2001-10-07,STD,0.111,43015295,0.116,43048185,-0.005,0.109,0.124
2001-281,2001-10-08,2001-10-15,STD,0.110,42954486,0.116,43048185,-0.006,0.110,0.124
2001-289,2001-10-16,2001-10-23,STD,0.113,43036788,0.117,43048185,-0.004,0.111,0.124
2001-297,2001-10-24,2001-10-31,STD,0.113,43041334,0.118,43048185,-0.005,0.111,0.126
2001-305,2001-11-01,2001-11-08,STD,0.113,42226065,0.118,43048185,-0.005,0.112,0.126
2001-313,2001-11-09,2001-11-16,STD,0.110,41894199,0.118,43048057,-0.008,0.110,0.126
2001-321,2001-11-17,2001-11-24,STD,0.111,42228352,0.119,43047905,-0.008,0.111,0.125
2001-329,2001-11-25,2001-12-02,STD,0.112,42198446,0.119,43047201,-0.007,0.112,0.126
2001-337,2001-12-03,2001-12-10,STD,0.113,42310871,0.120,43046519,-0.007,0.113,0.127
2001-345,2001-12-11,2001-12-18,STD,0.114,41960517,0.120,43045449,-0.006,0.114,0.127
2001-353,2001-12-19,2001-12-26,STD,0.112,40952212,0.120,43043535,-0.008,0.112,0.128
2001-361,2001-12-27,2002-01-03,STD,0.117,42321228,0.121,43044855,-0.004,0.113,0.128
2002-001,2002-01-01,2002-01-08,STD,0.116,41505444,0.122,43038755,-0.006,0.116,0.128
2002-009,2002-01-09,2002-01-16,STD,0.114,42087916,0.122,43040869,-0.008,0.114,0.127
2002-017,2002-01-17,2002-01-24,STD,0.117,42248799,0.121,43045240,-0.004,0.117,0.125
2002-025,2002-01-25,2002-02-01,STD,0.118,42432247,0.122,43045987,-0.004,0.113,0.128
2002-033,2002-02-02,2002-02-09,STD,0.118,41666179,0.123,43046224,-0.005,0.115,0.130
2002-041,2002-02-10,2002-02-17,STD,0.120,42763848,0.125,43047465,-0.005,0.118,0.130
2002-049,2002-02-18,2002-02-25,STD,0.119,42472967,0.124,43047744,-0.005,0.116,0.132
2002-057,2002-02-26,2002-03-05,STD,0.120,42332093,0.126,43048081,-0.006,0.112,0.133
2002-065,2002-03-06,2002-03-13,STD,0.122,42525340,0.127,43047757,-0.005,0.118,0.137
2002-073,2002-03-14,2002-03-21,STD,0.122,42447729,0.128,43048177,-0.006,0.113,0.139
2002-081,2002-03-22,2002-03-29,STD,0.104,34899283,0.128,43048121,-0.024,0.104,0.140
2002-089,2002-03-30,2002-04-06,STD,0.118,42045278,0.130,43048177,-0.012,0.112,0.142
2002-097,2002-04-07,2002-04-14,STD,0.117,42753034,0.130,43048185,-0.013,0.117,0.143
2002-105,2002-04-15,2002-04-22,STD,0.121,42635818,0.130,43048185,-0.009,0.121,0.141
2002-113,2002-04-23,2002-04-30,STD,0.120,43002334,0.129,43048185,-0.009,0.120,0.142
2002-121,2002-05-01,2002-05-08,STD,0.113,42493811,0.127,43048185,-0.014,0.113,0.139
2002-129,2002-05-09,2002-05-16,STD,0.116,43031806,0.125,43048185,-0.009,0.115,0.136
2002-137,2002-05-17,2002-05-24,STD,0.114,42996493,0.123,43048185,-0.009,0.114,0.132
2002-145,2002-05-25,2002-06-01,STD,0.112,43009200,0.120,43048185,-0.008,0.111,0.129
2002-153,2002-06-02,2002-06-09,STD,0.112,42967700,0.119,43048185,-0.007,0.112,0.125
2002-161,2002-06-10,2002-06-17,STD,0.109,42672250,0.117,43048185,-0.008,0.109,0.124
2002-169,2002-06-18,2002-06-25,STD,0.112,43045492,0.117,43048185,-0.005,0.110,0.122
2002-177,2002-06-26,2002-07-03,STD,0.111,43037391,0.116,43048185,-0.005,0.110,0.121
2002-185,2002-07-04,2002-07-11,STD,0.109,43033589,0.115,43048185,-0.006,0.109,0.120
2002-193,2002-07-12,2002-07-19,STD,0.107,43041939,0.114,43048185,-0.007,0.107,0.119
