GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:11:00 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28602
MAX SAMPLE COUNT,10675224

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.383,10608840,0.384,10668036,-0.001,0.286,0.492
2001-009,2001-01-09,2001-01-16,STD,0.357,10582533,0.392,10664433,-0.035,0.293,0.502
2001-017,2001-01-17,2001-01-24,STD,0.375,10314430,0.408,10668926,-0.033,0.311,0.513
2001-025,2001-01-25,2001-02-01,STD,0.365,10313869,0.418,10669953,-0.053,0.307,0.538
2001-033,2001-02-02,2001-02-09,STD,0.360,8316815,0.425,10672534,-0.065,0.337,0.559
2001-041,2001-02-10,2001-02-17,STD,0.384,8879213,0.433,10672816,-0.049,0.334,0.545
2001-049,2001-02-18,2001-02-25,STD,0.388,6716572,0.434,10670950,-0.046,0.350,0.539
2001-057,2001-02-26,2001-03-05,STD,0.452,10083333,0.440,10673062,0.012,0.368,0.549
2001-065,2001-03-06,2001-03-13,STD,0.471,10128197,0.437,10673287,0.034,0.351,0.550
2001-073,2001-03-14,2001-03-21,STD,0.484,9788811,0.437,10674028,0.047,0.336,0.559
2001-081,2001-03-22,2001-03-29,STD,0.497,10616117,0.434,10673128,0.063,0.325,0.531
2001-089,2001-03-30,2001-04-06,STD,0.497,10493108,0.429,10673543,0.068,0.320,0.505
2001-097,2001-04-07,2001-04-14,STD,0.490,10557736,0.419,10672956,0.071,0.308,0.499
2001-105,2001-04-15,2001-04-22,STD,0.478,10611314,0.406,10671951,0.072,0.294,0.512
2001-113,2001-04-23,2001-04-30,STD,0.471,10613119,0.396,10672973,0.075,0.286,0.482
2001-121,2001-05-01,2001-05-08,STD,0.445,10632795,0.379,10672721,0.066,0.278,0.459
2001-129,2001-05-09,2001-05-16,STD,0.424,10621678,0.362,10669206,0.062,0.268,0.451
2001-137,2001-05-17,2001-05-24,STD,0.401,10621712,0.348,10666251,0.053,0.266,0.436
2001-145,2001-05-25,2001-06-01,STD,0.384,10618640,0.332,10665197,0.052,0.255,0.422
2001-153,2001-06-02,2001-06-09,STD,0.368,10614220,0.320,10666064,0.048,0.259,0.403
2001-161,2001-06-10,2001-06-17,STD,0.362,10590216,0.305,10669602,0.057,0.248,0.377
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.291,10666485,#N/A,0.241,0.348
2001-177,2001-06-26,2001-07-03,STD,0.302,3431702,0.282,10662891,0.020,0.235,0.341
2001-185,2001-07-04,2001-07-11,STD,0.301,10581912,0.275,10663591,0.026,0.229,0.325
2001-193,2001-07-12,2001-07-19,STD,0.291,10622808,0.267,10663807,0.024,0.221,0.311
2001-201,2001-07-20,2001-07-27,STD,0.276,10620308,0.259,10661707,0.017,0.219,0.296
2001-209,2001-07-28,2001-08-04,STD,0.266,10592520,0.253,10660298,0.013,0.214,0.290
2001-217,2001-08-05,2001-08-12,STD,0.257,10611757,0.248,10663163,0.009,0.212,0.285
2001-225,2001-08-13,2001-08-20,STD,0.253,10619708,0.243,10665661,0.010,0.210,0.284
2001-233,2001-08-21,2001-08-28,STD,0.253,10625334,0.241,10665770,0.012,0.203,0.267
2001-241,2001-08-29,2001-09-05,STD,0.248,10624115,0.237,10674767,0.011,0.202,0.262
2001-249,2001-09-06,2001-09-13,STD,0.243,10621729,0.234,10666345,0.009,0.203,0.264
2001-257,2001-09-14,2001-09-21,STD,0.245,10543769,0.234,10666425,0.011,0.201,0.267
2001-265,2001-09-22,2001-09-29,STD,0.241,10616739,0.234,10665489,0.007,0.199,0.263
2001-273,2001-09-30,2001-10-07,STD,0.238,10599630,0.234,10667542,0.004,0.200,0.272
2001-281,2001-10-08,2001-10-15,STD,0.239,10595901,0.235,10667403,0.004,0.198,0.292
2001-289,2001-10-16,2001-10-23,STD,0.247,10604751,0.238,10664675,0.009,0.190,0.302
2001-297,2001-10-24,2001-10-31,STD,0.260,10458569,0.244,10665153,0.016,0.200,0.309
2001-305,2001-11-01,2001-11-08,STD,0.285,10268807,0.249,10663253,0.036,0.206,0.320
2001-313,2001-11-09,2001-11-16,STD,0.351,10312448,0.260,10660324,0.091,0.209,0.374
2001-321,2001-11-17,2001-11-24,STD,0.405,10370961,0.275,10665021,0.130,0.223,0.405
2001-329,2001-11-25,2001-12-02,STD,0.416,7641335,0.295,10660218,0.121,0.231,0.420
2001-337,2001-12-03,2001-12-10,STD,0.453,9792097,0.324,10660396,0.129,0.254,0.453
2001-345,2001-12-11,2001-12-18,STD,0.462,10146160,0.339,10665939,0.123,0.255,0.462
2001-353,2001-12-19,2001-12-26,STD,0.434,10618696,0.364,10665755,0.070,0.247,0.455
2001-361,2001-12-27,2002-01-03,STD,0.414,10567286,0.380,10665197,0.034,0.291,0.468
2002-001,2002-01-01,2002-01-08,STD,0.397,10578109,0.384,10668036,0.013,0.286,0.492
2002-009,2002-01-09,2002-01-16,STD,0.417,10257303,0.392,10664433,0.025,0.293,0.502
2002-017,2002-01-17,2002-01-24,STD,0.395,10503441,0.408,10668926,-0.013,0.311,0.513
2002-025,2002-01-25,2002-02-01,STD,0.431,9474068,0.418,10669953,0.013,0.307,0.538
2002-033,2002-02-02,2002-02-09,STD,0.417,10584182,0.425,10672534,-0.008,0.337,0.559
2002-041,2002-02-10,2002-02-17,STD,0.432,10007938,0.433,10672816,-0.001,0.334,0.545
2002-049,2002-02-18,2002-02-25,STD,0.436,10549034,0.434,10670950,0.002,0.350,0.539
2002-057,2002-02-26,2002-03-05,STD,0.406,10565955,0.440,10673062,-0.034,0.368,0.549
2002-065,2002-03-06,2002-03-13,STD,0.407,10272609,0.437,10673287,-0.030,0.351,0.550
2002-073,2002-03-14,2002-03-21,STD,0.389,10601295,0.437,10674028,-0.048,0.336,0.559
2002-081,2002-03-22,2002-03-29,STD,0.379,9583562,0.434,10673128,-0.055,0.325,0.531
2002-089,2002-03-30,2002-04-06,STD,0.341,10593550,0.429,10673543,-0.088,0.320,0.505
2002-097,2002-04-07,2002-04-14,STD,0.329,10562164,0.419,10672956,-0.090,0.308,0.499
2002-105,2002-04-15,2002-04-22,STD,0.337,10612114,0.406,10671951,-0.069,0.294,0.512
2002-113,2002-04-23,2002-04-30,STD,0.325,10598779,0.396,10672973,-0.071,0.286,0.482
2002-121,2002-05-01,2002-05-08,STD,0.317,10593268,0.379,10672721,-0.062,0.278,0.459
2002-129,2002-05-09,2002-05-16,STD,0.299,10604061,0.362,10669206,-0.063,0.268,0.451
2002-137,2002-05-17,2002-05-24,STD,0.290,10458251,0.348,10666251,-0.058,0.266,0.436
2002-145,2002-05-25,2002-06-01,STD,0.280,10477506,0.332,10665197,-0.052,0.255,0.422
2002-153,2002-06-02,2002-06-09,STD,0.279,10088354,0.320,10666064,-0.041,0.259,0.403
2002-161,2002-06-10,2002-06-17,STD,0.269,10552542,0.305,10669602,-0.036,0.248,0.377
2002-169,2002-06-18,2002-06-25,STD,0.263,10497622,0.291,10666485,-0.028,0.241,0.348
2002-177,2002-06-26,2002-07-03,STD,0.256,10411908,0.282,10662891,-0.026,0.235,0.341
2002-185,2002-07-04,2002-07-11,STD,0.248,10548040,0.275,10663591,-0.027,0.229,0.325
2002-193,2002-07-12,2002-07-19,STD,0.242,10576813,0.267,10663807,-0.025,0.221,0.311
2002-201,2002-07-20,2002-07-27,STD,0.237,10590773,0.259,10661707,-0.022,0.219,0.296
2002-209,2002-07-28,2002-08-04,STD,0.233,10593460,0.253,10660298,-0.020,0.214,0.290
2002-217,2002-08-05,2002-08-12,STD,0.230,10586862,0.248,10663163,-0.018,0.212,0.285
2002-225,2002-08-13,2002-08-20,STD,0.227,10619564,0.243,10665661,-0.016,0.210,0.284
2002-233,2002-08-21,2002-08-28,STD,0.227,10593916,0.241,10665770,-0.014,0.203,0.267
2002-241,2002-08-29,2002-09-05,STD,0.229,10610271,0.237,10674767,-0.008,0.202,0.262
2002-249,2002-09-06,2002-09-13,STD,0.227,10603537,0.234,10666345,-0.007,0.203,0.264
2002-257,2002-09-14,2002-09-21,STD,0.216,10590610,0.234,10666425,-0.018,0.201,0.267
