GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:01:55 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28487
MAX SAMPLE COUNT,5132141

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.246,5122892,0.252,5132141,-0.006,0.217,0.277
2001-009,2001-01-09,2001-01-16,STD,0.237,5130033,0.247,5132141,-0.010,0.216,0.266
2001-017,2001-01-17,2001-01-24,STD,0.231,5130777,0.240,5132141,-0.009,0.220,0.262
2001-025,2001-01-25,2001-02-01,STD,0.223,5130455,0.236,5132141,-0.013,0.220,0.253
2001-033,2001-02-02,2001-02-09,STD,0.223,5131991,0.231,5132141,-0.008,0.206,0.245
2001-041,2001-02-10,2001-02-17,STD,0.212,5131664,0.226,5132141,-0.014,0.197,0.244
2001-049,2001-02-18,2001-02-25,STD,0.223,5128938,0.225,5132141,-0.002,0.207,0.240
2001-057,2001-02-26,2001-03-05,STD,0.222,5132090,0.221,5132141,0.001,0.162,0.241
2001-065,2001-03-06,2001-03-13,STD,0.217,5080618,0.221,5132141,-0.004,0.196,0.247
2001-073,2001-03-14,2001-03-21,STD,0.222,5112238,0.223,5132141,-0.001,0.173,0.246
2001-081,2001-03-22,2001-03-29,STD,0.224,5127558,0.226,5132141,-0.002,0.178,0.247
2001-089,2001-03-30,2001-04-06,STD,0.231,4992549,0.225,5132141,0.006,0.183,0.252
2001-097,2001-04-07,2001-04-14,STD,0.234,5123322,0.234,5132141,0.000,0.192,0.258
2001-105,2001-04-15,2001-04-22,STD,0.235,5117590,0.236,5132141,-0.001,0.188,0.273
2001-113,2001-04-23,2001-04-30,STD,0.233,5006414,0.245,5132141,-0.012,0.224,0.281
2001-121,2001-05-01,2001-05-08,STD,0.236,3077192,0.249,5132141,-0.013,0.196,0.288
2001-129,2001-05-09,2001-05-16,STD,0.255,4542536,0.260,5132049,-0.005,0.225,0.291
2001-137,2001-05-17,2001-05-24,STD,0.270,5040062,0.265,5132141,0.005,0.231,0.290
2001-145,2001-05-25,2001-06-01,STD,0.271,4444680,0.273,5132101,-0.002,0.218,0.318
2001-153,2001-06-02,2001-06-09,STD,0.271,4460162,0.283,5132141,-0.012,0.201,0.320
2001-161,2001-06-10,2001-06-17,STD,0.315,4694350,0.301,5132129,0.014,0.245,0.352
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.315,5132113,#N/A,0.192,0.359
2001-177,2001-06-26,2001-07-03,STD,0.344,2988654,0.334,5132069,0.010,0.261,0.376
2001-185,2001-07-04,2001-07-11,STD,0.367,3207412,0.352,5131500,0.015,0.294,0.435
2001-193,2001-07-12,2001-07-19,STD,0.414,4761682,0.397,5130061,0.017,0.282,0.471
2001-201,2001-07-20,2001-07-27,STD,0.435,2348125,0.412,5127870,0.023,0.319,0.511
2001-209,2001-07-28,2001-08-04,STD,0.459,2175846,0.442,5072662,0.017,0.351,0.482
2001-217,2001-08-05,2001-08-12,STD,0.504,2196698,0.484,5127476,0.020,0.328,0.608
2001-225,2001-08-13,2001-08-20,STD,0.483,1221895,0.517,5127095,-0.034,0.392,0.582
2001-233,2001-08-21,2001-08-28,STD,0.522,2376612,0.533,5127158,-0.011,0.431,0.617
