GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:06:39 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28510
MAX SAMPLE COUNT,8674827

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.474,6829366,0.500,8667275,-0.026,0.438,0.558
2001-009,2001-01-09,2001-01-16,STD,0.485,6975469,0.496,8654344,-0.011,0.396,0.550
2001-017,2001-01-17,2001-01-24,STD,0.492,7177181,0.474,8555583,0.018,0.409,0.548
2001-025,2001-01-25,2001-02-01,STD,0.463,7175226,0.478,8657723,-0.015,0.407,0.575
2001-033,2001-02-02,2001-02-09,STD,0.426,6571499,0.469,8492469,-0.043,0.378,0.521
2001-041,2001-02-10,2001-02-17,STD,0.474,6631329,0.463,8420260,0.011,0.369,0.506
2001-049,2001-02-18,2001-02-25,STD,0.474,6406908,0.470,8545031,0.004,0.408,0.517
2001-057,2001-02-26,2001-03-05,STD,0.489,6316608,0.491,8628048,-0.002,0.372,0.559
2001-065,2001-03-06,2001-03-13,STD,0.509,6658021,0.494,8596988,0.015,0.328,0.552
2001-073,2001-03-14,2001-03-21,STD,0.523,6587618,0.476,8437612,0.047,0.356,0.569
2001-081,2001-03-22,2001-03-29,STD,0.529,5511548,0.511,8658342,0.018,0.435,0.559
2001-089,2001-03-30,2001-04-06,STD,0.510,4689291,0.544,8652388,-0.034,0.457,0.624
2001-097,2001-04-07,2001-04-14,STD,0.524,5862906,0.558,8669771,-0.034,0.392,0.650
2001-105,2001-04-15,2001-04-22,STD,0.474,3782012,0.575,8666295,-0.101,0.474,0.637
2001-113,2001-04-23,2001-04-30,STD,0.587,3910611,0.589,8667655,-0.002,0.490,0.645
2001-121,2001-05-01,2001-05-08,STD,0.602,4799176,0.621,8658973,-0.019,0.562,0.694
2001-129,2001-05-09,2001-05-16,STD,0.691,5466332,0.644,8654711,0.047,0.561,0.715
2001-137,2001-05-17,2001-05-24,STD,0.639,5409214,0.654,8643062,-0.015,0.605,0.708
2001-145,2001-05-25,2001-06-01,STD,0.612,2795195,0.675,8609914,-0.063,0.599,0.744
2001-153,2001-06-02,2001-06-09,STD,0.661,4651512,0.665,8522754,-0.004,0.601,0.724
2001-161,2001-06-10,2001-06-17,STD,0.690,1476997,0.679,8113329,0.011,0.601,0.737
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.684,8122301,#N/A,0.577,0.741
2001-177,2001-06-26,2001-07-03,STD,0.027,39867,0.691,7783634,-0.664,0.027,0.747
2001-185,2001-07-04,2001-07-11,STD,0.701,3007199,0.705,8022423,-0.004,0.649,0.756
