GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:08:27 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28516
MAX SAMPLE COUNT,23690481

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.168,22619789,0.173,23690481,-0.005,0.164,0.189
2001-009,2001-01-09,2001-01-16,STD,0.165,23445083,0.169,23690325,-0.004,0.153,0.184
2001-017,2001-01-17,2001-01-24,STD,0.161,23125216,0.166,23690473,-0.005,0.157,0.184
2001-025,2001-01-25,2001-02-01,STD,0.160,23206791,0.163,23690349,-0.003,0.156,0.178
2001-033,2001-02-02,2001-02-09,STD,0.157,23004232,0.161,23688505,-0.004,0.153,0.173
2001-041,2001-02-10,2001-02-17,STD,0.156,22537011,0.158,23688373,-0.002,0.147,0.168
2001-049,2001-02-18,2001-02-25,STD,0.155,23598544,0.156,23688249,-0.001,0.148,0.163
2001-057,2001-02-26,2001-03-05,STD,0.151,23527087,0.152,23688193,-0.001,0.127,0.166
2001-065,2001-03-06,2001-03-13,STD,0.154,22775088,0.152,23688409,0.002,0.130,0.164
2001-073,2001-03-14,2001-03-21,STD,0.154,23580224,0.149,23689677,0.005,0.119,0.161
2001-081,2001-03-22,2001-03-29,STD,0.159,23349454,0.152,23687969,0.007,0.139,0.164
2001-089,2001-03-30,2001-04-06,STD,0.150,22548656,0.153,23688777,-0.003,0.140,0.166
2001-097,2001-04-07,2001-04-14,STD,0.156,23635979,0.154,23688745,0.002,0.145,0.166
2001-105,2001-04-15,2001-04-22,STD,0.150,23482928,0.156,23688777,-0.006,0.131,0.166
2001-113,2001-04-23,2001-04-30,STD,0.151,23407576,0.154,23688765,-0.003,0.128,0.169
2001-121,2001-05-01,2001-05-08,STD,0.153,23648884,0.159,23687749,-0.006,0.151,0.173
2001-129,2001-05-09,2001-05-16,STD,0.151,23340313,0.159,23690213,-0.008,0.140,0.179
2001-137,2001-05-17,2001-05-24,STD,0.163,23628887,0.165,23687921,-0.002,0.152,0.183
2001-145,2001-05-25,2001-06-01,STD,0.163,22863304,0.168,23687885,-0.005,0.145,0.189
2001-153,2001-06-02,2001-06-09,STD,0.172,23536975,0.174,23689293,-0.002,0.152,0.188
2001-161,2001-06-10,2001-06-17,STD,0.173,22335666,0.180,23687089,-0.007,0.146,0.203
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.192,23687305,#N/A,0.167,0.209
2001-177,2001-06-26,2001-07-03,STD,0.401,257050,0.200,23689329,0.201,0.168,0.401
2001-185,2001-07-04,2001-07-11,STD,0.211,22059547,0.205,23686689,0.006,0.171,0.233
2001-193,2001-07-12,2001-07-19,STD,0.217,22149172,0.214,23681413,0.003,0.135,0.258
2001-201,2001-07-20,2001-07-27,STD,0.143,15830283,0.219,23684123,-0.076,0.143,0.275
2001-209,2001-07-28,2001-08-04,STD,0.217,18378480,0.227,23646817,-0.010,0.156,0.268
2001-217,2001-08-05,2001-08-12,STD,0.252,19306402,0.229,23673761,0.023,0.110,0.304
2001-225,2001-08-13,2001-08-20,STD,0.263,18896411,0.252,23677530,0.011,0.161,0.293
2001-233,2001-08-21,2001-08-28,STD,0.257,19332819,0.251,23673926,0.006,0.208,0.295
2001-241,2001-08-29,2001-09-05,STD,0.291,21073443,0.278,23688968,0.013,0.231,0.299
2001-249,2001-09-06,2001-09-13,STD,0.300,22625393,0.285,23689441,0.015,0.254,0.323
2001-257,2001-09-14,2001-09-21,STD,0.291,22362631,0.285,23689277,0.006,0.230,0.312
2001-265,2001-09-22,2001-09-29,STD,0.285,23252207,0.283,23689545,0.002,0.250,0.305
2001-273,2001-09-30,2001-10-07,STD,0.276,23494179,0.267,23689597,0.009,0.202,0.294
2001-281,2001-10-08,2001-10-15,STD,0.265,23513215,0.262,23689245,0.003,0.234,0.292
2001-289,2001-10-16,2001-10-23,STD,0.255,23624141,0.251,23689121,0.004,0.224,0.287
2001-297,2001-10-24,2001-10-31,STD,0.240,23555789,0.242,23688901,-0.002,0.220,0.270
2001-305,2001-11-01,2001-11-08,STD,0.226,23668859,0.231,23688845,-0.005,0.218,0.258
2001-313,2001-11-09,2001-11-16,STD,0.216,23665719,0.219,23688929,-0.003,0.208,0.243
2001-321,2001-11-17,2001-11-24,STD,0.207,23648541,0.209,23689673,-0.002,0.194,0.231
2001-329,2001-11-25,2001-12-02,STD,0.198,23545951,0.201,23689593,-0.003,0.188,0.222
2001-337,2001-12-03,2001-12-10,STD,0.193,23641814,0.193,23688981,0.000,0.183,0.213
2001-345,2001-12-11,2001-12-18,STD,0.189,23638577,0.187,23689993,0.002,0.177,0.203
2001-353,2001-12-19,2001-12-26,STD,0.182,23645032,0.182,23690329,0.000,0.171,0.223
2001-361,2001-12-27,2002-01-03,STD,0.178,23487806,0.177,23690313,0.001,0.166,0.195
2002-001,2002-01-01,2002-01-08,STD,0.176,23023124,0.173,23690481,0.003,0.164,0.189
2002-009,2002-01-09,2002-01-16,STD,0.170,23286964,0.169,23690325,0.001,0.153,0.184
2002-017,2002-01-17,2002-01-24,STD,0.168,23465177,0.166,23690473,0.002,0.157,0.184
2002-025,2002-01-25,2002-02-01,STD,0.166,23483018,0.163,23690349,0.003,0.156,0.178
2002-033,2002-02-02,2002-02-09,STD,0.170,22263583,0.161,23688505,0.009,0.153,0.173
2002-041,2002-02-10,2002-02-17,STD,0.159,23412779,0.158,23688373,0.001,0.147,0.168
2002-049,2002-02-18,2002-02-25,STD,0.163,23301922,0.156,23688249,0.007,0.148,0.163
2002-057,2002-02-26,2002-03-05,STD,0.156,23410221,0.152,23688193,0.004,0.127,0.166
2002-065,2002-03-06,2002-03-13,STD,0.158,23653107,0.152,23688409,0.006,0.130,0.164
2002-073,2002-03-14,2002-03-21,STD,0.154,23322751,0.149,23689677,0.005,0.119,0.161
2002-081,2002-03-22,2002-03-29,STD,0.156,12770698,0.152,23687969,0.004,0.139,0.164
2002-089,2002-03-30,2002-04-06,STD,0.156,23660293,0.153,23688777,0.003,0.140,0.166
2002-097,2002-04-07,2002-04-14,STD,0.145,22235088,0.154,23688745,-0.009,0.145,0.166
2002-105,2002-04-15,2002-04-22,STD,0.160,23616567,0.156,23688777,0.004,0.131,0.166
2002-113,2002-04-23,2002-04-30,STD,0.148,22081752,0.154,23688765,-0.006,0.128,0.169
2002-121,2002-05-01,2002-05-08,STD,0.166,23636202,0.159,23687749,0.007,0.151,0.173
2002-129,2002-05-09,2002-05-16,STD,0.161,23654129,0.159,23690213,0.002,0.140,0.179
2002-137,2002-05-17,2002-05-24,STD,0.165,23642509,0.165,23687921,0.000,0.152,0.183
2002-145,2002-05-25,2002-06-01,STD,0.163,23423072,0.168,23687885,-0.005,0.145,0.189
2002-153,2002-06-02,2002-06-09,STD,0.169,23504301,0.174,23689293,-0.005,0.152,0.188
2002-161,2002-06-10,2002-06-17,STD,0.171,22085050,0.180,23687089,-0.009,0.146,0.203
2002-169,2002-06-18,2002-06-25,STD,0.190,22318293,0.192,23687305,-0.002,0.167,0.209
2002-177,2002-06-26,2002-07-03,STD,0.200,22885699,0.200,23689329,0.000,0.168,0.401
2002-185,2002-07-04,2002-07-11,STD,0.205,22704583,0.205,23686689,0.000,0.171,0.233
2002-193,2002-07-12,2002-07-19,STD,0.207,20109444,0.214,23681413,-0.007,0.135,0.258
2002-201,2002-07-20,2002-07-27,STD,0.201,19690314,0.219,23684123,-0.018,0.143,0.275
2002-209,2002-07-28,2002-08-04,STD,0.202,17161308,0.227,23646817,-0.025,0.156,0.268
2002-217,2002-08-05,2002-08-12,STD,0.247,19829819,0.229,23673761,0.018,0.110,0.304
2002-225,2002-08-13,2002-08-20,STD,0.293,20806105,0.252,23677530,0.041,0.161,0.293
2002-233,2002-08-21,2002-08-28,STD,0.291,20559784,0.251,23673926,0.040,0.208,0.295
2002-241,2002-08-29,2002-09-05,STD,0.287,21181005,0.278,23688968,0.009,0.231,0.299
2002-249,2002-09-06,2002-09-13,STD,0.269,20177150,0.285,23689441,-0.016,0.254,0.323
2002-257,2002-09-14,2002-09-21,STD,0.279,22325463,0.285,23689277,-0.006,0.230,0.312
2002-265,2002-09-22,2002-09-29,STD,0.275,22933148,0.283,23689545,-0.008,0.250,0.305
2002-273,2002-09-30,2002-10-07,STD,0.228,21645344,0.267,23689597,-0.039,0.202,0.294
2002-281,2002-10-08,2002-10-15,STD,0.257,23428347,0.262,23689245,-0.005,0.234,0.292
2002-289,2002-10-16,2002-10-23,STD,0.251,23409335,0.251,23689121,0.000,0.224,0.287
2002-297,2002-10-24,2002-10-31,STD,0.240,23586566,0.242,23688901,-0.002,0.220,0.270
2002-305,2002-11-01,2002-11-08,STD,0.223,23592284,0.231,23688845,-0.008,0.218,0.258
2002-313,2002-11-09,2002-11-16,STD,0.209,23594576,0.219,23688929,-0.010,0.208,0.243
2002-321,2002-11-17,2002-11-24,STD,0.205,23656609,0.209,23689673,-0.004,0.194,0.231
2002-329,2002-11-25,2002-12-02,STD,0.195,23626906,0.201,23689593,-0.006,0.188,0.222
2002-337,2002-12-03,2002-12-10,STD,0.189,23621829,0.193,23688981,-0.004,0.183,0.213
2002-345,2002-12-11,2002-12-18,STD,0.181,23614963,0.187,23689993,-0.006,0.177,0.203
2002-353,2002-12-19,2002-12-26,STD,0.174,23388532,0.182,23690329,-0.008,0.171,0.223
2002-361,2002-12-27,2003-01-03,STD,0.171,23593218,0.177,23690313,-0.006,0.166,0.195
2003-001,2003-01-01,2003-01-08,STD,0.170,22969780,0.173,23690481,-0.003,0.164,0.189
2003-009,2003-01-09,2003-01-16,STD,0.167,22977463,0.169,23690325,-0.002,0.153,0.184
2003-017,2003-01-17,2003-01-24,STD,0.162,23643415,0.166,23690473,-0.004,0.157,0.184
2003-025,2003-01-25,2003-02-01,STD,0.159,23662292,0.163,23690349,-0.004,0.156,0.178
2003-033,2003-02-02,2003-02-09,STD,0.158,22747897,0.161,23688505,-0.003,0.153,0.173
2003-041,2003-02-10,2003-02-17,STD,0.155,23610602,0.158,23688373,-0.003,0.147,0.168
2003-049,2003-02-18,2003-02-25,STD,0.154,23608289,0.156,23688249,-0.002,0.148,0.163
2003-057,2003-02-26,2003-03-05,STD,0.141,23151099,0.152,23688193,-0.011,0.127,0.166
2003-065,2003-03-06,2003-03-13,STD,0.148,23313726,0.152,23688409,-0.004,0.130,0.164
2003-073,2003-03-14,2003-03-21,STD,0.149,23644516,0.149,23689677,0.000,0.119,0.161
2003-081,2003-03-22,2003-03-29,STD,0.144,23619573,0.152,23687969,-0.008,0.139,0.164
