GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:17:11 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28641
MAX SAMPLE COUNT,6339354

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.640,3311084,0.660,6330409,-0.020,0.609,0.734
2001-009,2001-01-09,2001-01-16,STD,0.587,3486622,0.653,6327500,-0.066,0.579,0.758
2001-017,2001-01-17,2001-01-24,STD,0.658,4014988,0.661,6291071,-0.003,0.598,0.716
2001-025,2001-01-25,2001-02-01,STD,0.637,4908214,0.674,6320132,-0.037,0.597,0.761
2001-033,2001-02-02,2001-02-09,STD,0.639,4003431,0.682,6331072,-0.043,0.597,0.752
2001-041,2001-02-10,2001-02-17,STD,0.678,3513330,0.688,6332212,-0.010,0.600,0.755
2001-049,2001-02-18,2001-02-25,STD,0.683,4305211,0.702,6314227,-0.019,0.621,0.772
2001-057,2001-02-26,2001-03-05,STD,0.766,2970794,0.720,6338471,0.046,0.624,0.766
2001-065,2001-03-06,2001-03-13,STD,0.752,3935097,0.732,6337179,0.020,0.626,0.779
2001-073,2001-03-14,2001-03-21,STD,0.701,1896371,0.712,6338527,-0.011,0.641,0.781
2001-081,2001-03-22,2001-03-29,STD,0.767,4572536,0.730,6339196,0.037,0.673,0.787
2001-089,2001-03-30,2001-04-06,STD,0.782,1995394,0.748,6338642,0.034,0.709,0.797
2001-097,2001-04-07,2001-04-14,STD,0.735,4040659,0.753,6337398,-0.018,0.722,0.785
2001-105,2001-04-15,2001-04-22,STD,0.775,1493340,0.764,6334049,0.011,0.683,0.804
2001-113,2001-04-23,2001-04-30,STD,0.747,3520230,0.765,6326474,-0.018,0.722,0.808
2001-121,2001-05-01,2001-05-08,STD,0.756,1790630,0.769,6318645,-0.013,0.732,0.809
2001-129,2001-05-09,2001-05-16,STD,0.786,3434451,0.773,6304743,0.013,0.635,0.816
2001-137,2001-05-17,2001-05-24,STD,0.751,3235649,0.769,6276163,-0.018,0.728,0.817
2001-145,2001-05-25,2001-06-01,STD,0.743,2241487,0.767,6208565,-0.024,0.726,0.821
2001-153,2001-06-02,2001-06-09,STD,0.770,3430446,0.754,6060418,0.016,0.705,0.813
2001-161,2001-06-10,2001-06-17,STD,0.738,2144414,0.732,6067017,0.006,0.680,0.785
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.695,6212197,#N/A,0.619,0.773
2001-177,2001-06-26,2001-07-03,STD,0.815,229923,0.683,6198568,0.132,0.577,0.815
2001-185,2001-07-04,2001-07-11,STD,0.670,3509512,0.680,6181033,-0.010,0.593,0.719
2001-193,2001-07-12,2001-07-19,STD,0.634,4057434,0.643,6115077,-0.009,0.571,0.694
2001-201,2001-07-20,2001-07-27,STD,0.656,4452257,0.631,6271492,0.025,0.569,0.671
2001-209,2001-07-28,2001-08-04,STD,0.633,4596897,0.635,6292454,-0.002,0.569,0.688
2001-217,2001-08-05,2001-08-12,STD,0.632,3637821,0.639,6288331,-0.007,0.513,0.743
2001-225,2001-08-13,2001-08-20,STD,0.642,4105164,0.645,6078101,-0.003,0.579,0.730
2001-233,2001-08-21,2001-08-28,STD,0.527,1431826,0.653,6119609,-0.126,0.527,0.784
2001-241,2001-08-29,2001-09-05,STD,0.668,3584807,0.663,5971325,0.005,0.600,0.738
2001-249,2001-09-06,2001-09-13,STD,0.615,3597141,0.673,6240707,-0.058,0.615,0.732
2001-257,2001-09-14,2001-09-21,STD,0.678,2571501,0.721,6112812,-0.043,0.645,0.789
2001-265,2001-09-22,2001-09-29,STD,0.667,2713016,0.733,5738031,-0.066,0.613,0.788
2001-273,2001-09-30,2001-10-07,STD,0.663,1768988,0.750,5677595,-0.087,0.663,0.804
2001-281,2001-10-08,2001-10-15,STD,0.749,2218600,0.763,5707363,-0.014,0.660,0.822
2001-289,2001-10-16,2001-10-23,STD,0.741,4491043,0.771,6077854,-0.030,0.716,0.815
