GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:00:06 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28479
MAX SAMPLE COUNT,5972157

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.451,4531580,0.514,5972123,-0.063,0.368,0.580
2001-009,2001-01-09,2001-01-16,STD,0.441,4120364,0.495,5971651,-0.054,0.421,0.562
2001-017,2001-01-17,2001-01-24,STD,0.478,5099361,0.489,5972102,-0.011,0.397,0.548
2001-025,2001-01-25,2001-02-01,STD,0.427,5205139,0.473,5972085,-0.046,0.411,0.564
2001-033,2001-02-02,2001-02-09,STD,0.480,5469520,0.471,5970373,0.009,0.396,0.530
2001-041,2001-02-10,2001-02-17,STD,0.406,5351441,0.481,5971588,-0.075,0.358,0.577
2001-049,2001-02-18,2001-02-25,STD,0.432,5286735,0.490,5965296,-0.058,0.341,0.556
2001-057,2001-02-26,2001-03-05,STD,0.451,4436536,0.508,5967635,-0.057,0.398,0.571
2001-065,2001-03-06,2001-03-13,STD,0.473,4632608,0.511,5971439,-0.038,0.362,0.578
2001-073,2001-03-14,2001-03-21,STD,0.516,4232603,0.547,5968403,-0.031,0.420,0.623
2001-081,2001-03-22,2001-03-29,STD,0.533,4151790,0.564,5964238,-0.031,0.432,0.628
2001-089,2001-03-30,2001-04-06,STD,0.584,3252392,0.584,5971723,0.000,0.470,0.658
2001-097,2001-04-07,2001-04-14,STD,0.617,4458793,0.617,5968961,0.000,0.543,0.686
2001-105,2001-04-15,2001-04-22,STD,0.610,2942501,0.629,5970284,-0.019,0.504,0.728
2001-113,2001-04-23,2001-04-30,STD,0.667,4480543,0.649,5971537,0.018,0.602,0.695
2001-121,2001-05-01,2001-05-08,STD,0.659,2949283,0.658,5966392,0.001,0.607,0.718
2001-129,2001-05-09,2001-05-16,STD,0.664,871627,0.679,5969800,-0.015,0.628,0.711
2001-137,2001-05-17,2001-05-24,STD,0.683,3790898,0.671,5938367,0.012,0.612,0.709
2001-145,2001-05-25,2001-06-01,STD,0.697,1671680,0.680,5892301,0.017,0.597,0.743
2001-153,2001-06-02,2001-06-09,STD,0.729,1200658,0.676,5863823,0.053,0.573,0.730
2001-161,2001-06-10,2001-06-17,STD,0.699,2164013,0.673,5569648,0.026,0.602,0.724
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.684,5601877,#N/A,0.615,0.761
2001-177,2001-06-26,2001-07-03,STD,0.678,19939,0.699,5300824,-0.021,0.631,0.752
2001-185,2001-07-04,2001-07-11,STD,0.728,735902,0.704,5163561,0.024,0.626,0.776
2001-193,2001-07-12,2001-07-19,STD,0.694,2232475,0.719,5336530,-0.025,0.677,0.767
2001-201,2001-07-20,2001-07-27,STD,0.722,261415,0.733,5458193,-0.011,0.683,0.797
2001-209,2001-07-28,2001-08-04,STD,0.729,761663,0.733,4868938,-0.004,0.688,0.771
2001-217,2001-08-05,2001-08-12,STD,0.723,682991,0.742,4997726,-0.019,0.652,0.770
2001-225,2001-08-13,2001-08-20,STD,0.763,218907,0.744,4686552,0.019,0.715,0.821
2001-233,2001-08-21,2001-08-28,STD,0.767,281499,0.746,4353751,0.021,0.708,0.782
2001-241,2001-08-29,2001-09-05,STD,0.761,461673,0.741,4043097,0.020,0.707,0.776
2001-249,2001-09-06,2001-09-13,STD,0.716,491368,0.746,4370417,-0.030,0.716,0.778
2001-257,2001-09-14,2001-09-21,STD,0.733,1656618,0.740,4896410,-0.007,0.706,0.786
2001-265,2001-09-22,2001-09-29,STD,0.731,679004,0.740,5438972,-0.009,0.716,0.764
2001-273,2001-09-30,2001-10-07,STD,0.735,2323224,0.735,5616632,0.000,0.713,0.752
2001-281,2001-10-08,2001-10-15,STD,0.722,2220029,0.734,5671287,-0.012,0.699,0.759
2001-289,2001-10-16,2001-10-23,STD,0.718,3225096,0.731,5907100,-0.013,0.693,0.760
2001-297,2001-10-24,2001-10-31,STD,0.652,2243470,0.721,5921575,-0.069,0.652,0.754
