GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:04:28 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28494
MAX SAMPLE COUNT,400329

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.128,369118,0.117,399304,0.011,0.100,0.136
2001-009,2001-01-09,2001-01-16,STD,0.126,332211,0.116,399229,0.010,0.100,0.141
2001-017,2001-01-17,2001-01-24,STD,0.127,379783,0.116,399596,0.011,0.100,0.148
2001-025,2001-01-25,2001-02-01,STD,0.124,385540,0.114,399161,0.010,0.101,0.139
2001-033,2001-02-02,2001-02-09,STD,0.122,395013,0.116,399452,0.006,0.095,0.151
2001-041,2001-02-10,2001-02-17,STD,0.121,368739,0.116,399343,0.005,0.101,0.146
2001-049,2001-02-18,2001-02-25,STD,0.120,381465,0.115,399228,0.005,0.100,0.142
2001-057,2001-02-26,2001-03-05,STD,0.115,388733,0.114,399317,0.001,0.097,0.137
2001-065,2001-03-06,2001-03-13,STD,0.112,375868,0.113,399272,-0.001,0.097,0.132
2001-073,2001-03-14,2001-03-21,STD,0.115,333511,0.110,399487,0.005,0.096,0.133
2001-081,2001-03-22,2001-03-29,STD,0.114,391964,0.111,399424,0.003,0.095,0.127
2001-089,2001-03-30,2001-04-06,STD,0.120,394401,0.110,399604,0.010,0.093,0.124
2001-097,2001-04-07,2001-04-14,STD,0.112,394775,0.110,399687,0.002,0.094,0.133
2001-105,2001-04-15,2001-04-22,STD,0.111,394566,0.111,399711,0.000,0.096,0.135
2001-113,2001-04-23,2001-04-30,STD,0.113,397371,0.111,399814,0.002,0.095,0.131
2001-121,2001-05-01,2001-05-08,STD,0.118,390790,0.112,399977,0.006,0.097,0.133
2001-129,2001-05-09,2001-05-16,STD,0.112,395170,0.110,399494,0.002,0.095,0.136
2001-137,2001-05-17,2001-05-24,STD,0.106,396099,0.107,399671,-0.001,0.093,0.126
2001-145,2001-05-25,2001-06-01,STD,0.102,395055,0.105,399692,-0.003,0.082,0.124
2001-153,2001-06-02,2001-06-09,STD,0.101,395975,0.102,399632,-0.001,0.069,0.118
2001-161,2001-06-10,2001-06-17,STD,0.098,392481,0.094,399478,0.004,0.073,0.110
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.092,399577,#N/A,0.070,0.104
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.091,399516,#N/A,0.072,0.109
2001-185,2001-07-04,2001-07-11,STD,0.100,396773,0.088,399671,0.012,0.066,0.108
2001-193,2001-07-12,2001-07-19,STD,0.095,394546,0.088,399836,0.007,0.074,0.108
2001-201,2001-07-20,2001-07-27,STD,0.091,387672,0.088,399697,0.003,0.060,0.115
2001-209,2001-07-28,2001-08-04,STD,0.102,380583,0.096,399681,0.006,0.083,0.115
2001-217,2001-08-05,2001-08-12,STD,0.112,395594,0.098,399724,0.014,0.082,0.125
2001-225,2001-08-13,2001-08-20,STD,0.106,394951,0.104,399722,0.002,0.088,0.132
2001-233,2001-08-21,2001-08-28,STD,0.108,376665,0.108,399813,0.000,0.096,0.137
2001-241,2001-08-29,2001-09-05,STD,0.123,393649,0.112,399750,0.011,0.102,0.130
2001-249,2001-09-06,2001-09-13,STD,0.126,396698,0.115,399708,0.011,0.101,0.130
2001-257,2001-09-14,2001-09-21,STD,0.126,395133,0.117,399584,0.009,0.103,0.144
2001-265,2001-09-22,2001-09-29,STD,0.127,395727,0.118,399655,0.009,0.105,0.144
2001-273,2001-09-30,2001-10-07,STD,0.123,394991,0.120,399526,0.003,0.108,0.140
2001-281,2001-10-08,2001-10-15,STD,0.122,395478,0.120,399562,0.002,0.108,0.146
2001-289,2001-10-16,2001-10-23,STD,0.120,390241,0.121,399415,-0.001,0.111,0.134
2001-297,2001-10-24,2001-10-31,STD,0.123,387591,0.120,399269,0.003,0.107,0.141
2001-305,2001-11-01,2001-11-08,STD,0.120,395315,0.120,399464,0.000,0.106,0.141
2001-313,2001-11-09,2001-11-16,STD,0.119,393485,0.119,399359,0.000,0.107,0.139
2001-321,2001-11-17,2001-11-24,STD,0.114,380553,0.119,399020,-0.005,0.106,0.136
2001-329,2001-11-25,2001-12-02,STD,0.116,391505,0.118,399488,-0.002,0.107,0.144
2001-337,2001-12-03,2001-12-10,STD,0.114,383206,0.118,399238,-0.004,0.105,0.143
2001-345,2001-12-11,2001-12-18,STD,0.117,346706,0.118,399317,-0.001,0.106,0.141
2001-353,2001-12-19,2001-12-26,STD,0.115,353978,0.118,399180,-0.003,0.105,0.134
2001-361,2001-12-27,2002-01-03,STD,0.112,306186,0.115,399244,-0.003,0.100,0.136
2002-001,2002-01-01,2002-01-08,STD,0.118,310053,0.117,399304,0.001,0.100,0.136
2002-009,2002-01-09,2002-01-16,STD,0.124,292263,0.116,399229,0.008,0.100,0.141
2002-017,2002-01-17,2002-01-24,STD,0.125,343020,0.116,399596,0.009,0.100,0.148
2002-025,2002-01-25,2002-02-01,STD,0.133,367840,0.114,399161,0.019,0.101,0.139
2002-033,2002-02-02,2002-02-09,STD,0.128,345886,0.116,399452,0.012,0.095,0.151
2002-041,2002-02-10,2002-02-17,STD,0.122,344987,0.116,399343,0.006,0.101,0.146
2002-049,2002-02-18,2002-02-25,STD,0.121,337309,0.115,399228,0.006,0.100,0.142
2002-057,2002-02-26,2002-03-05,STD,0.127,383543,0.114,399317,0.013,0.097,0.137
2002-065,2002-03-06,2002-03-13,STD,0.124,390963,0.113,399272,0.011,0.097,0.132
2002-073,2002-03-14,2002-03-21,STD,0.117,376528,0.110,399487,0.007,0.096,0.133
2002-081,2002-03-22,2002-03-29,STD,0.125,316801,0.111,399424,0.014,0.095,0.127
2002-089,2002-03-30,2002-04-06,STD,0.113,388556,0.110,399604,0.003,0.093,0.124
2002-097,2002-04-07,2002-04-14,STD,0.109,359385,0.110,399687,-0.001,0.094,0.133
