GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:04:49 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28495
MAX SAMPLE COUNT,2228704

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.166,2207538,0.155,2227952,0.011,0.141,0.177
2001-009,2001-01-09,2001-01-16,STD,0.164,2199291,0.154,2227938,0.010,0.139,0.181
2001-017,2001-01-17,2001-01-24,STD,0.157,2121742,0.152,2227762,0.005,0.136,0.175
2001-025,2001-01-25,2001-02-01,STD,0.151,2007649,0.149,2227717,0.002,0.136,0.171
2001-033,2001-02-02,2001-02-09,STD,0.153,2175410,0.147,2227898,0.006,0.136,0.169
2001-041,2001-02-10,2001-02-17,STD,0.147,2174102,0.145,2227992,0.002,0.134,0.167
2001-049,2001-02-18,2001-02-25,STD,0.143,2071269,0.144,2227893,-0.001,0.131,0.168
2001-057,2001-02-26,2001-03-05,STD,0.145,2210114,0.141,2227809,0.004,0.128,0.165
2001-065,2001-03-06,2001-03-13,STD,0.139,2162396,0.139,2227789,0.000,0.126,0.161
2001-073,2001-03-14,2001-03-21,STD,0.139,2194467,0.135,2227968,0.004,0.118,0.155
2001-081,2001-03-22,2001-03-29,STD,0.139,2187972,0.134,2227812,0.005,0.120,0.150
2001-089,2001-03-30,2001-04-06,STD,0.135,2209058,0.133,2227813,0.002,0.117,0.148
2001-097,2001-04-07,2001-04-14,STD,0.133,2202511,0.132,2227630,0.001,0.125,0.147
2001-105,2001-04-15,2001-04-22,STD,0.130,2201410,0.132,2227830,-0.002,0.124,0.148
2001-113,2001-04-23,2001-04-30,STD,0.130,2210018,0.132,2227841,-0.002,0.121,0.151
2001-121,2001-05-01,2001-05-08,STD,0.127,2208244,0.132,2227704,-0.005,0.123,0.151
2001-129,2001-05-09,2001-05-16,STD,0.125,2207950,0.131,2227345,-0.006,0.094,0.159
2001-137,2001-05-17,2001-05-24,STD,0.126,2203992,0.134,2226851,-0.008,0.122,0.157
2001-145,2001-05-25,2001-06-01,STD,0.125,2198321,0.133,2227209,-0.008,0.113,0.153
2001-153,2001-06-02,2001-06-09,STD,0.128,2210719,0.131,2225993,-0.003,0.106,0.154
2001-161,2001-06-10,2001-06-17,STD,0.137,2186932,0.130,2225771,0.007,0.112,0.158
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.133,2225484,#N/A,0.115,0.161
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.138,2225442,#N/A,0.117,0.157
2001-185,2001-07-04,2001-07-11,STD,0.162,2148470,0.145,2224352,0.017,0.106,0.165
2001-193,2001-07-12,2001-07-19,STD,0.164,2097586,0.154,2225569,0.010,0.129,0.207
2001-201,2001-07-20,2001-07-27,STD,0.166,1787068,0.162,2224892,0.004,0.127,0.238
2001-209,2001-07-28,2001-08-04,STD,0.126,1175299,0.172,2224995,-0.046,0.125,0.204
2001-217,2001-08-05,2001-08-12,STD,0.224,1867271,0.187,2223619,0.037,0.089,0.274
2001-225,2001-08-13,2001-08-20,STD,0.254,2040031,0.219,2225685,0.035,0.152,0.291
2001-233,2001-08-21,2001-08-28,STD,0.265,2181317,0.229,2227144,0.036,0.159,0.291
2001-241,2001-08-29,2001-09-05,STD,0.264,2159151,0.242,2225842,0.022,0.185,0.313
2001-249,2001-09-06,2001-09-13,STD,0.256,2201102,0.247,2226502,0.009,0.208,0.323
2001-257,2001-09-14,2001-09-21,STD,0.243,2197698,0.239,2227169,0.004,0.206,0.318
2001-265,2001-09-22,2001-09-29,STD,0.228,2209574,0.223,2226882,0.005,0.185,0.293
2001-273,2001-09-30,2001-10-07,STD,0.210,2207544,0.205,2227538,0.005,0.174,0.271
2001-281,2001-10-08,2001-10-15,STD,0.198,2202793,0.193,2227489,0.005,0.167,0.254
2001-289,2001-10-16,2001-10-23,STD,0.189,2179136,0.183,2227699,0.006,0.161,0.232
2001-297,2001-10-24,2001-10-31,STD,0.184,2123717,0.176,2227752,0.008,0.155,0.219
2001-305,2001-11-01,2001-11-08,STD,0.180,2214370,0.172,2227774,0.008,0.155,0.205
2001-313,2001-11-09,2001-11-16,STD,0.175,2213788,0.167,2227847,0.008,0.153,0.199
2001-321,2001-11-17,2001-11-24,STD,0.167,2205621,0.164,2227707,0.003,0.150,0.194
2001-329,2001-11-25,2001-12-02,STD,0.163,2214264,0.161,2227950,0.002,0.146,0.190
2001-337,2001-12-03,2001-12-10,STD,0.163,2152025,0.160,2227938,0.003,0.142,0.190
2001-345,2001-12-11,2001-12-18,STD,0.161,2212609,0.159,2227990,0.002,0.145,0.189
2001-353,2001-12-19,2001-12-26,STD,0.158,2212610,0.157,2227993,0.001,0.140,0.183
2001-361,2001-12-27,2002-01-03,STD,0.157,2211078,0.155,2227905,0.002,0.140,0.181
2002-001,2002-01-01,2002-01-08,STD,0.162,1974841,0.155,2227952,0.007,0.141,0.177
2002-009,2002-01-09,2002-01-16,STD,0.167,1728097,0.154,2227938,0.013,0.139,0.181
2002-017,2002-01-17,2002-01-24,STD,0.155,1955595,0.152,2227762,0.003,0.136,0.175
2002-025,2002-01-25,2002-02-01,STD,0.157,2203390,0.149,2227717,0.008,0.136,0.171
2002-033,2002-02-02,2002-02-09,STD,0.156,2203885,0.147,2227898,0.009,0.136,0.169
2002-041,2002-02-10,2002-02-17,STD,0.152,2206163,0.145,2227992,0.007,0.134,0.167
2002-049,2002-02-18,2002-02-25,STD,0.152,2209316,0.144,2227893,0.008,0.131,0.168
2002-057,2002-02-26,2002-03-05,STD,0.147,2175637,0.141,2227809,0.006,0.128,0.165
2002-065,2002-03-06,2002-03-13,STD,0.147,2203798,0.139,2227789,0.008,0.126,0.161
2002-073,2002-03-14,2002-03-21,STD,0.144,2201738,0.135,2227968,0.009,0.118,0.155
2002-081,2002-03-22,2002-03-29,STD,0.131,997626,0.134,2227812,-0.003,0.120,0.150
2002-089,2002-03-30,2002-04-06,STD,0.138,2198483,0.133,2227813,0.005,0.117,0.148
2002-097,2002-04-07,2002-04-14,STD,0.137,2202084,0.132,2227630,0.005,0.125,0.147
2002-105,2002-04-15,2002-04-22,STD,0.133,2206295,0.132,2227830,0.001,0.124,0.148
2002-113,2002-04-23,2002-04-30,STD,0.133,2209615,0.132,2227841,0.001,0.121,0.151
2002-121,2002-05-01,2002-05-08,STD,0.134,2210143,0.132,2227704,0.002,0.123,0.151
2002-129,2002-05-09,2002-05-16,STD,0.131,2212856,0.131,2227345,0.000,0.094,0.159
2002-137,2002-05-17,2002-05-24,STD,0.130,2204172,0.134,2226851,-0.004,0.122,0.157
2002-145,2002-05-25,2002-06-01,STD,0.130,2209681,0.133,2227209,-0.003,0.113,0.153
2002-153,2002-06-02,2002-06-09,STD,0.126,2204611,0.131,2225993,-0.005,0.106,0.154
2002-161,2002-06-10,2002-06-17,STD,0.132,2153579,0.130,2225771,0.002,0.112,0.158
2002-169,2002-06-18,2002-06-25,STD,0.134,2207191,0.133,2225484,0.001,0.115,0.161
2002-177,2002-06-26,2002-07-03,STD,0.135,2204793,0.138,2225442,-0.003,0.117,0.157
2002-185,2002-07-04,2002-07-11,STD,0.134,2194641,0.145,2224352,-0.011,0.106,0.165
2002-193,2002-07-12,2002-07-19,STD,0.131,2129572,0.154,2225569,-0.023,0.129,0.207
2002-201,2002-07-20,2002-07-27,STD,0.146,2174172,0.162,2224892,-0.016,0.127,0.238
2002-209,2002-07-28,2002-08-04,STD,0.181,2057871,0.172,2224995,0.009,0.125,0.204
2002-217,2002-08-05,2002-08-12,STD,0.201,2068178,0.187,2223619,0.014,0.089,0.274
2002-225,2002-08-13,2002-08-20,STD,0.215,2145566,0.219,2225685,-0.004,0.152,0.291
2002-233,2002-08-21,2002-08-28,STD,0.224,2181587,0.229,2227144,-0.005,0.159,0.291
2002-241,2002-08-29,2002-09-05,STD,0.237,2156890,0.242,2225842,-0.005,0.185,0.313
2002-249,2002-09-06,2002-09-13,STD,0.242,2179020,0.247,2226502,-0.005,0.208,0.323
2002-257,2002-09-14,2002-09-21,STD,0.213,2205514,0.239,2227169,-0.026,0.206,0.318
2002-265,2002-09-22,2002-09-29,STD,0.193,2206290,0.223,2226882,-0.030,0.185,0.293
2002-273,2002-09-30,2002-10-07,STD,0.181,2210784,0.205,2227538,-0.024,0.174,0.271
2002-281,2002-10-08,2002-10-15,STD,0.174,2214155,0.193,2227489,-0.019,0.167,0.254
2002-289,2002-10-16,2002-10-23,STD,0.169,2211116,0.183,2227699,-0.014,0.161,0.232
2002-297,2002-10-24,2002-10-31,STD,0.162,2201422,0.176,2227752,-0.014,0.155,0.219
2002-305,2002-11-01,2002-11-08,STD,0.160,2197812,0.172,2227774,-0.012,0.155,0.205
2002-313,2002-11-09,2002-11-16,STD,0.156,2214221,0.167,2227847,-0.011,0.153,0.199
2002-321,2002-11-17,2002-11-24,STD,0.155,2213188,0.164,2227707,-0.009,0.150,0.194
2002-329,2002-11-25,2002-12-02,STD,0.154,2210995,0.161,2227950,-0.007,0.146,0.190
2002-337,2002-12-03,2002-12-10,STD,0.152,2209036,0.160,2227938,-0.008,0.142,0.190
2002-345,2002-12-11,2002-12-18,STD,0.151,1979849,0.159,2227990,-0.008,0.145,0.189
2002-353,2002-12-19,2002-12-26,STD,0.155,1922204,0.157,2227993,-0.002,0.140,0.183
2002-361,2002-12-27,2003-01-03,STD,0.153,2132378,0.155,2227905,-0.002,0.140,0.181
2003-001,2003-01-01,2003-01-08,STD,0.154,2207688,0.155,2227952,-0.001,0.141,0.177
2003-009,2003-01-09,2003-01-16,STD,0.153,2213915,0.154,2227938,-0.001,0.139,0.181
2003-017,2003-01-17,2003-01-24,STD,0.153,2118611,0.152,2227762,0.001,0.136,0.175
2003-025,2003-01-25,2003-02-01,STD,0.154,2214395,0.149,2227717,0.005,0.136,0.171
2003-033,2003-02-02,2003-02-09,STD,0.147,2129926,0.147,2227898,0.000,0.136,0.169
2003-041,2003-02-10,2003-02-17,STD,0.144,2113496,0.145,2227992,-0.001,0.134,0.167
2003-049,2003-02-18,2003-02-25,STD,0.144,2152077,0.144,2227893,0.000,0.131,0.168
2003-057,2003-02-26,2003-03-05,STD,0.142,2181935,0.141,2227809,0.001,0.128,0.165
2003-065,2003-03-06,2003-03-13,STD,0.143,2194669,0.139,2227789,0.004,0.126,0.161
2003-073,2003-03-14,2003-03-21,STD,0.143,2193720,0.135,2227968,0.008,0.118,0.155
2003-081,2003-03-22,2003-03-29,STD,0.133,2117506,0.134,2227812,-0.001,0.120,0.150
2003-089,2003-03-30,2003-04-06,STD,0.136,2208799,0.133,2227813,0.003,0.117,0.148
2003-097,2003-04-07,2003-04-14,STD,0.132,2210553,0.132,2227630,0.000,0.125,0.147
2003-105,2003-04-15,2003-04-22,STD,0.129,2176822,0.132,2227830,-0.003,0.124,0.148
2003-113,2003-04-23,2003-04-30,STD,0.129,2185345,0.132,2227841,-0.003,0.121,0.151
2003-121,2003-05-01,2003-05-08,STD,0.128,2202720,0.132,2227704,-0.004,0.123,0.151
2003-129,2003-05-09,2003-05-16,STD,0.130,2209358,0.131,2227345,-0.001,0.094,0.159
2003-137,2003-05-17,2003-05-24,STD,0.128,2204806,0.134,2226851,-0.006,0.122,0.157
2003-145,2003-05-25,2003-06-01,STD,0.127,2206968,0.133,2227209,-0.006,0.113,0.153
2003-153,2003-06-02,2003-06-09,STD,0.125,2197936,0.131,2225993,-0.006,0.106,0.154
2003-161,2003-06-10,2003-06-17,STD,0.123,2201867,0.130,2225771,-0.007,0.112,0.158
