GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:05:11 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28496
MAX SAMPLE COUNT,20982343

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.341,20918750,0.336,20981871,0.005,0.302,0.406
2001-009,2001-01-09,2001-01-16,STD,0.324,20544539,0.323,20981613,0.001,0.294,0.402
2001-017,2001-01-17,2001-01-24,STD,0.310,20668990,0.311,20981944,-0.001,0.282,0.377
2001-025,2001-01-25,2001-02-01,STD,0.304,20832031,0.300,20981909,0.004,0.274,0.341
2001-033,2001-02-02,2001-02-09,STD,0.292,20967610,0.293,20981851,-0.001,0.270,0.351
2001-041,2001-02-10,2001-02-17,STD,0.292,20734461,0.284,20982204,0.008,0.263,0.344
2001-049,2001-02-18,2001-02-25,STD,0.283,20543130,0.280,20981895,0.003,0.259,0.329
2001-057,2001-02-26,2001-03-05,STD,0.278,20952642,0.277,20982141,0.001,0.243,0.311
2001-065,2001-03-06,2001-03-13,STD,0.268,19744799,0.277,20982009,-0.009,0.249,0.338
2001-073,2001-03-14,2001-03-21,STD,0.281,18356134,0.280,20982259,0.001,0.249,0.332
2001-081,2001-03-22,2001-03-29,STD,0.295,18431680,0.291,20982139,0.004,0.249,0.346
2001-089,2001-03-30,2001-04-06,STD,0.306,18062319,0.301,20982219,0.005,0.255,0.360
2001-097,2001-04-07,2001-04-14,STD,0.316,17798382,0.317,20980677,-0.001,0.261,0.385
2001-105,2001-04-15,2001-04-22,STD,0.346,17787885,0.337,20976373,0.009,0.283,0.385
2001-113,2001-04-23,2001-04-30,STD,0.357,16712026,0.359,20976462,-0.002,0.295,0.405
2001-121,2001-05-01,2001-05-08,STD,0.374,17161403,0.377,20969129,-0.003,0.326,0.418
2001-129,2001-05-09,2001-05-16,STD,0.374,16235179,0.392,20962149,-0.018,0.334,0.440
2001-137,2001-05-17,2001-05-24,STD,0.400,18754601,0.399,20967720,0.001,0.352,0.479
2001-145,2001-05-25,2001-06-01,STD,0.389,15774788,0.400,20974529,-0.011,0.343,0.470
2001-153,2001-06-02,2001-06-09,STD,0.399,17277697,0.397,20972521,0.002,0.328,0.439
2001-161,2001-06-10,2001-06-17,STD,0.338,10291311,0.381,20955621,-0.043,0.322,0.436
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.379,20930199,#N/A,0.326,0.421
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.384,20940635,#N/A,0.345,0.418
2001-185,2001-07-04,2001-07-11,STD,0.401,12589402,0.378,20937318,0.023,0.325,0.438
2001-193,2001-07-12,2001-07-19,STD,0.401,15951448,0.391,20911999,0.010,0.315,0.436
2001-201,2001-07-20,2001-07-27,STD,0.406,13298541,0.382,20884707,0.024,0.299,0.420
2001-209,2001-07-28,2001-08-04,STD,0.338,9772672,0.393,20894689,-0.055,0.323,0.444
2001-217,2001-08-05,2001-08-12,STD,0.392,14853099,0.393,20862039,-0.001,0.302,0.443
2001-225,2001-08-13,2001-08-20,STD,0.437,17083648,0.426,20925253,0.011,0.313,0.468
2001-233,2001-08-21,2001-08-28,STD,0.476,17086140,0.445,20960700,0.031,0.360,0.511
2001-241,2001-08-29,2001-09-05,STD,0.438,16282580,0.445,20944763,-0.007,0.381,0.475
2001-249,2001-09-06,2001-09-13,STD,0.478,19711599,0.455,20975862,0.023,0.421,0.495
2001-257,2001-09-14,2001-09-21,STD,0.472,19940010,0.458,20963045,0.014,0.430,0.498
2001-265,2001-09-22,2001-09-29,STD,0.459,18117728,0.453,20968418,0.006,0.415,0.480
2001-273,2001-09-30,2001-10-07,STD,0.470,18479272,0.464,20968970,0.006,0.423,0.496
2001-281,2001-10-08,2001-10-15,STD,0.456,16354523,0.475,20964012,-0.019,0.442,0.541
2001-289,2001-10-16,2001-10-23,STD,0.446,17941678,0.473,20980078,-0.027,0.440,0.521
2001-297,2001-10-24,2001-10-31,STD,0.473,17391367,0.466,20979330,0.007,0.436,0.513
2001-305,2001-11-01,2001-11-08,STD,0.469,20248723,0.457,20982077,0.012,0.421,0.497
2001-313,2001-11-09,2001-11-16,STD,0.452,20012720,0.445,20981775,0.007,0.399,0.486
2001-321,2001-11-17,2001-11-24,STD,0.426,19910795,0.428,20981805,-0.002,0.383,0.468
2001-329,2001-11-25,2001-12-02,STD,0.416,20035422,0.414,20981689,0.002,0.370,0.489
2001-337,2001-12-03,2001-12-10,STD,0.390,20391749,0.397,20981781,-0.007,0.358,0.468
2001-345,2001-12-11,2001-12-18,STD,0.379,19833200,0.380,20981563,-0.001,0.338,0.465
2001-353,2001-12-19,2001-12-26,STD,0.353,20911555,0.362,20981660,-0.009,0.323,0.451
2001-361,2001-12-27,2002-01-03,STD,0.336,20642937,0.343,20981955,-0.007,0.308,0.429
2002-001,2002-01-01,2002-01-08,STD,0.330,17853569,0.336,20981871,-0.006,0.302,0.406
2002-009,2002-01-09,2002-01-16,STD,0.326,17787544,0.323,20981613,0.003,0.294,0.402
2002-017,2002-01-17,2002-01-24,STD,0.323,20573124,0.311,20981944,0.012,0.282,0.377
2002-025,2002-01-25,2002-02-01,STD,0.308,20927428,0.300,20981909,0.008,0.274,0.341
2002-033,2002-02-02,2002-02-09,STD,0.300,20966389,0.293,20981851,0.007,0.270,0.351
2002-041,2002-02-10,2002-02-17,STD,0.281,20821785,0.284,20982204,-0.003,0.263,0.344
2002-049,2002-02-18,2002-02-25,STD,0.289,20951575,0.280,20981895,0.009,0.259,0.329
2002-057,2002-02-26,2002-03-05,STD,0.277,20855567,0.277,20982141,0.000,0.243,0.311
2002-065,2002-03-06,2002-03-13,STD,0.292,20602265,0.277,20982009,0.015,0.249,0.338
2002-073,2002-03-14,2002-03-21,STD,0.285,19549817,0.280,20982259,0.005,0.249,0.332
2002-081,2002-03-22,2002-03-29,STD,0.280,6541668,0.291,20982139,-0.011,0.249,0.346
2002-089,2002-03-30,2002-04-06,STD,0.321,18910144,0.301,20982219,0.020,0.255,0.360
2002-097,2002-04-07,2002-04-14,STD,0.321,18355056,0.317,20980677,0.004,0.261,0.385
2002-105,2002-04-15,2002-04-22,STD,0.353,16179364,0.337,20976373,0.016,0.283,0.385
2002-113,2002-04-23,2002-04-30,STD,0.384,18800224,0.359,20976462,0.025,0.295,0.405
2002-121,2002-05-01,2002-05-08,STD,0.378,17099201,0.377,20969129,0.001,0.326,0.418
2002-129,2002-05-09,2002-05-16,STD,0.379,18744868,0.392,20962149,-0.013,0.334,0.440
2002-137,2002-05-17,2002-05-24,STD,0.359,17415227,0.399,20967720,-0.040,0.352,0.479
2002-145,2002-05-25,2002-06-01,STD,0.363,18850846,0.400,20974529,-0.037,0.343,0.470
