GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:15:43 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28620
MAX SAMPLE COUNT,4903428

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.609,1060360,0.641,4877716,-0.032,0.558,0.750
2001-009,2001-01-09,2001-01-16,STD,0.570,438345,0.654,4886906,-0.084,0.570,0.770
2001-017,2001-01-17,2001-01-24,STD,0.619,1341460,0.659,4875769,-0.040,0.582,0.748
2001-025,2001-01-25,2001-02-01,STD,0.646,1935798,0.674,4886226,-0.028,0.622,0.745
2001-033,2001-02-02,2001-02-09,STD,0.649,956379,0.699,4870359,-0.050,0.608,0.775
2001-041,2001-02-10,2001-02-17,STD,0.665,456379,0.717,4892678,-0.052,0.625,0.760
2001-049,2001-02-18,2001-02-25,STD,0.743,2418588,0.727,4865295,0.016,0.651,0.776
2001-057,2001-02-26,2001-03-05,STD,0.797,1826391,0.744,4899835,0.053,0.662,0.797
2001-065,2001-03-06,2001-03-13,STD,0.762,2608770,0.760,4902108,0.002,0.696,0.795
2001-073,2001-03-14,2001-03-21,STD,0.771,1839644,0.751,4884092,0.020,0.658,0.812
2001-081,2001-03-22,2001-03-29,STD,0.779,1423115,0.754,4902279,0.025,0.650,0.823
2001-089,2001-03-30,2001-04-06,STD,0.812,985583,0.780,4903073,0.032,0.676,0.824
2001-097,2001-04-07,2001-04-14,STD,0.765,1344568,0.788,4902232,-0.023,0.732,0.817
2001-105,2001-04-15,2001-04-22,STD,0.749,322383,0.798,4899733,-0.049,0.727,0.840
2001-113,2001-04-23,2001-04-30,STD,0.764,1061642,0.799,4863138,-0.035,0.739,0.837
2001-121,2001-05-01,2001-05-08,STD,0.781,864463,0.809,4869512,-0.028,0.766,0.841
2001-129,2001-05-09,2001-05-16,STD,0.782,957138,0.795,4821400,-0.013,0.719,0.835
2001-137,2001-05-17,2001-05-24,STD,0.765,753739,0.792,4680185,-0.027,0.751,0.829
2001-145,2001-05-25,2001-06-01,STD,0.783,863820,0.786,4446853,-0.003,0.744,0.830
2001-153,2001-06-02,2001-06-09,STD,0.738,267368,0.771,4291688,-0.033,0.698,0.819
2001-161,2001-06-10,2001-06-17,STD,0.744,754703,0.749,4196361,-0.005,0.628,0.813
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.721,4191509,#N/A,0.652,0.767
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.708,4548670,#N/A,0.629,0.750
2001-185,2001-07-04,2001-07-11,STD,0.649,546368,0.711,4520860,-0.062,0.604,0.767
2001-193,2001-07-12,2001-07-19,STD,0.582,483771,0.671,4112457,-0.089,0.582,0.729
2001-201,2001-07-20,2001-07-27,STD,0.716,2637053,0.683,4501920,0.033,0.517,0.741
2001-209,2001-07-28,2001-08-04,STD,0.670,2715261,0.683,4700414,-0.013,0.520,0.724
2001-217,2001-08-05,2001-08-12,STD,0.681,1066802,0.669,4391851,0.012,0.546,0.706
2001-225,2001-08-13,2001-08-20,STD,0.673,1686582,0.660,3751278,0.013,0.340,0.726
2001-233,2001-08-21,2001-08-28,STD,0.537,165252,0.691,4023013,-0.154,0.537,0.795
2001-241,2001-08-29,2001-09-05,STD,0.662,551247,0.667,3103536,-0.005,0.599,0.721
2001-249,2001-09-06,2001-09-13,STD,0.637,781927,0.702,3716769,-0.065,0.589,0.763
2001-257,2001-09-14,2001-09-21,STD,0.710,358921,0.723,2901961,-0.013,0.625,0.806
2001-265,2001-09-22,2001-09-29,STD,0.695,265708,0.750,3080474,-0.055,0.655,0.824
2001-273,2001-09-30,2001-10-07,STD,0.634,136305,0.764,3206096,-0.130,0.608,0.808
2001-281,2001-10-08,2001-10-15,STD,0.780,589447,0.787,3220168,-0.007,0.665,0.822
2001-289,2001-10-16,2001-10-23,STD,0.826,1872166,0.795,3758196,0.031,0.743,0.826
2001-297,2001-10-24,2001-10-31,STD,0.702,171146,0.795,4231881,-0.093,0.702,0.829
2001-305,2001-11-01,2001-11-08,STD,0.799,417844,0.800,4307666,-0.001,0.750,0.832
2001-313,2001-11-09,2001-11-16,STD,0.793,663018,0.796,4587774,-0.003,0.753,0.843
2001-321,2001-11-17,2001-11-24,STD,0.772,1094290,0.786,4423572,-0.014,0.737,0.818
2001-329,2001-11-25,2001-12-02,STD,0.759,449291,0.763,4651590,-0.004,0.708,0.816
2001-337,2001-12-03,2001-12-10,STD,0.749,944635,0.757,4769530,-0.008,0.703,0.799
2001-345,2001-12-11,2001-12-18,STD,0.719,331856,0.723,4817962,-0.004,0.650,0.766
2001-353,2001-12-19,2001-12-26,STD,0.690,478474,0.683,4764604,0.007,0.613,0.743
2001-361,2001-12-27,2002-01-03,STD,0.661,552159,0.642,4834308,0.019,0.546,0.721
2002-001,2002-01-01,2002-01-08,STD,0.693,1074242,0.641,4877716,0.052,0.558,0.750
2002-009,2002-01-09,2002-01-16,STD,0.613,1431135,0.654,4886906,-0.041,0.570,0.770
2002-017,2002-01-17,2002-01-24,STD,0.664,314442,0.659,4875769,0.005,0.582,0.748
2002-025,2002-01-25,2002-02-01,STD,0.622,966716,0.674,4886226,-0.052,0.622,0.745
2002-033,2002-02-02,2002-02-09,STD,0.626,164963,0.699,4870359,-0.073,0.608,0.775
2002-041,2002-02-10,2002-02-17,STD,0.658,565607,0.717,4892678,-0.059,0.625,0.760
2002-049,2002-02-18,2002-02-25,STD,0.728,2540177,0.727,4865295,0.001,0.651,0.776
2002-057,2002-02-26,2002-03-05,STD,0.759,2395616,0.744,4899835,0.015,0.662,0.797
2002-065,2002-03-06,2002-03-13,STD,0.779,1891828,0.760,4902108,0.019,0.696,0.795
2002-073,2002-03-14,2002-03-21,STD,0.751,834228,0.751,4884092,0.000,0.658,0.812
2002-081,2002-03-22,2002-03-29,STD,0.748,414981,0.754,4902279,-0.006,0.650,0.823
2002-089,2002-03-30,2002-04-06,STD,0.763,1318249,0.780,4903073,-0.017,0.676,0.824
2002-097,2002-04-07,2002-04-14,STD,0.747,433388,0.788,4902232,-0.041,0.732,0.817
2002-105,2002-04-15,2002-04-22,STD,0.815,1893116,0.798,4899733,0.017,0.727,0.840
2002-113,2002-04-23,2002-04-30,STD,0.739,905035,0.799,4863138,-0.060,0.739,0.837
2002-121,2002-05-01,2002-05-08,STD,0.822,2562163,0.809,4869512,0.013,0.766,0.841
2002-129,2002-05-09,2002-05-16,STD,0.772,1725874,0.795,4821400,-0.023,0.719,0.835
2002-137,2002-05-17,2002-05-24,STD,0.809,1824545,0.792,4680185,0.017,0.751,0.829
2002-145,2002-05-25,2002-06-01,STD,0.748,297572,0.786,4446853,-0.038,0.744,0.830
2002-153,2002-06-02,2002-06-09,STD,0.793,870286,0.771,4291688,0.022,0.698,0.819
2002-161,2002-06-10,2002-06-17,STD,0.749,947708,0.749,4196361,0.000,0.628,0.813
2002-169,2002-06-18,2002-06-25,STD,0.696,994497,0.721,4191509,-0.025,0.652,0.767
2002-177,2002-06-26,2002-07-03,STD,0.708,1757050,0.708,4548670,0.000,0.629,0.750
2002-185,2002-07-04,2002-07-11,STD,0.684,515571,0.711,4520860,-0.027,0.604,0.767
2002-193,2002-07-12,2002-07-19,STD,0.701,909027,0.671,4112457,0.030,0.582,0.729
2002-201,2002-07-20,2002-07-27,STD,0.688,1036630,0.683,4501920,0.005,0.517,0.741
2002-209,2002-07-28,2002-08-04,STD,0.520,139222,0.683,4700414,-0.163,0.520,0.724
2002-217,2002-08-05,2002-08-12,STD,0.679,740505,0.669,4391851,0.010,0.546,0.706
2002-225,2002-08-13,2002-08-20,STD,0.621,161080,0.660,3751278,-0.039,0.340,0.726
2002-233,2002-08-21,2002-08-28,STD,0.709,886813,0.691,4023013,0.018,0.537,0.795
2002-241,2002-08-29,2002-09-05,STD,0.721,82545,0.667,3103536,0.054,0.599,0.721
2002-249,2002-09-06,2002-09-13,STD,0.655,221160,0.702,3716769,-0.047,0.589,0.763
2002-257,2002-09-14,2002-09-21,STD,0.789,207031,0.723,2901961,0.066,0.625,0.806
2002-265,2002-09-22,2002-09-29,STD,0.763,35583,0.750,3080474,0.013,0.655,0.824
2002-273,2002-09-30,2002-10-07,STD,0.793,95264,0.764,3206096,0.029,0.608,0.808
2002-281,2002-10-08,2002-10-15,STD,0.784,611731,0.787,3220168,-0.003,0.665,0.822
2002-289,2002-10-16,2002-10-23,STD,0.792,110887,0.795,3758196,-0.003,0.743,0.826
2002-297,2002-10-24,2002-10-31,STD,0.793,848273,0.795,4231881,-0.002,0.702,0.829
2002-305,2002-11-01,2002-11-08,STD,0.782,390013,0.800,4307666,-0.018,0.750,0.832
2002-313,2002-11-09,2002-11-16,STD,0.806,1743874,0.796,4587774,0.010,0.753,0.843
2002-321,2002-11-17,2002-11-24,STD,0.758,699394,0.786,4423572,-0.028,0.737,0.818
2002-329,2002-11-25,2002-12-02,STD,0.775,763632,0.763,4651590,0.012,0.708,0.816
2002-337,2002-12-03,2002-12-10,STD,0.757,1375602,0.757,4769530,0.000,0.703,0.799
2002-345,2002-12-11,2002-12-18,STD,0.751,1661248,0.723,4817962,0.028,0.650,0.766
2002-353,2002-12-19,2002-12-26,STD,0.694,329673,0.683,4764604,0.011,0.613,0.743
2002-361,2002-12-27,2003-01-03,STD,0.634,2442932,0.642,4834308,-0.008,0.546,0.721
2003-001,2003-01-01,2003-01-08,STD,0.609,1561904,0.641,4877716,-0.032,0.558,0.750
2003-009,2003-01-09,2003-01-16,STD,0.644,1402634,0.654,4886906,-0.010,0.570,0.770
2003-017,2003-01-17,2003-01-24,STD,0.659,713833,0.659,4875769,0.000,0.582,0.748
2003-025,2003-01-25,2003-02-01,STD,0.659,890445,0.674,4886226,-0.015,0.622,0.745
2003-033,2003-02-02,2003-02-09,STD,0.739,3002334,0.699,4870359,0.040,0.608,0.775
2003-041,2003-02-10,2003-02-17,STD,0.689,2012997,0.717,4892678,-0.028,0.625,0.760
2003-049,2003-02-18,2003-02-25,STD,0.734,729863,0.727,4865295,0.007,0.651,0.776
2003-057,2003-02-26,2003-03-05,STD,0.768,1753486,0.744,4899835,0.024,0.662,0.797
2003-065,2003-03-06,2003-03-13,STD,0.752,1944065,0.760,4902108,-0.008,0.696,0.795
2003-073,2003-03-14,2003-03-21,STD,0.779,291672,0.751,4884092,0.028,0.658,0.812
2003-081,2003-03-22,2003-03-29,STD,0.749,2957584,0.754,4902279,-0.005,0.650,0.823
2003-089,2003-03-30,2003-04-06,STD,0.794,3547826,0.780,4903073,0.014,0.676,0.824
2003-097,2003-04-07,2003-04-14,STD,0.787,369377,0.788,4902232,-0.001,0.732,0.817
2003-105,2003-04-15,2003-04-22,STD,0.805,916350,0.798,4899733,0.007,0.727,0.840
2003-113,2003-04-23,2003-04-30,STD,0.772,496201,0.799,4863138,-0.027,0.739,0.837
2003-121,2003-05-01,2003-05-08,STD,0.813,2017103,0.809,4869512,0.004,0.766,0.841
2003-129,2003-05-09,2003-05-16,STD,0.766,858027,0.795,4821400,-0.029,0.719,0.835
2003-137,2003-05-17,2003-05-24,STD,0.781,1636886,0.792,4680185,-0.011,0.751,0.829
2003-145,2003-05-25,2003-06-01,STD,0.787,485886,0.786,4446853,0.001,0.744,0.830
2003-153,2003-06-02,2003-06-09,STD,0.789,1080232,0.771,4291688,0.018,0.698,0.819
2003-161,2003-06-10,2003-06-17,STD,0.713,538497,0.749,4196361,-0.036,0.628,0.813
2003-169,2003-06-18,2003-06-25,STD,0.714,873141,0.721,4191509,-0.007,0.652,0.767
2003-177,2003-06-26,2003-07-03,STD,0.741,1134798,0.708,4548670,0.033,0.629,0.750
2003-185,2003-07-04,2003-07-11,STD,0.713,1141793,0.711,4520860,0.002,0.604,0.767
2003-193,2003-07-12,2003-07-19,STD,0.682,584431,0.671,4112457,0.011,0.582,0.729
2003-201,2003-07-20,2003-07-27,STD,0.688,777863,0.683,4501920,0.005,0.517,0.741
2003-209,2003-07-28,2003-08-04,STD,0.631,570872,0.683,4700414,-0.052,0.520,0.724
2003-217,2003-08-05,2003-08-12,STD,0.611,448670,0.669,4391851,-0.058,0.546,0.706
2003-225,2003-08-13,2003-08-20,STD,0.697,558654,0.660,3751278,0.037,0.340,0.726
2003-233,2003-08-21,2003-08-28,STD,0.703,1948162,0.691,4023013,0.012,0.537,0.795
2003-241,2003-08-29,2003-09-05,STD,0.639,120604,0.667,3103536,-0.028,0.599,0.721
2003-249,2003-09-06,2003-09-13,STD,0.686,200004,0.702,3716769,-0.016,0.589,0.763
2003-257,2003-09-14,2003-09-21,STD,0.778,431386,0.723,2901961,0.055,0.625,0.806
2003-265,2003-09-22,2003-09-29,STD,0.727,237265,0.750,3080474,-0.023,0.655,0.824
2003-273,2003-09-30,2003-10-07,STD,0.769,285524,0.764,3206096,0.005,0.608,0.808
2003-281,2003-10-08,2003-10-15,STD,0.740,166014,0.787,3220168,-0.047,0.665,0.822
2003-289,2003-10-16,2003-10-23,STD,0.772,488416,0.795,3758196,-0.023,0.743,0.826
2003-297,2003-10-24,2003-10-31,STD,0.796,882932,0.795,4231881,0.001,0.702,0.829
2003-305,2003-11-01,2003-11-08,STD,0.807,611734,0.800,4307666,0.007,0.750,0.832
2003-313,2003-11-09,2003-11-16,STD,0.797,1640941,0.796,4587774,0.001,0.753,0.843
2003-321,2003-11-17,2003-11-24,STD,0.737,643854,0.786,4423572,-0.049,0.737,0.818
2003-329,2003-11-25,2003-12-02,STD,0.749,640263,0.763,4651590,-0.014,0.708,0.816
2003-337,2003-12-03,2003-12-10,STD,0.752,2209176,0.757,4769530,-0.005,0.703,0.799
2003-345,2003-12-11,2003-12-18,STD,0.730,890805,0.723,4817962,0.007,0.650,0.766
2003-353,2003-12-19,2003-12-26,STD,0.658,201109,0.683,4764604,-0.025,0.613,0.743
2003-361,2003-12-27,2004-01-03,STD,0.657,1539039,0.642,4834308,0.015,0.546,0.721
2004-001,2004-01-01,2004-01-08,STD,0.664,1232973,0.641,4877716,0.023,0.558,0.750
2004-009,2004-01-09,2004-01-16,STD,0.770,1280923,0.654,4886906,0.116,0.570,0.770
2004-017,2004-01-17,2004-01-24,STD,0.640,1437152,0.659,4875769,-0.019,0.582,0.748
2004-025,2004-01-25,2004-02-01,STD,0.656,1433068,0.674,4886226,-0.018,0.622,0.745
2004-033,2004-02-02,2004-02-09,STD,0.608,2698231,0.699,4870359,-0.091,0.608,0.775
2004-041,2004-02-10,2004-02-17,STD,0.760,3803833,0.717,4892678,0.043,0.625,0.760
2004-049,2004-02-18,2004-02-25,STD,0.685,886095,0.727,4865295,-0.042,0.651,0.776
2004-057,2004-02-26,2004-03-04,STD,0.727,1688818,0.744,4899835,-0.017,0.662,0.797
2004-065,2004-03-05,2004-03-12,STD,0.711,998108,0.760,4902108,-0.049,0.696,0.795
2004-073,2004-03-13,2004-03-20,STD,0.658,971143,0.751,4884092,-0.093,0.658,0.812
2004-081,2004-03-21,2004-03-28,STD,0.761,2503613,0.754,4902279,0.007,0.650,0.823
2004-089,2004-03-29,2004-04-05,STD,0.759,420569,0.780,4903073,-0.021,0.676,0.824
2004-097,2004-04-06,2004-04-13,STD,0.789,2111869,0.788,4902232,0.001,0.732,0.817
2004-105,2004-04-14,2004-04-21,STD,0.790,534630,0.798,4899733,-0.008,0.727,0.840
2004-113,2004-04-22,2004-04-29,STD,0.814,947472,0.799,4863138,0.015,0.739,0.837
2004-121,2004-04-30,2004-05-07,STD,0.801,1543886,0.809,4869512,-0.008,0.766,0.841
2004-129,2004-05-08,2004-05-15,STD,0.719,288112,0.795,4821400,-0.076,0.719,0.835
2004-137,2004-05-16,2004-05-23,STD,0.782,318050,0.792,4680185,-0.010,0.751,0.829
