GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:00:27 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28480
MAX SAMPLE COUNT,4341371

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.371,3758335,0.403,4341336,-0.032,0.312,0.472
2001-009,2001-01-09,2001-01-16,STD,0.360,3653916,0.367,4340233,-0.007,0.272,0.450
2001-017,2001-01-17,2001-01-24,STD,0.368,4068129,0.370,4341350,-0.002,0.317,0.433
2001-025,2001-01-25,2001-02-01,STD,0.352,4090428,0.360,4341101,-0.008,0.255,0.439
2001-033,2001-02-02,2001-02-09,STD,0.333,3529500,0.351,4339684,-0.018,0.280,0.408
2001-041,2001-02-10,2001-02-17,STD,0.332,4186995,0.363,4341343,-0.031,0.245,0.452
2001-049,2001-02-18,2001-02-25,STD,0.344,3875844,0.353,4340719,-0.009,0.255,0.413
2001-057,2001-02-26,2001-03-05,STD,0.334,3433741,0.370,4339088,-0.036,0.271,0.470
2001-065,2001-03-06,2001-03-13,STD,0.339,3407922,0.391,4340994,-0.052,0.272,0.468
2001-073,2001-03-14,2001-03-21,STD,0.359,3171863,0.412,4340361,-0.053,0.323,0.486
2001-081,2001-03-22,2001-03-29,STD,0.365,2791168,0.425,4338664,-0.060,0.302,0.500
2001-089,2001-03-30,2001-04-06,STD,0.465,3773236,0.442,4341313,0.023,0.354,0.525
2001-097,2001-04-07,2001-04-14,STD,0.436,3274488,0.467,4338815,-0.031,0.312,0.597
2001-105,2001-04-15,2001-04-22,STD,0.455,2684260,0.497,4341299,-0.042,0.435,0.615
2001-113,2001-04-23,2001-04-30,STD,0.561,2333386,0.528,4341100,0.033,0.403,0.584
2001-121,2001-05-01,2001-05-08,STD,0.516,1746621,0.546,4341083,-0.030,0.459,0.649
2001-129,2001-05-09,2001-05-16,STD,0.554,1501875,0.565,4339419,-0.011,0.487,0.651
2001-137,2001-05-17,2001-05-24,STD,0.587,2970488,0.579,4338025,0.008,0.481,0.650
2001-145,2001-05-25,2001-06-01,STD,0.609,1480730,0.599,4334716,0.010,0.480,0.656
2001-153,2001-06-02,2001-06-09,STD,0.625,2021646,0.607,4301814,0.018,0.506,0.735
2001-161,2001-06-10,2001-06-17,STD,0.622,1704184,0.605,4267285,0.017,0.521,0.673
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.640,4280073,#N/A,0.562,0.701
2001-177,2001-06-26,2001-07-03,STD,0.568,36686,0.656,4056115,-0.088,0.536,0.758
2001-185,2001-07-04,2001-07-11,STD,0.663,690659,0.649,4081954,0.014,0.565,0.732
2001-193,2001-07-12,2001-07-19,STD,0.632,1991792,0.673,4125485,-0.041,0.590,0.724
2001-201,2001-07-20,2001-07-27,STD,0.676,1425050,0.694,4079663,-0.018,0.624,0.735
2001-209,2001-07-28,2001-08-04,STD,0.674,273747,0.677,3673205,-0.003,0.619,0.728
2001-217,2001-08-05,2001-08-12,STD,0.723,638374,0.697,3988254,0.026,0.619,0.743
2001-225,2001-08-13,2001-08-20,STD,0.665,130700,0.696,3549058,-0.031,0.648,0.793
2001-233,2001-08-21,2001-08-28,STD,0.674,439016,0.702,3434330,-0.028,0.652,0.734
2001-241,2001-08-29,2001-09-05,STD,0.728,681220,0.698,3325811,0.030,0.635,0.737
2001-249,2001-09-06,2001-09-13,STD,0.647,1233800,0.693,3599122,-0.046,0.647,0.745
2001-257,2001-09-14,2001-09-21,STD,0.684,1316597,0.694,3814060,-0.010,0.654,0.733
2001-265,2001-09-22,2001-09-29,STD,0.700,800751,0.697,4016366,0.003,0.674,0.728
2001-273,2001-09-30,2001-10-07,STD,0.688,2129903,0.693,4103290,-0.005,0.664,0.714
2001-281,2001-10-08,2001-10-15,STD,0.662,1942980,0.687,4278628,-0.025,0.656,0.713
2001-289,2001-10-16,2001-10-23,STD,0.664,3009031,0.683,4332223,-0.019,0.640,0.717
2001-297,2001-10-24,2001-10-31,STD,0.594,2841823,0.660,4336916,-0.066,0.594,0.701
2001-305,2001-11-01,2001-11-08,STD,0.587,3337706,0.631,4332846,-0.044,0.567,0.676
2001-313,2001-11-09,2001-11-16,STD,0.524,2711966,0.605,4339122,-0.081,0.524,0.654
2001-321,2001-11-17,2001-11-24,STD,0.508,2982190,0.569,4339664,-0.061,0.508,0.626
2001-329,2001-11-25,2001-12-02,STD,0.430,2217417,0.529,4338104,-0.099,0.430,0.579
2001-337,2001-12-03,2001-12-10,STD,0.464,3589299,0.499,4339675,-0.035,0.431,0.565
2001-345,2001-12-11,2001-12-18,STD,0.409,3284698,0.470,4340722,-0.061,0.350,0.533
2001-353,2001-12-19,2001-12-26,STD,0.359,2923894,0.436,4341299,-0.077,0.359,0.506
2001-361,2001-12-27,2002-01-03,STD,0.387,3377174,0.427,4341275,-0.040,0.361,0.481
