GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:02:17 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28488
MAX SAMPLE COUNT,4569351

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.480,4564762,0.477,4569308,0.003,0.415,0.523
2001-009,2001-01-09,2001-01-16,STD,0.471,4559992,0.456,4569329,0.015,0.352,0.494
2001-017,2001-01-17,2001-01-24,STD,0.451,4568962,0.443,4569351,0.008,0.408,0.483
2001-025,2001-01-25,2001-02-01,STD,0.437,4568328,0.440,4569347,-0.003,0.381,0.474
2001-033,2001-02-02,2001-02-09,STD,0.418,4568474,0.430,4569330,-0.012,0.385,0.461
2001-041,2001-02-10,2001-02-17,STD,0.394,4562240,0.420,4569346,-0.026,0.339,0.448
2001-049,2001-02-18,2001-02-25,STD,0.430,4568306,0.426,4569347,0.004,0.387,0.464
2001-057,2001-02-26,2001-03-05,STD,0.428,4568002,0.433,4569332,-0.005,0.394,0.470
2001-065,2001-03-06,2001-03-13,STD,0.421,4489826,0.428,4569347,-0.007,0.354,0.462
2001-073,2001-03-14,2001-03-21,STD,0.444,4528109,0.443,4569327,0.001,0.404,0.494
2001-081,2001-03-22,2001-03-29,STD,0.460,4381654,0.457,4569343,0.003,0.371,0.508
2001-089,2001-03-30,2001-04-06,STD,0.447,4184271,0.464,4569349,-0.017,0.408,0.520
2001-097,2001-04-07,2001-04-14,STD,0.489,4348229,0.483,4569341,0.006,0.440,0.525
2001-105,2001-04-15,2001-04-22,STD,0.469,3532700,0.486,4569332,-0.017,0.429,0.536
2001-113,2001-04-23,2001-04-30,STD,0.506,4493624,0.507,4569340,-0.001,0.445,0.553
2001-121,2001-05-01,2001-05-08,STD,0.500,3018757,0.522,4569340,-0.022,0.432,0.591
2001-129,2001-05-09,2001-05-16,STD,0.511,3485978,0.544,4569351,-0.033,0.495,0.587
2001-137,2001-05-17,2001-05-24,STD,0.563,3736370,0.564,4567517,-0.001,0.518,0.608
2001-145,2001-05-25,2001-06-01,STD,0.603,3972380,0.582,4568721,0.021,0.495,0.640
2001-153,2001-06-02,2001-06-09,STD,0.603,3144868,0.612,4568712,-0.009,0.538,0.662
2001-161,2001-06-10,2001-06-17,STD,0.645,3901877,0.630,4565263,0.015,0.538,0.681
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.658,4539380,#N/A,0.583,0.720
