GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:13:54 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28614
MAX SAMPLE COUNT,1762343

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.699,623531,0.628,1762115,0.071,0.469,0.723
2001-009,2001-01-09,2001-01-16,STD,0.692,678757,0.652,1761965,0.040,0.520,0.709
2001-017,2001-01-17,2001-01-24,STD,0.714,507385,0.680,1760481,0.034,0.587,0.748
2001-025,2001-01-25,2001-02-01,STD,0.723,279605,0.690,1761292,0.033,0.601,0.743
2001-033,2001-02-02,2001-02-09,STD,0.742,360213,0.718,1759177,0.024,0.646,0.761
2001-041,2001-02-10,2001-02-17,STD,0.717,397904,0.711,1762286,0.006,0.656,0.751
2001-049,2001-02-18,2001-02-25,STD,0.725,733231,0.720,1762203,0.005,0.692,0.805
2001-057,2001-02-26,2001-03-05,STD,0.698,698027,0.722,1762322,-0.024,0.698,0.770
2001-065,2001-03-06,2001-03-13,STD,0.729,521368,0.725,1762298,0.004,0.709,0.743
2001-073,2001-03-14,2001-03-21,STD,0.751,426789,0.717,1762269,0.034,0.680,0.751
2001-081,2001-03-22,2001-03-29,STD,0.722,874399,0.709,1758548,0.013,0.674,0.742
2001-089,2001-03-30,2001-04-06,STD,0.723,930145,0.703,1761203,0.020,0.660,0.744
2001-097,2001-04-07,2001-04-14,STD,0.725,1472237,0.695,1755562,0.030,0.638,0.728
2001-105,2001-04-15,2001-04-22,STD,0.690,1385411,0.676,1761186,0.014,0.602,0.711
2001-113,2001-04-23,2001-04-30,STD,0.675,1571808,0.658,1762172,0.017,0.585,0.696
2001-121,2001-05-01,2001-05-08,STD,0.652,1604345,0.637,1762123,0.015,0.573,0.664
2001-129,2001-05-09,2001-05-16,STD,0.617,1523343,0.611,1762281,0.006,0.550,0.643
2001-137,2001-05-17,2001-05-24,STD,0.604,1359767,0.587,1762324,0.017,0.523,0.623
2001-145,2001-05-25,2001-06-01,STD,0.594,1673978,0.566,1762343,0.028,0.513,0.595
2001-153,2001-06-02,2001-06-09,STD,0.565,1523777,0.549,1762343,0.016,0.497,0.581
2001-161,2001-06-10,2001-06-17,STD,0.560,900330,0.530,1762343,0.030,0.489,0.560
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.510,1762222,#N/A,0.468,0.533
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.495,1762266,#N/A,0.456,0.528
2001-185,2001-07-04,2001-07-11,STD,0.496,1624939,0.479,1762343,0.017,0.435,0.514
2001-193,2001-07-12,2001-07-19,STD,0.473,1724139,0.464,1762343,0.009,0.439,0.504
2001-201,2001-07-20,2001-07-27,STD,0.459,1705414,0.448,1762343,0.011,0.420,0.486
2001-209,2001-07-28,2001-08-04,STD,0.446,1660454,0.432,1762343,0.014,0.405,0.472
2001-217,2001-08-05,2001-08-12,STD,0.433,1700270,0.419,1762343,0.014,0.393,0.448
2001-225,2001-08-13,2001-08-20,STD,0.421,1761388,0.404,1762343,0.017,0.379,0.431
2001-233,2001-08-21,2001-08-28,STD,0.402,1761914,0.391,1762343,0.011,0.368,0.419
2001-241,2001-08-29,2001-09-05,STD,0.387,1760640,0.377,1762343,0.010,0.348,0.402
2001-249,2001-09-06,2001-09-13,STD,0.374,1761316,0.366,1762343,0.008,0.337,0.389
2001-257,2001-09-14,2001-09-21,STD,0.367,1732117,0.355,1762343,0.012,0.333,0.379
2001-265,2001-09-22,2001-09-29,STD,0.368,1762271,0.348,1762343,0.020,0.323,0.369
2001-273,2001-09-30,2001-10-07,STD,0.363,1712313,0.342,1762343,0.021,0.326,0.366
2001-281,2001-10-08,2001-10-15,STD,0.374,1416792,0.337,1762343,0.037,0.310,0.374
2001-289,2001-10-16,2001-10-23,STD,0.372,1754600,0.342,1762343,0.030,0.309,0.372
2001-297,2001-10-24,2001-10-31,STD,0.371,1755663,0.341,1762343,0.030,0.309,0.371
2001-305,2001-11-01,2001-11-08,STD,0.371,1737305,0.347,1762343,0.024,0.321,0.404
2001-313,2001-11-09,2001-11-16,STD,0.394,1745167,0.362,1762343,0.032,0.326,0.422
2001-321,2001-11-17,2001-11-24,STD,0.389,1710029,0.376,1762343,0.013,0.336,0.470
2001-329,2001-11-25,2001-12-02,STD,0.412,1600350,0.400,1762343,0.012,0.358,0.561
2001-337,2001-12-03,2001-12-10,STD,0.429,1227295,0.424,1762343,0.005,0.373,0.626
2001-345,2001-12-11,2001-12-18,STD,0.472,1457943,0.470,1762335,0.002,0.373,0.639
2001-353,2001-12-19,2001-12-26,STD,0.537,819156,0.525,1762319,0.012,0.395,0.666
2001-361,2001-12-27,2002-01-03,STD,0.615,354153,0.566,1762303,0.049,0.439,0.681
2002-001,2002-01-01,2002-01-08,STD,0.626,896792,0.628,1762115,-0.002,0.469,0.723
2002-009,2002-01-09,2002-01-16,STD,0.633,752575,0.652,1761965,-0.019,0.520,0.709
2002-017,2002-01-17,2002-01-24,STD,0.690,493590,0.680,1760481,0.010,0.587,0.748
2002-025,2002-01-25,2002-02-01,STD,0.711,713067,0.690,1761292,0.021,0.601,0.743
2002-033,2002-02-02,2002-02-09,STD,0.744,697858,0.718,1759177,0.026,0.646,0.761
2002-041,2002-02-10,2002-02-17,STD,0.715,1123650,0.711,1762286,0.004,0.656,0.751
2002-049,2002-02-18,2002-02-25,STD,0.740,796228,0.720,1762203,0.020,0.692,0.805
2002-057,2002-02-26,2002-03-05,STD,0.729,916534,0.722,1762322,0.007,0.698,0.770
2002-065,2002-03-06,2002-03-13,STD,0.733,1420638,0.725,1762298,0.008,0.709,0.743
2002-073,2002-03-14,2002-03-21,STD,0.706,1229653,0.717,1762269,-0.011,0.680,0.751
2002-081,2002-03-22,2002-03-29,STD,0.738,349158,0.709,1758548,0.029,0.674,0.742
2002-089,2002-03-30,2002-04-06,STD,0.713,897773,0.703,1761203,0.010,0.660,0.744
2002-097,2002-04-07,2002-04-14,STD,0.720,887800,0.695,1755562,0.025,0.638,0.728
2002-105,2002-04-15,2002-04-22,STD,0.705,1466990,0.676,1761186,0.029,0.602,0.711
2002-113,2002-04-23,2002-04-30,STD,0.677,1453757,0.658,1762172,0.019,0.585,0.696
2002-121,2002-05-01,2002-05-08,STD,0.656,1725634,0.637,1762123,0.019,0.573,0.664
2002-129,2002-05-09,2002-05-16,STD,0.633,1717802,0.611,1762281,0.022,0.550,0.643
2002-137,2002-05-17,2002-05-24,STD,0.604,1743478,0.587,1762324,0.017,0.523,0.623
2002-145,2002-05-25,2002-06-01,STD,0.569,1604493,0.566,1762343,0.003,0.513,0.595
2002-153,2002-06-02,2002-06-09,STD,0.566,1579340,0.549,1762343,0.017,0.497,0.581
2002-161,2002-06-10,2002-06-17,STD,0.545,1591665,0.530,1762343,0.015,0.489,0.560
2002-169,2002-06-18,2002-06-25,STD,0.533,1657869,0.510,1762222,0.023,0.468,0.533
2002-177,2002-06-26,2002-07-03,STD,0.522,1687347,0.495,1762266,0.027,0.456,0.528
2002-185,2002-07-04,2002-07-11,STD,0.501,1741925,0.479,1762343,0.022,0.435,0.514
2002-193,2002-07-12,2002-07-19,STD,0.479,1713111,0.464,1762343,0.015,0.439,0.504
2002-201,2002-07-20,2002-07-27,STD,0.466,1742093,0.448,1762343,0.018,0.420,0.486
2002-209,2002-07-28,2002-08-04,STD,0.445,1678557,0.432,1762343,0.013,0.405,0.472
