GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:01:11 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28483
MAX SAMPLE COUNT,7701867

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.210,6674853,0.229,7699502,-0.019,0.174,0.265
2001-009,2001-01-09,2001-01-16,STD,0.215,6764863,0.235,7695203,-0.020,0.183,0.279
2001-017,2001-01-17,2001-01-24,STD,0.228,6955751,0.238,7699158,-0.010,0.199,0.282
2001-025,2001-01-25,2001-02-01,STD,0.233,6617552,0.245,7699406,-0.012,0.169,0.287
2001-033,2001-02-02,2001-02-09,STD,0.235,7145560,0.249,7700572,-0.014,0.190,0.304
2001-041,2001-02-10,2001-02-17,STD,0.239,7396544,0.248,7698851,-0.009,0.192,0.297
2001-049,2001-02-18,2001-02-25,STD,0.236,7509871,0.248,7693865,-0.012,0.155,0.299
2001-057,2001-02-26,2001-03-05,STD,0.215,6569314,0.248,7697777,-0.033,0.195,0.290
2001-065,2001-03-06,2001-03-13,STD,0.237,7456362,0.252,7699676,-0.015,0.178,0.310
2001-073,2001-03-14,2001-03-21,STD,0.238,7648216,0.249,7698891,-0.011,0.192,0.305
2001-081,2001-03-22,2001-03-29,STD,0.234,7669753,0.251,7699381,-0.017,0.162,0.300
2001-089,2001-03-30,2001-04-06,STD,0.219,7673610,0.245,7700972,-0.026,0.180,0.293
2001-097,2001-04-07,2001-04-14,STD,0.208,7695144,0.237,7701507,-0.029,0.187,0.278
2001-105,2001-04-15,2001-04-22,STD,0.200,7514488,0.230,7701715,-0.030,0.186,0.270
2001-113,2001-04-23,2001-04-30,STD,0.186,7646495,0.224,7701786,-0.038,0.182,0.257
2001-121,2001-05-01,2001-05-08,STD,0.173,7259816,0.213,7701855,-0.040,0.173,0.236
2001-129,2001-05-09,2001-05-16,STD,0.177,7690430,0.205,7701855,-0.028,0.177,0.225
2001-137,2001-05-17,2001-05-24,STD,0.172,7640741,0.196,7701859,-0.024,0.169,0.218
2001-145,2001-05-25,2001-06-01,STD,0.166,7692353,0.190,7701862,-0.024,0.166,0.213
2001-153,2001-06-02,2001-06-09,STD,0.161,7684357,0.184,7701864,-0.023,0.161,0.211
2001-161,2001-06-10,2001-06-17,STD,0.160,7635156,0.178,7701860,-0.018,0.154,0.201
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.176,7701862,#N/A,0.155,0.194
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.170,7701861,#N/A,0.152,0.189
2001-185,2001-07-04,2001-07-11,STD,0.151,7681444,0.165,7701858,-0.014,0.151,0.184
2001-193,2001-07-12,2001-07-19,STD,0.148,7693082,0.162,7701837,-0.014,0.146,0.180
2001-201,2001-07-20,2001-07-27,STD,0.141,7683460,0.161,7701859,-0.020,0.141,0.181
2001-209,2001-07-28,2001-08-04,STD,0.137,7691542,0.160,7701856,-0.023,0.137,0.173
2001-217,2001-08-05,2001-08-12,STD,0.148,7691748,0.160,7701859,-0.012,0.148,0.171
2001-225,2001-08-13,2001-08-20,STD,0.150,7691565,0.161,7701858,-0.011,0.148,0.174
2001-233,2001-08-21,2001-08-28,STD,0.148,7692370,0.160,7701853,-0.012,0.146,0.175
2001-241,2001-08-29,2001-09-05,STD,0.150,7698654,0.162,7701863,-0.012,0.149,0.178
2001-249,2001-09-06,2001-09-13,STD,0.151,7697478,0.164,7701862,-0.013,0.147,0.177
2001-257,2001-09-14,2001-09-21,STD,0.151,7666472,0.165,7701859,-0.014,0.150,0.182
2001-265,2001-09-22,2001-09-29,STD,0.151,7399322,0.165,7701865,-0.014,0.145,0.178
2001-273,2001-09-30,2001-10-07,STD,0.152,7666919,0.167,7701865,-0.015,0.150,0.186
2001-281,2001-10-08,2001-10-15,STD,0.160,7623601,0.169,7701867,-0.009,0.145,0.188
2001-289,2001-10-16,2001-10-23,STD,0.154,7596681,0.172,7701867,-0.018,0.154,0.195
2001-297,2001-10-24,2001-10-31,STD,0.154,7647325,0.177,7701864,-0.023,0.154,0.203
2001-305,2001-11-01,2001-11-08,STD,0.157,7041385,0.181,7701864,-0.024,0.157,0.210
2001-313,2001-11-09,2001-11-16,STD,0.166,7259989,0.188,7701841,-0.022,0.165,0.234
2001-321,2001-11-17,2001-11-24,STD,0.149,6687620,0.190,7701798,-0.041,0.149,0.243
2001-329,2001-11-25,2001-12-02,STD,0.164,7454142,0.197,7701597,-0.033,0.164,0.244
2001-337,2001-12-03,2001-12-10,STD,0.161,7317934,0.205,7700847,-0.044,0.161,0.253
2001-345,2001-12-11,2001-12-18,STD,0.158,6341004,0.210,7699537,-0.052,0.158,0.260
2001-353,2001-12-19,2001-12-26,STD,0.174,5438328,0.217,7698829,-0.043,0.168,0.263
2001-361,2001-12-27,2002-01-03,STD,0.187,7056966,0.226,7700307,-0.039,0.187,0.271
2002-001,2002-01-01,2002-01-08,STD,0.174,6247891,0.229,7699502,-0.055,0.174,0.265
2002-009,2002-01-09,2002-01-16,STD,0.183,6835965,0.235,7695203,-0.052,0.183,0.279
2002-017,2002-01-17,2002-01-24,STD,0.199,6989063,0.238,7699158,-0.039,0.199,0.282
2002-025,2002-01-25,2002-02-01,STD,0.204,7223575,0.245,7699406,-0.041,0.169,0.287
2002-033,2002-02-02,2002-02-09,STD,0.209,7436218,0.249,7700572,-0.040,0.190,0.304
2002-041,2002-02-10,2002-02-17,STD,0.203,7337443,0.248,7698851,-0.045,0.192,0.297
2002-049,2002-02-18,2002-02-25,STD,0.217,7547466,0.248,7693865,-0.031,0.155,0.299
2002-057,2002-02-26,2002-03-05,STD,0.217,7076439,0.248,7697777,-0.031,0.195,0.290
