GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:14:16 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28615
MAX SAMPLE COUNT,14453576

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.707,9346862,0.672,14452404,0.035,0.594,0.722
2001-009,2001-01-09,2001-01-16,STD,0.708,7995505,0.687,14451722,0.021,0.630,0.745
2001-017,2001-01-17,2001-01-24,STD,0.701,5525243,0.704,14451033,-0.003,0.623,0.762
2001-025,2001-01-25,2001-02-01,STD,0.663,2909011,0.708,14451995,-0.045,0.661,0.743
2001-033,2001-02-02,2001-02-09,STD,0.713,8326371,0.718,14452289,-0.005,0.679,0.750
2001-041,2001-02-10,2001-02-17,STD,0.719,3807911,0.722,14453214,-0.003,0.681,0.769
2001-049,2001-02-18,2001-02-25,STD,0.754,6307704,0.733,14451953,0.021,0.700,0.767
2001-057,2001-02-26,2001-03-05,STD,0.773,8202912,0.736,14453326,0.037,0.668,0.773
2001-065,2001-03-06,2001-03-13,STD,0.761,6609890,0.732,14452910,0.029,0.688,0.762
2001-073,2001-03-14,2001-03-21,STD,0.745,4544048,0.733,14452726,0.012,0.690,0.759
2001-081,2001-03-22,2001-03-29,STD,0.757,7647120,0.730,14453277,0.027,0.693,0.763
2001-089,2001-03-30,2001-04-06,STD,0.757,7944247,0.726,14453486,0.031,0.684,0.757
2001-097,2001-04-07,2001-04-14,STD,0.753,12210665,0.726,14453408,0.027,0.681,0.758
2001-105,2001-04-15,2001-04-22,STD,0.748,9707480,0.719,14453390,0.029,0.663,0.750
2001-113,2001-04-23,2001-04-30,STD,0.727,12818991,0.706,14453523,0.021,0.648,0.746
2001-121,2001-05-01,2001-05-08,STD,0.714,13604898,0.694,14453508,0.020,0.639,0.732
2001-129,2001-05-09,2001-05-16,STD,0.693,13487448,0.676,14453505,0.017,0.616,0.718
2001-137,2001-05-17,2001-05-24,STD,0.681,12524531,0.660,14453523,0.021,0.601,0.705
2001-145,2001-05-25,2001-06-01,STD,0.668,14121750,0.644,14453485,0.024,0.593,0.690
2001-153,2001-06-02,2001-06-09,STD,0.653,13329634,0.627,14453508,0.026,0.572,0.671
2001-161,2001-06-10,2001-06-17,STD,0.641,10833936,0.611,14453453,0.030,0.555,0.656
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.594,14453470,#N/A,0.541,0.641
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.577,14453473,#N/A,0.527,0.632
2001-185,2001-07-04,2001-07-11,STD,0.578,13720190,0.563,14453468,0.015,0.520,0.617
2001-193,2001-07-12,2001-07-19,STD,0.556,14339472,0.543,14453524,0.013,0.499,0.597
2001-201,2001-07-20,2001-07-27,STD,0.543,14260175,0.523,14453490,0.020,0.484,0.577
2001-209,2001-07-28,2001-08-04,STD,0.520,13526093,0.503,14453457,0.017,0.461,0.548
2001-217,2001-08-05,2001-08-12,STD,0.503,14254812,0.484,14453509,0.019,0.440,0.571
2001-225,2001-08-13,2001-08-20,STD,0.483,14438811,0.464,14453506,0.019,0.422,0.492
2001-233,2001-08-21,2001-08-28,STD,0.454,14263791,0.442,14453523,0.012,0.399,0.494
2001-241,2001-08-29,2001-09-05,STD,0.434,14230684,0.424,14453506,0.010,0.383,0.470
2001-249,2001-09-06,2001-09-13,STD,0.420,14136075,0.407,14453509,0.013,0.372,0.448
2001-257,2001-09-14,2001-09-21,STD,0.409,13266444,0.392,14453550,0.017,0.363,0.438
2001-265,2001-09-22,2001-09-29,STD,0.423,14368394,0.382,14453525,0.041,0.351,0.425
2001-273,2001-09-30,2001-10-07,STD,0.421,14210981,0.379,14453508,0.042,0.351,0.421
2001-281,2001-10-08,2001-10-15,STD,0.442,10605185,0.380,14453484,0.062,0.344,0.442
2001-289,2001-10-16,2001-10-23,STD,0.435,14244311,0.389,14453509,0.046,0.344,0.435
2001-297,2001-10-24,2001-10-31,STD,0.448,13367719,0.398,14453495,0.050,0.349,0.448
2001-305,2001-11-01,2001-11-08,STD,0.456,14089512,0.412,14453501,0.044,0.359,0.456
2001-313,2001-11-09,2001-11-16,STD,0.475,12982952,0.432,14453520,0.043,0.359,0.539
2001-321,2001-11-17,2001-11-24,STD,0.501,11780924,0.451,14453509,0.050,0.389,0.603
2001-329,2001-11-25,2001-12-02,STD,0.520,11384382,0.483,14453501,0.037,0.415,0.656
2001-337,2001-12-03,2001-12-10,STD,0.535,10677105,0.512,14453237,0.023,0.464,0.686
2001-345,2001-12-11,2001-12-18,STD,0.565,9195156,0.558,14453178,0.007,0.458,0.711
2001-353,2001-12-19,2001-12-26,STD,0.650,8698317,0.608,14452402,0.042,0.484,0.703
2001-361,2001-12-27,2002-01-03,STD,0.713,3741307,0.640,14452885,0.073,0.552,0.713
2002-001,2002-01-01,2002-01-08,STD,0.722,10315306,0.672,14452404,0.050,0.594,0.722
2002-009,2002-01-09,2002-01-16,STD,0.720,9559821,0.687,14451722,0.033,0.630,0.745
2002-017,2002-01-17,2002-01-24,STD,0.708,7955752,0.704,14451033,0.004,0.623,0.762
2002-025,2002-01-25,2002-02-01,STD,0.734,6475482,0.708,14451995,0.026,0.661,0.743
2002-033,2002-02-02,2002-02-09,STD,0.738,9631547,0.718,14452289,0.020,0.679,0.750
2002-041,2002-02-10,2002-02-17,STD,0.724,9575565,0.722,14453214,0.002,0.681,0.769
2002-049,2002-02-18,2002-02-25,STD,0.745,9246510,0.733,14451953,0.012,0.700,0.767
2002-057,2002-02-26,2002-03-05,STD,0.712,8454006,0.736,14453326,-0.024,0.668,0.773
2002-065,2002-03-06,2002-03-13,STD,0.732,12522266,0.732,14452910,0.000,0.688,0.762
2002-073,2002-03-14,2002-03-21,STD,0.711,8500937,0.733,14452726,-0.022,0.690,0.759
2002-081,2002-03-22,2002-03-29,STD,0.763,2211235,0.730,14453277,0.033,0.693,0.763
2002-089,2002-03-30,2002-04-06,STD,0.693,10406689,0.726,14453486,-0.033,0.684,0.757
2002-097,2002-04-07,2002-04-14,STD,0.712,9071020,0.726,14453408,-0.014,0.681,0.758
2002-105,2002-04-15,2002-04-22,STD,0.719,13764629,0.719,14453390,0.000,0.663,0.750
2002-113,2002-04-23,2002-04-30,STD,0.698,12298950,0.706,14453523,-0.008,0.648,0.746
2002-121,2002-05-01,2002-05-08,STD,0.684,14325160,0.694,14453508,-0.010,0.639,0.732
2002-129,2002-05-09,2002-05-16,STD,0.660,13955088,0.676,14453505,-0.016,0.616,0.718
2002-137,2002-05-17,2002-05-24,STD,0.642,14350096,0.660,14453523,-0.018,0.601,0.705
2002-145,2002-05-25,2002-06-01,STD,0.620,12614797,0.644,14453485,-0.024,0.593,0.690
2002-153,2002-06-02,2002-06-09,STD,0.622,13502914,0.627,14453508,-0.005,0.572,0.671
2002-161,2002-06-10,2002-06-17,STD,0.611,14185657,0.611,14453453,0.000,0.555,0.656
