GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:16:05 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28621
MAX SAMPLE COUNT,15387870

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.204,15260541,0.232,15375600,-0.028,0.195,0.286
2001-009,2001-01-09,2001-01-16,STD,0.205,15212310,0.240,15378258,-0.035,0.193,0.298
2001-017,2001-01-17,2001-01-24,STD,0.209,14980193,0.246,15378067,-0.037,0.190,0.285
2001-025,2001-01-25,2001-02-01,STD,0.221,14703707,0.262,15380347,-0.041,0.203,0.345
2001-033,2001-02-02,2001-02-09,STD,0.221,14593604,0.274,15379784,-0.053,0.221,0.367
2001-041,2001-02-10,2001-02-17,STD,0.217,11851041,0.286,15382566,-0.069,0.217,0.382
2001-049,2001-02-18,2001-02-25,STD,0.259,14912285,0.295,15382989,-0.036,0.237,0.386
2001-057,2001-02-26,2001-03-05,STD,0.280,15045323,0.298,15383556,-0.018,0.237,0.374
2001-065,2001-03-06,2001-03-13,STD,0.280,13948621,0.306,15384774,-0.026,0.234,0.379
2001-073,2001-03-14,2001-03-21,STD,0.308,15104941,0.309,15385741,-0.001,0.228,0.395
2001-081,2001-03-22,2001-03-29,STD,0.309,15180824,0.311,15385399,-0.002,0.233,0.379
2001-089,2001-03-30,2001-04-06,STD,0.316,12737614,0.310,15386131,0.006,0.226,0.390
2001-097,2001-04-07,2001-04-14,STD,0.329,15151425,0.306,15386136,0.023,0.224,0.381
2001-105,2001-04-15,2001-04-22,STD,0.332,15303311,0.300,15385839,0.032,0.226,0.381
2001-113,2001-04-23,2001-04-30,STD,0.334,15322109,0.288,15386090,0.046,0.219,0.368
2001-121,2001-05-01,2001-05-08,STD,0.322,15332153,0.276,15385774,0.046,0.213,0.360
2001-129,2001-05-09,2001-05-16,STD,0.307,15318545,0.264,15385750,0.043,0.207,0.342
2001-137,2001-05-17,2001-05-24,STD,0.291,15335651,0.254,15386007,0.037,0.201,0.336
2001-145,2001-05-25,2001-06-01,STD,0.278,15307548,0.244,15385297,0.034,0.198,0.319
2001-153,2001-06-02,2001-06-09,STD,0.266,15313461,0.234,15384735,0.032,0.193,0.287
2001-161,2001-06-10,2001-06-17,STD,0.256,15309339,0.226,15384054,0.030,0.189,0.266
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.217,15383152,#N/A,0.186,0.255
2001-177,2001-06-26,2001-07-03,STD,0.248,13596211,0.213,15384109,0.035,0.185,0.248
2001-185,2001-07-04,2001-07-11,STD,0.227,15260839,0.207,15383379,0.020,0.180,0.238
2001-193,2001-07-12,2001-07-19,STD,0.216,15285348,0.202,15382569,0.014,0.174,0.230
2001-201,2001-07-20,2001-07-27,STD,0.203,14918491,0.197,15382954,0.006,0.175,0.226
2001-209,2001-07-28,2001-08-04,STD,0.198,15285731,0.194,15384131,0.004,0.172,0.222
2001-217,2001-08-05,2001-08-12,STD,0.191,15257700,0.190,15384084,0.001,0.170,0.216
2001-225,2001-08-13,2001-08-20,STD,0.191,15124593,0.188,15384546,0.003,0.168,0.214
2001-233,2001-08-21,2001-08-28,STD,0.184,13814782,0.187,15385011,-0.003,0.168,0.212
2001-241,2001-08-29,2001-09-05,STD,0.183,14435311,0.184,15384826,-0.001,0.169,0.207
2001-249,2001-09-06,2001-09-13,STD,0.190,15316860,0.183,15384276,0.007,0.165,0.206
