GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:09:33 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28520
MAX SAMPLE COUNT,16870701

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.325,16176151,0.328,16869261,-0.003,0.280,0.362
2001-009,2001-01-09,2001-01-16,STD,0.327,16347283,0.311,16813206,0.016,0.259,0.335
2001-017,2001-01-17,2001-01-24,STD,0.315,16217218,0.299,16849808,0.016,0.276,0.320
2001-025,2001-01-25,2001-02-01,STD,0.290,16107102,0.293,16850322,-0.003,0.247,0.323
2001-033,2001-02-02,2001-02-09,STD,0.267,14979220,0.280,16779678,-0.013,0.258,0.309
2001-041,2001-02-10,2001-02-17,STD,0.286,16171146,0.278,16839510,0.008,0.226,0.317
2001-049,2001-02-18,2001-02-25,STD,0.271,15100135,0.275,16755366,-0.004,0.254,0.307
2001-057,2001-02-26,2001-03-05,STD,0.281,14746999,0.275,16772825,0.006,0.240,0.307
2001-065,2001-03-06,2001-03-13,STD,0.287,14559133,0.277,16740573,0.010,0.220,0.311
2001-073,2001-03-14,2001-03-21,STD,0.285,14103442,0.270,16529684,0.015,0.219,0.307
2001-081,2001-03-22,2001-03-29,STD,0.272,13439661,0.285,16800414,-0.013,0.234,0.337
2001-089,2001-03-30,2001-04-06,STD,0.301,13208970,0.287,16831957,0.014,0.186,0.326
2001-097,2001-04-07,2001-04-14,STD,0.293,13570635,0.298,16807647,-0.005,0.240,0.346
2001-105,2001-04-15,2001-04-22,STD,0.324,13159499,0.306,16746786,0.018,0.271,0.354
2001-113,2001-04-23,2001-04-30,STD,0.336,11189253,0.319,16821203,0.017,0.248,0.360
2001-121,2001-05-01,2001-05-08,STD,0.363,10688107,0.344,16821050,0.019,0.294,0.410
2001-129,2001-05-09,2001-05-16,STD,0.385,8076524,0.348,16843720,0.037,0.262,0.402
2001-137,2001-05-17,2001-05-24,STD,0.381,11532850,0.368,16841652,0.013,0.315,0.425
2001-145,2001-05-25,2001-06-01,STD,0.379,10669753,0.384,16789395,-0.005,0.316,0.453
2001-153,2001-06-02,2001-06-09,STD,0.429,11704105,0.392,16768892,0.037,0.306,0.439
2001-161,2001-06-10,2001-06-17,STD,0.388,6877246,0.412,16689562,-0.024,0.309,0.461
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.426,16638800,#N/A,0.337,0.471
2001-177,2001-06-26,2001-07-03,STD,0.227,310336,0.448,16351944,-0.221,0.227,0.509
2001-185,2001-07-04,2001-07-11,STD,0.468,6587902,0.472,16340218,-0.004,0.414,0.571
2001-193,2001-07-12,2001-07-19,STD,0.535,5968121,0.531,16067671,0.004,0.455,0.594
2001-201,2001-07-20,2001-07-27,STD,0.578,3035454,0.530,14917763,0.048,0.453,0.659
2001-209,2001-07-28,2001-08-04,STD,0.579,1314572,0.578,14488022,0.001,0.518,0.639
2001-217,2001-08-05,2001-08-12,STD,0.580,3552959,0.597,15320332,-0.017,0.546,0.668
2001-225,2001-08-13,2001-08-20,STD,0.583,1031161,0.605,15230851,-0.022,0.556,0.655
2001-233,2001-08-21,2001-08-28,STD,0.609,3579420,0.602,14589239,0.007,0.568,0.690
2001-241,2001-08-29,2001-09-05,STD,0.608,4269903,0.601,14542055,0.007,0.556,0.670
2001-249,2001-09-06,2001-09-13,STD,0.579,6509763,0.596,15348697,-0.017,0.568,0.633
2001-257,2001-09-14,2001-09-21,STD,0.596,7649516,0.589,15817547,0.007,0.561,0.622
2001-265,2001-09-22,2001-09-29,STD,0.585,9797889,0.586,16102147,-0.001,0.552,0.615
2001-273,2001-09-30,2001-10-07,STD,0.581,11532113,0.574,16278122,0.007,0.548,0.592
2001-281,2001-10-08,2001-10-15,STD,0.568,12059232,0.563,16495061,0.005,0.528,0.589
2001-289,2001-10-16,2001-10-23,STD,0.564,13885636,0.553,16771516,0.011,0.492,0.586
2001-297,2001-10-24,2001-10-31,STD,0.509,14452181,0.526,16706633,-0.017,0.457,0.578
2001-305,2001-11-01,2001-11-08,STD,0.487,15090321,0.503,16806552,-0.016,0.458,0.561
2001-313,2001-11-09,2001-11-16,STD,0.455,14563366,0.473,16836160,-0.018,0.430,0.543
