GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:04:06 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28493
MAX SAMPLE COUNT,1350954

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.620,1279758,0.629,1350901,-0.009,0.524,0.692
2001-009,2001-01-09,2001-01-16,STD,0.605,1180143,0.599,1350923,0.006,0.445,0.658
2001-017,2001-01-17,2001-01-24,STD,0.633,1348015,0.588,1350921,0.045,0.525,0.663
2001-025,2001-01-25,2001-02-01,STD,0.580,1340236,0.590,1350907,-0.010,0.486,0.656
2001-033,2001-02-02,2001-02-09,STD,0.594,1350085,0.576,1350901,0.018,0.502,0.616
2001-041,2001-02-10,2001-02-17,STD,0.496,1329867,0.554,1350864,-0.058,0.411,0.617
2001-049,2001-02-18,2001-02-25,STD,0.583,1347765,0.574,1350941,0.009,0.466,0.637
2001-057,2001-02-26,2001-03-05,STD,0.585,1262176,0.579,1350906,0.006,0.503,0.647
2001-065,2001-03-06,2001-03-13,STD,0.567,932060,0.570,1350922,-0.003,0.438,0.632
2001-073,2001-03-14,2001-03-21,STD,0.601,1181926,0.578,1350932,0.023,0.498,0.638
2001-081,2001-03-22,2001-03-29,STD,0.616,1226488,0.602,1350929,0.014,0.490,0.657
2001-089,2001-03-30,2001-04-06,STD,0.597,864223,0.602,1350918,-0.005,0.518,0.667
2001-097,2001-04-07,2001-04-14,STD,0.655,654970,0.629,1350908,0.026,0.562,0.675
2001-105,2001-04-15,2001-04-22,STD,0.633,659366,0.631,1350936,0.002,0.530,0.701
2001-113,2001-04-23,2001-04-30,STD,0.664,817729,0.656,1350934,0.008,0.532,0.749
2001-121,2001-05-01,2001-05-08,STD,0.757,83412,0.670,1349178,0.087,0.584,0.757
2001-129,2001-05-09,2001-05-16,STD,0.727,992574,0.700,1350932,0.027,0.644,0.767
2001-137,2001-05-17,2001-05-24,STD,0.743,519893,0.714,1349630,0.029,0.635,0.754
2001-145,2001-05-25,2001-06-01,STD,0.747,418317,0.727,1350318,0.020,0.633,0.771
2001-153,2001-06-02,2001-06-09,STD,0.754,404707,0.742,1349612,0.012,0.673,0.779
2001-161,2001-06-10,2001-06-17,STD,0.731,787325,0.733,1345441,-0.002,0.686,0.779
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.740,1291147,#N/A,0.664,0.807
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.773,1218891,#N/A,0.722,0.807
2001-185,2001-07-04,2001-07-11,STD,0.809,103679,0.773,1211179,0.036,0.716,0.809
2001-193,2001-07-12,2001-07-19,STD,0.766,100476,0.786,1138259,-0.020,0.735,0.824
2001-201,2001-07-20,2001-07-27,STD,0.774,60085,0.777,1183417,-0.003,0.725,0.821
2001-209,2001-07-28,2001-08-04,STD,0.799,18929,0.791,1060498,0.008,0.716,0.829
2001-217,2001-08-05,2001-08-12,STD,0.794,14680,0.794,944454,0.000,0.724,0.819
2001-225,2001-08-13,2001-08-20,STD,0.785,102864,0.791,913113,-0.006,0.723,0.822
2001-233,2001-08-21,2001-08-28,STD,0.795,105103,0.797,1150379,-0.002,0.750,0.838
2001-241,2001-08-29,2001-09-05,STD,0.814,150754,0.788,1172590,0.026,0.754,0.814
2001-249,2001-09-06,2001-09-13,STD,0.752,348526,0.783,1270573,-0.031,0.745,0.819
2001-257,2001-09-14,2001-09-21,STD,0.742,130044,0.783,1290124,-0.041,0.712,0.810
2001-265,2001-09-22,2001-09-29,STD,0.787,526468,0.790,1320859,-0.003,0.763,0.813
2001-273,2001-09-30,2001-10-07,STD,0.781,664306,0.785,1350450,-0.004,0.716,0.807
2001-281,2001-10-08,2001-10-15,STD,0.794,761679,0.787,1350135,0.007,0.761,0.821
2001-289,2001-10-16,2001-10-23,STD,0.746,628823,0.782,1350623,-0.036,0.739,0.800
2001-297,2001-10-24,2001-10-31,STD,0.771,1081912,0.788,1350938,-0.017,0.743,0.818
2001-305,2001-11-01,2001-11-08,STD,0.753,659338,0.778,1350943,-0.025,0.741,0.814
2001-313,2001-11-09,2001-11-16,STD,0.759,432473,0.764,1350803,-0.005,0.710,0.801
2001-321,2001-11-17,2001-11-24,STD,0.727,442841,0.749,1350810,-0.022,0.711,0.788
2001-329,2001-11-25,2001-12-02,STD,0.721,1219168,0.741,1350733,-0.020,0.693,0.783
2001-337,2001-12-03,2001-12-10,STD,0.725,1199030,0.716,1350932,0.009,0.655,0.761
2001-345,2001-12-11,2001-12-18,STD,0.733,1342647,0.691,1350903,0.042,0.624,0.733
2001-353,2001-12-19,2001-12-26,STD,0.673,1027334,0.664,1350942,0.009,0.584,0.706
2001-361,2001-12-27,2002-01-03,STD,0.608,605736,0.646,1350922,-0.038,0.522,0.707
2002-001,2002-01-01,2002-01-08,STD,0.641,670591,0.629,1350901,0.012,0.524,0.692
2002-009,2002-01-09,2002-01-16,STD,0.605,1071988,0.599,1350923,0.006,0.445,0.658
2002-017,2002-01-17,2002-01-24,STD,0.663,1341226,0.588,1350921,0.075,0.525,0.663
2002-025,2002-01-25,2002-02-01,STD,0.625,1348787,0.590,1350907,0.035,0.486,0.656
2002-033,2002-02-02,2002-02-09,STD,0.591,1345120,0.576,1350901,0.015,0.502,0.616
2002-041,2002-02-10,2002-02-17,STD,0.576,1349272,0.554,1350864,0.022,0.411,0.617
2002-049,2002-02-18,2002-02-25,STD,0.637,1191605,0.574,1350941,0.063,0.466,0.637
2002-057,2002-02-26,2002-03-05,STD,0.628,1300422,0.579,1350906,0.049,0.503,0.647
2002-065,2002-03-06,2002-03-13,STD,0.624,1293202,0.570,1350922,0.054,0.438,0.632
2002-073,2002-03-14,2002-03-21,STD,0.558,966144,0.578,1350932,-0.020,0.498,0.638
2002-081,2002-03-22,2002-03-29,STD,#N/A,#N/A,0.602,1350929,#N/A,0.490,0.657
2002-089,2002-03-30,2002-04-06,STD,0.663,1310283,0.602,1350918,0.061,0.518,0.667
2002-097,2002-04-07,2002-04-14,STD,0.633,1110920,0.629,1350908,0.004,0.562,0.675
2002-105,2002-04-15,2002-04-22,STD,0.669,1214900,0.631,1350936,0.038,0.530,0.701
2002-113,2002-04-23,2002-04-30,STD,0.532,1041276,0.656,1350934,-0.124,0.532,0.749
2002-121,2002-05-01,2002-05-08,STD,0.627,843082,0.670,1349178,-0.043,0.584,0.757
2002-129,2002-05-09,2002-05-16,STD,0.682,669678,0.700,1350932,-0.018,0.644,0.767
2002-137,2002-05-17,2002-05-24,STD,0.726,789025,0.714,1349630,0.012,0.635,0.754
2002-145,2002-05-25,2002-06-01,STD,0.688,453387,0.727,1350318,-0.039,0.633,0.771
2002-153,2002-06-02,2002-06-09,STD,0.779,224909,0.742,1349612,0.037,0.673,0.779
2002-161,2002-06-10,2002-06-17,STD,0.775,137693,0.733,1345441,0.042,0.686,0.779
2002-169,2002-06-18,2002-06-25,STD,0.769,380416,0.740,1291147,0.029,0.664,0.807
2002-177,2002-06-26,2002-07-03,STD,0.775,299215,0.773,1218891,0.002,0.722,0.807
2002-185,2002-07-04,2002-07-11,STD,0.755,171789,0.773,1211179,-0.018,0.716,0.809
2002-193,2002-07-12,2002-07-19,STD,0.782,7408,0.786,1138259,-0.004,0.735,0.824
2002-201,2002-07-20,2002-07-27,STD,0.776,249116,0.777,1183417,-0.001,0.725,0.821
2002-209,2002-07-28,2002-08-04,STD,0.801,169712,0.791,1060498,0.010,0.716,0.829
2002-217,2002-08-05,2002-08-12,STD,0.819,118216,0.794,944454,0.025,0.724,0.819
2002-225,2002-08-13,2002-08-20,STD,0.802,65254,0.791,913113,0.011,0.723,0.822
2002-233,2002-08-21,2002-08-28,STD,0.793,144660,0.797,1150379,-0.004,0.750,0.838
2002-241,2002-08-29,2002-09-05,STD,0.780,71106,0.788,1172590,-0.008,0.754,0.814
2002-249,2002-09-06,2002-09-13,STD,0.745,336734,0.783,1270573,-0.038,0.745,0.819
2002-257,2002-09-14,2002-09-21,STD,0.765,36660,0.783,1290124,-0.018,0.712,0.810
2002-265,2002-09-22,2002-09-29,STD,0.766,275244,0.790,1320859,-0.024,0.763,0.813
2002-273,2002-09-30,2002-10-07,STD,0.769,615655,0.785,1350450,-0.016,0.716,0.807
2002-281,2002-10-08,2002-10-15,STD,0.793,343438,0.787,1350135,0.006,0.761,0.821
2002-289,2002-10-16,2002-10-23,STD,0.790,583130,0.782,1350623,0.008,0.739,0.800
2002-297,2002-10-24,2002-10-31,STD,0.806,961524,0.788,1350938,0.018,0.743,0.818
2002-305,2002-11-01,2002-11-08,STD,0.795,951286,0.778,1350943,0.017,0.741,0.814
2002-313,2002-11-09,2002-11-16,STD,0.743,630270,0.764,1350803,-0.021,0.710,0.801
2002-321,2002-11-17,2002-11-24,STD,0.755,660328,0.749,1350810,0.006,0.711,0.788
2002-329,2002-11-25,2002-12-02,STD,0.730,497727,0.741,1350733,-0.011,0.693,0.783
2002-337,2002-12-03,2002-12-10,STD,0.678,738916,0.716,1350932,-0.038,0.655,0.761
2002-345,2002-12-11,2002-12-18,STD,0.729,1336299,0.691,1350903,0.038,0.624,0.733
2002-353,2002-12-19,2002-12-26,STD,0.667,1296613,0.664,1350942,0.003,0.584,0.706
2002-361,2002-12-27,2003-01-03,STD,0.668,1349372,0.646,1350922,0.022,0.522,0.707
2003-001,2003-01-01,2003-01-08,STD,0.663,1349839,0.629,1350901,0.034,0.524,0.692
2003-009,2003-01-09,2003-01-16,STD,0.599,1332537,0.599,1350923,0.000,0.445,0.658
2003-017,2003-01-17,2003-01-24,STD,0.566,1244857,0.588,1350921,-0.022,0.525,0.663
2003-025,2003-01-25,2003-02-01,STD,0.561,1319983,0.590,1350907,-0.029,0.486,0.656
2003-033,2003-02-02,2003-02-09,STD,0.610,1349443,0.576,1350901,0.034,0.502,0.616
2003-041,2003-02-10,2003-02-17,STD,0.560,1333282,0.554,1350864,0.006,0.411,0.617
2003-049,2003-02-18,2003-02-25,STD,0.572,1341844,0.574,1350941,-0.002,0.466,0.637
2003-057,2003-02-26,2003-03-05,STD,0.647,1349350,0.579,1350906,0.068,0.503,0.647
2003-065,2003-03-06,2003-03-13,STD,0.540,1008755,0.570,1350922,-0.030,0.438,0.632
2003-073,2003-03-14,2003-03-21,STD,0.596,1343399,0.578,1350932,0.018,0.498,0.638
2003-081,2003-03-22,2003-03-29,STD,0.622,1337828,0.602,1350929,0.020,0.490,0.657
2003-089,2003-03-30,2003-04-06,STD,0.616,989114,0.602,1350918,0.014,0.518,0.667
2003-097,2003-04-07,2003-04-14,STD,0.637,1232464,0.629,1350908,0.008,0.562,0.675
2003-105,2003-04-15,2003-04-22,STD,0.602,1100942,0.631,1350936,-0.029,0.530,0.701
2003-113,2003-04-23,2003-04-30,STD,0.645,933968,0.656,1350934,-0.011,0.532,0.749
2003-121,2003-05-01,2003-05-08,STD,0.640,541548,0.670,1349178,-0.030,0.584,0.757
2003-129,2003-05-09,2003-05-16,STD,0.711,733955,0.700,1350932,0.011,0.644,0.767
2003-137,2003-05-17,2003-05-24,STD,0.652,497314,0.714,1349630,-0.062,0.635,0.754
2003-145,2003-05-25,2003-06-01,STD,0.681,379396,0.727,1350318,-0.046,0.633,0.771
2003-153,2003-06-02,2003-06-09,STD,0.761,198899,0.742,1349612,0.019,0.673,0.779
2003-161,2003-06-10,2003-06-17,STD,0.717,224982,0.733,1345441,-0.016,0.686,0.779
2003-169,2003-06-18,2003-06-25,STD,0.750,259610,0.740,1291147,0.010,0.664,0.807
2003-177,2003-06-26,2003-07-03,STD,0.769,36649,0.773,1218891,-0.004,0.722,0.807
2003-185,2003-07-04,2003-07-11,STD,0.784,106431,0.773,1211179,0.011,0.716,0.809
2003-193,2003-07-12,2003-07-19,STD,0.797,209121,0.786,1138259,0.011,0.735,0.824
2003-201,2003-07-20,2003-07-27,STD,0.813,38642,0.777,1183417,0.036,0.725,0.821
2003-209,2003-07-28,2003-08-04,STD,0.817,48295,0.791,1060498,0.026,0.716,0.829
2003-217,2003-08-05,2003-08-12,STD,0.814,62125,0.794,944454,0.020,0.724,0.819
2003-225,2003-08-13,2003-08-20,STD,0.723,11747,0.791,913113,-0.068,0.723,0.822
2003-233,2003-08-21,2003-08-28,STD,0.781,69121,0.797,1150379,-0.016,0.750,0.838
2003-241,2003-08-29,2003-09-05,STD,0.790,22894,0.788,1172590,0.002,0.754,0.814
2003-249,2003-09-06,2003-09-13,STD,0.794,212292,0.783,1270573,0.011,0.745,0.819
2003-257,2003-09-14,2003-09-21,STD,0.712,260788,0.783,1290124,-0.071,0.712,0.810
2003-265,2003-09-22,2003-09-29,STD,0.763,300563,0.790,1320859,-0.027,0.763,0.813
