GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:10:38 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28565
MAX SAMPLE COUNT,11836138

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.236,11561883,0.248,11833620,-0.012,0.194,0.326
2001-009,2001-01-09,2001-01-16,STD,0.224,11600610,0.236,11833463,-0.012,0.192,0.309
2001-017,2001-01-17,2001-01-24,STD,0.215,11570833,0.228,11833739,-0.013,0.189,0.286
2001-025,2001-01-25,2001-02-01,STD,0.209,11718970,0.220,11833529,-0.011,0.189,0.280
2001-033,2001-02-02,2001-02-09,STD,0.204,11736071,0.213,11833477,-0.009,0.186,0.262
2001-041,2001-02-10,2001-02-17,STD,0.197,11422753,0.205,11833780,-0.008,0.182,0.248
2001-049,2001-02-18,2001-02-25,STD,0.197,11694145,0.202,11834577,-0.005,0.181,0.237
2001-057,2001-02-26,2001-03-05,STD,0.196,11782972,0.199,11834532,-0.003,0.182,0.226
2001-065,2001-03-06,2001-03-13,STD,0.192,11697068,0.195,11834447,-0.003,0.181,0.220
2001-073,2001-03-14,2001-03-21,STD,0.191,11385645,0.194,11834515,-0.003,0.174,0.217
2001-081,2001-03-22,2001-03-29,STD,0.190,11353533,0.195,11835301,-0.005,0.153,0.232
2001-089,2001-03-30,2001-04-06,STD,0.181,10507531,0.197,11835340,-0.016,0.177,0.243
2001-097,2001-04-07,2001-04-14,STD,0.198,11058407,0.203,11835403,-0.005,0.174,0.262
2001-105,2001-04-15,2001-04-22,STD,0.211,9273043,0.210,11834789,0.001,0.176,0.305
2001-113,2001-04-23,2001-04-30,STD,0.232,8530025,0.231,11825263,0.001,0.176,0.289
2001-121,2001-05-01,2001-05-08,STD,0.273,8694138,0.252,11831723,0.021,0.198,0.316
2001-129,2001-05-09,2001-05-16,STD,0.277,9391591,0.273,11832686,0.004,0.205,0.321
2001-137,2001-05-17,2001-05-24,STD,0.269,9894848,0.269,11833687,0.000,0.211,0.321
2001-145,2001-05-25,2001-06-01,STD,0.255,9335548,0.262,11834153,-0.007,0.206,0.310
2001-153,2001-06-02,2001-06-09,STD,0.233,9131851,0.250,11833996,-0.017,0.206,0.304
2001-161,2001-06-10,2001-06-17,STD,0.192,6294353,0.232,11833963,-0.040,0.191,0.279
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.218,11827815,#N/A,0.181,0.257
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.216,11832829,#N/A,0.184,0.245
2001-185,2001-07-04,2001-07-11,STD,0.210,9545919,0.209,11832079,0.001,0.169,0.238
2001-193,2001-07-12,2001-07-19,STD,0.207,10289689,0.204,11831103,0.003,0.167,0.236
2001-201,2001-07-20,2001-07-27,STD,0.204,10197533,0.198,11830110,0.006,0.166,0.225
2001-209,2001-07-28,2001-08-04,STD,0.196,9009181,0.195,11831755,0.001,0.165,0.228
2001-217,2001-08-05,2001-08-12,STD,0.174,8814151,0.194,11831990,-0.020,0.174,0.228
2001-225,2001-08-13,2001-08-20,STD,0.198,10607474,0.193,11832322,0.005,0.172,0.212
2001-233,2001-08-21,2001-08-28,STD,0.172,8108601,0.194,11832316,-0.022,0.167,0.219
2001-241,2001-08-29,2001-09-05,STD,0.189,10291198,0.193,11833207,-0.004,0.164,0.216
2001-249,2001-09-06,2001-09-13,STD,0.185,10464499,0.192,11832805,-0.007,0.176,0.221
2001-257,2001-09-14,2001-09-21,STD,0.190,10898647,0.191,11832526,-0.001,0.168,0.209
2001-265,2001-09-22,2001-09-29,STD,0.189,10763721,0.193,11831658,-0.004,0.179,0.215
2001-273,2001-09-30,2001-10-07,STD,0.195,10854153,0.197,11818456,-0.002,0.173,0.218
2001-281,2001-10-08,2001-10-15,STD,0.185,8485505,0.203,11801602,-0.018,0.174,0.240
2001-289,2001-10-16,2001-10-23,STD,0.197,9433210,0.217,11815836,-0.020,0.186,0.251
2001-297,2001-10-24,2001-10-31,STD,0.207,7458965,0.237,11824982,-0.030,0.192,0.294
2001-305,2001-11-01,2001-11-08,STD,0.260,9612701,0.254,11831192,0.006,0.198,0.319
2001-313,2001-11-09,2001-11-16,STD,0.259,9211635,0.272,11834437,-0.013,0.201,0.328
2001-321,2001-11-17,2001-11-24,STD,0.281,10427871,0.281,11834216,0.000,0.184,0.353
2001-329,2001-11-25,2001-12-02,STD,0.238,8423722,0.283,11834569,-0.045,0.214,0.376
2001-337,2001-12-03,2001-12-10,STD,0.279,10525465,0.282,11834066,-0.003,0.209,0.389
2001-345,2001-12-11,2001-12-18,STD,0.267,10384177,0.280,11833781,-0.013,0.204,0.369
2001-353,2001-12-19,2001-12-26,STD,0.269,11506766,0.269,11833278,0.000,0.199,0.359
2001-361,2001-12-27,2002-01-03,STD,0.251,11025129,0.257,11833517,-0.006,0.197,0.335
2002-001,2002-01-01,2002-01-08,STD,0.238,11227584,0.248,11833620,-0.010,0.194,0.326
2002-009,2002-01-09,2002-01-16,STD,0.228,11137649,0.236,11833463,-0.008,0.192,0.309
2002-017,2002-01-17,2002-01-24,STD,0.214,11063464,0.228,11833739,-0.014,0.189,0.286
2002-025,2002-01-25,2002-02-01,STD,0.212,11460845,0.220,11833529,-0.008,0.189,0.280
2002-033,2002-02-02,2002-02-09,STD,0.204,11738384,0.213,11833477,-0.009,0.186,0.262
2002-041,2002-02-10,2002-02-17,STD,0.199,11575612,0.205,11833780,-0.006,0.182,0.248
2002-049,2002-02-18,2002-02-25,STD,0.197,11696824,0.202,11834577,-0.005,0.181,0.237
2002-057,2002-02-26,2002-03-05,STD,0.186,11040513,0.199,11834532,-0.013,0.182,0.226
2002-065,2002-03-06,2002-03-13,STD,0.191,11617936,0.195,11834447,-0.004,0.181,0.220
2002-073,2002-03-14,2002-03-21,STD,0.192,11128491,0.194,11834515,-0.002,0.174,0.217
2002-081,2002-03-22,2002-03-29,STD,0.153,6341294,0.195,11835301,-0.042,0.153,0.232
2002-089,2002-03-30,2002-04-06,STD,0.190,10896171,0.197,11835340,-0.007,0.177,0.243
2002-097,2002-04-07,2002-04-14,STD,0.192,10368920,0.203,11835403,-0.011,0.174,0.262
2002-105,2002-04-15,2002-04-22,STD,0.208,8051494,0.210,11834789,-0.002,0.176,0.305
2002-113,2002-04-23,2002-04-30,STD,0.211,7714473,0.231,11825263,-0.020,0.176,0.289
2002-121,2002-05-01,2002-05-08,STD,0.261,7948933,0.252,11831723,0.009,0.198,0.316
2002-129,2002-05-09,2002-05-16,STD,0.292,10827126,0.273,11832686,0.019,0.205,0.321
2002-137,2002-05-17,2002-05-24,STD,0.248,9046674,0.269,11833687,-0.021,0.211,0.321
2002-145,2002-05-25,2002-06-01,STD,0.271,11014320,0.262,11834153,0.009,0.206,0.310
2002-153,2002-06-02,2002-06-09,STD,0.247,10356378,0.250,11833996,-0.003,0.206,0.304
2002-161,2002-06-10,2002-06-17,STD,0.198,7269044,0.232,11833963,-0.034,0.191,0.279
2002-169,2002-06-18,2002-06-25,STD,0.201,6270514,0.218,11827815,-0.017,0.181,0.257
2002-177,2002-06-26,2002-07-03,STD,0.199,9174282,0.216,11832829,-0.017,0.184,0.245
2002-185,2002-07-04,2002-07-11,STD,0.214,9739821,0.209,11832079,0.005,0.169,0.238
2002-193,2002-07-12,2002-07-19,STD,0.217,10814743,0.204,11831103,0.013,0.167,0.236
2002-201,2002-07-20,2002-07-27,STD,0.206,9715304,0.198,11830110,0.008,0.166,0.225
2002-209,2002-07-28,2002-08-04,STD,0.196,9788646,0.195,11831755,0.001,0.165,0.228
2002-217,2002-08-05,2002-08-12,STD,0.184,9190731,0.194,11831990,-0.010,0.174,0.228
2002-225,2002-08-13,2002-08-20,STD,0.187,10417913,0.193,11832322,-0.006,0.172,0.212
2002-233,2002-08-21,2002-08-28,STD,0.185,9800531,0.194,11832316,-0.009,0.167,0.219
2002-241,2002-08-29,2002-09-05,STD,0.184,10043647,0.193,11833207,-0.009,0.164,0.216
2002-249,2002-09-06,2002-09-13,STD,0.184,9405463,0.192,11832805,-0.008,0.176,0.221
2002-257,2002-09-14,2002-09-21,STD,0.189,9441475,0.191,11832526,-0.002,0.168,0.209
2002-265,2002-09-22,2002-09-29,STD,0.182,8328332,0.193,11831658,-0.011,0.179,0.215
2002-273,2002-09-30,2002-10-07,STD,0.204,7761552,0.197,11818456,0.007,0.173,0.218
2002-281,2002-10-08,2002-10-15,STD,0.220,8535532,0.203,11801602,0.017,0.174,0.240
2002-289,2002-10-16,2002-10-23,STD,0.237,8894749,0.217,11815836,0.020,0.186,0.251
2002-297,2002-10-24,2002-10-31,STD,0.254,8599025,0.237,11824982,0.017,0.192,0.294
2002-305,2002-11-01,2002-11-08,STD,0.280,8995256,0.254,11831192,0.026,0.198,0.319
2002-313,2002-11-09,2002-11-16,STD,0.300,9743445,0.272,11834437,0.028,0.201,0.328
2002-321,2002-11-17,2002-11-24,STD,0.301,10430144,0.281,11834216,0.020,0.184,0.353
2002-329,2002-11-25,2002-12-02,STD,0.323,11322322,0.283,11834569,0.040,0.214,0.376
2002-337,2002-12-03,2002-12-10,STD,0.267,9478406,0.282,11834066,-0.015,0.209,0.389
2002-345,2002-12-11,2002-12-18,STD,0.302,10577186,0.280,11833781,0.022,0.204,0.369
2002-353,2002-12-19,2002-12-26,STD,0.300,11382609,0.269,11833278,0.031,0.199,0.359
2002-361,2002-12-27,2003-01-03,STD,0.280,11601057,0.257,11833517,0.023,0.197,0.335
2003-001,2003-01-01,2003-01-08,STD,0.260,11544600,0.248,11833620,0.012,0.194,0.326
2003-009,2003-01-09,2003-01-16,STD,0.248,11680941,0.236,11833463,0.012,0.192,0.309
2003-017,2003-01-17,2003-01-24,STD,0.240,11153004,0.228,11833739,0.012,0.189,0.286
2003-025,2003-01-25,2003-02-01,STD,0.232,11670259,0.220,11833529,0.012,0.189,0.280
2003-033,2003-02-02,2003-02-09,STD,0.218,11685772,0.213,11833477,0.005,0.186,0.262
2003-041,2003-02-10,2003-02-17,STD,0.208,11461350,0.205,11833780,0.003,0.182,0.248
2003-049,2003-02-18,2003-02-25,STD,0.207,11685074,0.202,11834577,0.005,0.181,0.237
2003-057,2003-02-26,2003-03-05,STD,0.200,11638980,0.199,11834532,0.001,0.182,0.226
2003-065,2003-03-06,2003-03-13,STD,0.196,11430939,0.195,11834447,0.001,0.181,0.220
2003-073,2003-03-14,2003-03-21,STD,0.195,11218459,0.194,11834515,0.001,0.174,0.217
2003-081,2003-03-22,2003-03-29,STD,0.189,10186153,0.195,11835301,-0.006,0.153,0.232
2003-089,2003-03-30,2003-04-06,STD,0.202,11810839,0.197,11835340,0.005,0.177,0.243
2003-097,2003-04-07,2003-04-14,STD,0.195,11066142,0.203,11835403,-0.008,0.174,0.262
2003-105,2003-04-15,2003-04-22,STD,0.193,7587366,0.210,11834789,-0.017,0.176,0.305
2003-113,2003-04-23,2003-04-30,STD,0.252,8245466,0.231,11825263,0.021,0.176,0.289
2003-121,2003-05-01,2003-05-08,STD,0.288,9383660,0.252,11831723,0.036,0.198,0.316
2003-129,2003-05-09,2003-05-16,STD,0.302,9266251,0.273,11832686,0.029,0.205,0.321
2003-137,2003-05-17,2003-05-24,STD,0.255,8763152,0.269,11833687,-0.014,0.211,0.321
