GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:05:33 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28498
MAX SAMPLE COUNT,34950571

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.144,34529642,0.150,34950199,-0.006,0.142,0.164
2001-009,2001-01-09,2001-01-16,STD,0.144,34795698,0.148,34950176,-0.004,0.140,0.162
2001-017,2001-01-17,2001-01-24,STD,0.142,34727945,0.146,34950126,-0.004,0.141,0.162
2001-025,2001-01-25,2001-02-01,STD,0.141,34858914,0.145,34950201,-0.004,0.140,0.159
2001-033,2001-02-02,2001-02-09,STD,0.139,34834333,0.143,34950240,-0.004,0.137,0.156
2001-041,2001-02-10,2001-02-17,STD,0.138,34655694,0.141,34950179,-0.003,0.135,0.151
2001-049,2001-02-18,2001-02-25,STD,0.138,34747944,0.140,34950280,-0.002,0.135,0.148
2001-057,2001-02-26,2001-03-05,STD,0.138,34817186,0.138,34950227,0.000,0.132,0.148
2001-065,2001-03-06,2001-03-13,STD,0.136,34132978,0.137,34950308,-0.001,0.125,0.147
2001-073,2001-03-14,2001-03-21,STD,0.136,34840493,0.135,34950350,0.001,0.117,0.144
2001-081,2001-03-22,2001-03-29,STD,0.135,34435398,0.134,34950339,0.001,0.127,0.141
2001-089,2001-03-30,2001-04-06,STD,0.134,34888993,0.134,34950310,0.000,0.122,0.142
2001-097,2001-04-07,2001-04-14,STD,0.136,34932406,0.134,34950408,0.002,0.128,0.142
2001-105,2001-04-15,2001-04-22,STD,0.131,34923875,0.134,34950396,-0.003,0.129,0.142
2001-113,2001-04-23,2001-04-30,STD,0.130,34911978,0.133,34950442,-0.003,0.127,0.143
2001-121,2001-05-01,2001-05-08,STD,0.130,34946026,0.135,34950446,-0.005,0.129,0.146
2001-129,2001-05-09,2001-05-16,STD,0.129,34918547,0.136,34950433,-0.007,0.121,0.156
2001-137,2001-05-17,2001-05-24,STD,0.131,34641416,0.138,34950447,-0.007,0.128,0.162
2001-145,2001-05-25,2001-06-01,STD,0.137,34645054,0.140,34950413,-0.003,0.129,0.159
2001-153,2001-06-02,2001-06-09,STD,0.143,34850535,0.144,34950415,-0.001,0.134,0.157
2001-161,2001-06-10,2001-06-17,STD,0.150,34306297,0.148,34950211,0.002,0.137,0.166
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.152,34950423,#N/A,0.131,0.169
2001-177,2001-06-26,2001-07-03,STD,0.126,13785497,0.157,34949559,-0.031,0.126,0.170
2001-185,2001-07-04,2001-07-11,STD,0.165,33002473,0.162,34950335,0.003,0.137,0.185
2001-193,2001-07-12,2001-07-19,STD,0.172,32183662,0.170,34933487,0.002,0.140,0.197
2001-201,2001-07-20,2001-07-27,STD,0.163,29337476,0.173,34946560,-0.010,0.122,0.214
2001-209,2001-07-28,2001-08-04,STD,0.158,27050695,0.179,34919206,-0.021,0.155,0.214
2001-217,2001-08-05,2001-08-12,STD,0.198,31039892,0.191,34939868,0.007,0.136,0.231
2001-225,2001-08-13,2001-08-20,STD,0.208,29090621,0.211,34910542,-0.003,0.117,0.256
2001-233,2001-08-21,2001-08-28,STD,0.240,32540107,0.225,34945599,0.015,0.178,0.258
2001-241,2001-08-29,2001-09-05,STD,0.244,32848763,0.235,34947465,0.009,0.196,0.265
2001-249,2001-09-06,2001-09-13,STD,0.252,34072171,0.245,34950450,0.007,0.222,0.273
2001-257,2001-09-14,2001-09-21,STD,0.249,33922130,0.250,34950427,-0.001,0.224,0.281
2001-265,2001-09-22,2001-09-29,STD,0.244,34649912,0.244,34950440,0.000,0.220,0.271
2001-273,2001-09-30,2001-10-07,STD,0.232,34732929,0.233,34950417,-0.001,0.214,0.266
2001-281,2001-10-08,2001-10-15,STD,0.218,34891043,0.221,34950439,-0.003,0.203,0.256
2001-289,2001-10-16,2001-10-23,STD,0.203,34869698,0.208,34950396,-0.005,0.188,0.242
2001-297,2001-10-24,2001-10-31,STD,0.188,34693705,0.197,34950397,-0.009,0.180,0.229
2001-305,2001-11-01,2001-11-08,STD,0.181,34855977,0.187,34950392,-0.006,0.167,0.217
2001-313,2001-11-09,2001-11-16,STD,0.172,34835684,0.178,34950342,-0.006,0.163,0.205
2001-321,2001-11-17,2001-11-24,STD,0.164,34857617,0.170,34950331,-0.006,0.156,0.193
2001-329,2001-11-25,2001-12-02,STD,0.159,34761292,0.165,34950307,-0.006,0.153,0.185
2001-337,2001-12-03,2001-12-10,STD,0.156,34650215,0.159,34950218,-0.003,0.148,0.179
2001-345,2001-12-11,2001-12-18,STD,0.154,34742375,0.156,34950216,-0.002,0.147,0.173
2001-353,2001-12-19,2001-12-26,STD,0.150,34627380,0.154,34950111,-0.004,0.145,0.170
