GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:01:33 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28486
MAX SAMPLE COUNT,4992076

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.091,4967694,0.096,4991637,-0.005,0.086,0.118
2001-009,2001-01-09,2001-01-16,STD,0.091,4974005,0.096,4991480,-0.005,0.087,0.118
2001-017,2001-01-17,2001-01-24,STD,0.091,4978431,0.096,4991616,-0.005,0.087,0.119
2001-025,2001-01-25,2001-02-01,STD,0.092,4976807,0.096,4991437,-0.004,0.087,0.116
2001-033,2001-02-02,2001-02-09,STD,0.092,4868941,0.096,4991592,-0.004,0.088,0.117
2001-041,2001-02-10,2001-02-17,STD,0.092,4868870,0.096,4991641,-0.004,0.084,0.111
2001-049,2001-02-18,2001-02-25,STD,0.093,4980457,0.096,4991496,-0.003,0.036,0.114
2001-057,2001-02-26,2001-03-05,STD,0.094,4983794,0.096,4991678,-0.002,0.076,0.108
2001-065,2001-03-06,2001-03-13,STD,0.091,4978542,0.096,4991693,-0.005,0.090,0.105
2001-073,2001-03-14,2001-03-21,STD,0.091,4981634,0.096,4991710,-0.005,0.088,0.108
2001-081,2001-03-22,2001-03-29,STD,0.093,4979145,0.096,4991790,-0.003,0.085,0.107
2001-089,2001-03-30,2001-04-06,STD,0.092,4982819,0.095,4991798,-0.003,0.086,0.105
2001-097,2001-04-07,2001-04-14,STD,0.093,4972816,0.095,4991863,-0.002,0.089,0.104
2001-105,2001-04-15,2001-04-22,STD,0.092,4976651,0.095,4991753,-0.003,0.087,0.101
2001-113,2001-04-23,2001-04-30,STD,0.091,4975422,0.095,4991760,-0.004,0.091,0.101
2001-121,2001-05-01,2001-05-08,STD,0.091,4978013,0.094,4991766,-0.003,0.089,0.100
2001-129,2001-05-09,2001-05-16,STD,0.090,4983168,0.094,4991931,-0.004,0.089,0.099
2001-137,2001-05-17,2001-05-24,STD,0.090,4977288,0.093,4991773,-0.003,0.089,0.097
2001-145,2001-05-25,2001-06-01,STD,0.088,4981328,0.092,4991843,-0.004,0.088,0.097
2001-153,2001-06-02,2001-06-09,STD,0.088,4980321,0.093,4991803,-0.005,0.088,0.098
2001-161,2001-06-10,2001-06-17,STD,0.088,4981044,0.092,4991775,-0.004,0.085,0.097
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.092,4991757,#N/A,0.085,0.097
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.091,4991396,#N/A,0.088,0.096
2001-185,2001-07-04,2001-07-11,STD,0.089,4974310,0.090,4991531,-0.001,0.083,0.095
2001-193,2001-07-12,2001-07-19,STD,0.086,4977359,0.089,4991497,-0.003,0.084,0.093
2001-201,2001-07-20,2001-07-27,STD,0.086,4982440,0.089,4991488,-0.003,0.081,0.094
2001-209,2001-07-28,2001-08-04,STD,0.084,4974281,0.090,4991818,-0.006,0.084,0.094
2001-217,2001-08-05,2001-08-12,STD,0.086,4983221,0.089,4991758,-0.003,0.081,0.095
2001-225,2001-08-13,2001-08-20,STD,0.086,4981709,0.089,4991841,-0.003,0.081,0.094
2001-233,2001-08-21,2001-08-28,STD,0.088,4980588,0.090,4991868,-0.002,0.086,0.093
2001-241,2001-08-29,2001-09-05,STD,0.087,4985001,0.090,4991868,-0.003,0.085,0.093
2001-249,2001-09-06,2001-09-13,STD,0.087,4975401,0.091,4991910,-0.004,0.087,0.096
2001-257,2001-09-14,2001-09-21,STD,0.089,4982872,0.090,4991893,-0.001,0.086,0.096
2001-265,2001-09-22,2001-09-29,STD,0.089,4978341,0.091,4991958,-0.002,0.086,0.094
2001-273,2001-09-30,2001-10-07,STD,0.089,4985821,0.091,4991991,-0.002,0.083,0.097
2001-281,2001-10-08,2001-10-15,STD,0.088,4983709,0.092,4991942,-0.004,0.086,0.095
2001-289,2001-10-16,2001-10-23,STD,0.088,4976829,0.093,4991957,-0.005,0.088,0.097
2001-297,2001-10-24,2001-10-31,STD,0.088,4983729,0.093,4992022,-0.005,0.088,0.098
2001-305,2001-11-01,2001-11-08,STD,0.084,3859060,0.094,4992044,-0.010,0.084,0.101
2001-313,2001-11-09,2001-11-16,STD,0.089,4975629,0.094,4991991,-0.005,0.088,0.103
2001-321,2001-11-17,2001-11-24,STD,0.089,4982596,0.095,4991948,-0.006,0.089,0.108
2001-329,2001-11-25,2001-12-02,STD,0.088,4977562,0.095,4991851,-0.007,0.085,0.110
2001-337,2001-12-03,2001-12-10,STD,0.090,4878334,0.095,4991802,-0.005,0.088,0.111
2001-345,2001-12-11,2001-12-18,STD,0.090,4977922,0.095,4991745,-0.005,0.084,0.114
2001-353,2001-12-19,2001-12-26,STD,0.092,4877581,0.096,4991692,-0.004,0.085,0.115
2001-361,2001-12-27,2002-01-03,STD,0.094,4924232,0.096,4991731,-0.002,0.086,0.118
2002-001,2002-01-01,2002-01-08,STD,0.086,4300445,0.096,4991637,-0.010,0.086,0.118
2002-009,2002-01-09,2002-01-16,STD,0.089,4770488,0.096,4991480,-0.007,0.087,0.118
2002-017,2002-01-17,2002-01-24,STD,0.091,4972187,0.096,4991616,-0.005,0.087,0.119
2002-025,2002-01-25,2002-02-01,STD,0.092,4942673,0.096,4991437,-0.004,0.087,0.116
2002-033,2002-02-02,2002-02-09,STD,0.091,4962203,0.096,4991592,-0.005,0.088,0.117
2002-041,2002-02-10,2002-02-17,STD,0.094,4977666,0.096,4991641,-0.002,0.084,0.111
2002-049,2002-02-18,2002-02-25,STD,0.090,4979347,0.096,4991496,-0.006,0.036,0.114
2002-057,2002-02-26,2002-03-05,STD,0.092,4965502,0.096,4991678,-0.004,0.076,0.108
2002-065,2002-03-06,2002-03-13,STD,0.093,4977625,0.096,4991693,-0.003,0.090,0.105
2002-073,2002-03-14,2002-03-21,STD,0.092,4956681,0.096,4991710,-0.004,0.088,0.108
2002-081,2002-03-22,2002-03-29,STD,0.096,4910732,0.096,4991790,0.000,0.085,0.107
2002-089,2002-03-30,2002-04-06,STD,0.086,4844803,0.095,4991798,-0.009,0.086,0.105
2002-097,2002-04-07,2002-04-14,STD,0.089,4840859,0.095,4991863,-0.006,0.089,0.104
2002-105,2002-04-15,2002-04-22,STD,0.087,4980434,0.095,4991753,-0.008,0.087,0.101
2002-113,2002-04-23,2002-04-30,STD,0.092,4979455,0.095,4991760,-0.003,0.091,0.101
2002-121,2002-05-01,2002-05-08,STD,0.089,4974737,0.094,4991766,-0.005,0.089,0.100
2002-129,2002-05-09,2002-05-16,STD,0.089,4976521,0.094,4991931,-0.005,0.089,0.099
2002-137,2002-05-17,2002-05-24,STD,0.089,4980360,0.093,4991773,-0.004,0.089,0.097
2002-145,2002-05-25,2002-06-01,STD,0.089,4972386,0.092,4991843,-0.003,0.088,0.097
2002-153,2002-06-02,2002-06-09,STD,0.089,4981860,0.093,4991803,-0.004,0.088,0.098
2002-161,2002-06-10,2002-06-17,STD,0.089,4980250,0.092,4991775,-0.003,0.085,0.097
2002-169,2002-06-18,2002-06-25,STD,0.087,4981101,0.092,4991757,-0.005,0.085,0.097
2002-177,2002-06-26,2002-07-03,STD,0.088,4977542,0.091,4991396,-0.003,0.088,0.096
2002-185,2002-07-04,2002-07-11,STD,0.089,4969241,0.090,4991531,-0.001,0.083,0.095
2002-193,2002-07-12,2002-07-19,STD,0.088,4978956,0.089,4991497,-0.001,0.084,0.093
2002-201,2002-07-20,2002-07-27,STD,0.085,4971568,0.089,4991488,-0.004,0.081,0.094
2002-209,2002-07-28,2002-08-04,STD,0.086,4977332,0.090,4991818,-0.004,0.084,0.094
2002-217,2002-08-05,2002-08-12,STD,0.085,4965278,0.089,4991758,-0.004,0.081,0.095
2002-225,2002-08-13,2002-08-20,STD,0.087,4980135,0.089,4991841,-0.002,0.081,0.094
2002-233,2002-08-21,2002-08-28,STD,0.087,4964335,0.090,4991868,-0.003,0.086,0.093
2002-241,2002-08-29,2002-09-05,STD,0.085,4903181,0.090,4991868,-0.005,0.085,0.093
2002-249,2002-09-06,2002-09-13,STD,0.088,4980686,0.091,4991910,-0.003,0.087,0.096
2002-257,2002-09-14,2002-09-21,STD,0.087,4966960,0.090,4991893,-0.003,0.086,0.096
2002-265,2002-09-22,2002-09-29,STD,0.088,4979610,0.091,4991958,-0.003,0.086,0.094
2002-273,2002-09-30,2002-10-07,STD,0.086,4980513,0.091,4991991,-0.005,0.083,0.097
2002-281,2002-10-08,2002-10-15,STD,0.090,4982783,0.092,4991942,-0.002,0.086,0.095
2002-289,2002-10-16,2002-10-23,STD,0.089,4975842,0.093,4991957,-0.004,0.088,0.097
2002-297,2002-10-24,2002-10-31,STD,0.089,4982849,0.093,4992022,-0.004,0.088,0.098
2002-305,2002-11-01,2002-11-08,STD,0.090,4982067,0.094,4992044,-0.004,0.084,0.101
2002-313,2002-11-09,2002-11-16,STD,0.090,4974161,0.094,4991991,-0.004,0.088,0.103
2002-321,2002-11-17,2002-11-24,STD,0.089,4960254,0.095,4991948,-0.006,0.089,0.108
2002-329,2002-11-25,2002-12-02,STD,0.085,4953164,0.095,4991851,-0.010,0.085,0.110
2002-337,2002-12-03,2002-12-10,STD,0.090,4837952,0.095,4991802,-0.005,0.088,0.111
2002-345,2002-12-11,2002-12-18,STD,0.091,4418937,0.095,4991745,-0.004,0.084,0.114
2002-353,2002-12-19,2002-12-26,STD,0.092,4976308,0.096,4991692,-0.004,0.085,0.115
2002-361,2002-12-27,2003-01-03,STD,0.092,4974129,0.096,4991731,-0.004,0.086,0.118
2003-001,2003-01-01,2003-01-08,STD,0.091,4957547,0.096,4991637,-0.005,0.086,0.118
2003-009,2003-01-09,2003-01-16,STD,0.087,4620296,0.096,4991480,-0.009,0.087,0.118
2003-017,2003-01-17,2003-01-24,STD,0.091,4929253,0.096,4991616,-0.005,0.087,0.119
2003-025,2003-01-25,2003-02-01,STD,0.091,4752519,0.096,4991437,-0.005,0.087,0.116
2003-033,2003-02-02,2003-02-09,STD,0.089,4878859,0.096,4991592,-0.007,0.088,0.117
2003-041,2003-02-10,2003-02-17,STD,0.089,4889064,0.096,4991641,-0.007,0.084,0.111
2003-049,2003-02-18,2003-02-25,STD,0.092,4976218,0.096,4991496,-0.004,0.036,0.114
2003-057,2003-02-26,2003-03-05,STD,0.090,4978873,0.096,4991678,-0.006,0.076,0.108
2003-065,2003-03-06,2003-03-13,STD,0.092,4980622,0.096,4991693,-0.004,0.090,0.105
2003-073,2003-03-14,2003-03-21,STD,0.093,4937836,0.096,4991710,-0.003,0.088,0.108
2003-081,2003-03-22,2003-03-29,STD,0.094,4981859,0.096,4991790,-0.002,0.085,0.107
2003-089,2003-03-30,2003-04-06,STD,0.093,4975647,0.095,4991798,-0.002,0.086,0.105
2003-097,2003-04-07,2003-04-14,STD,0.092,4982384,0.095,4991863,-0.003,0.089,0.104
2003-105,2003-04-15,2003-04-22,STD,0.092,4982109,0.095,4991753,-0.003,0.087,0.101
2003-113,2003-04-23,2003-04-30,STD,0.092,4980359,0.095,4991760,-0.003,0.091,0.101
2003-121,2003-05-01,2003-05-08,STD,0.091,4981871,0.094,4991766,-0.003,0.089,0.100
2003-129,2003-05-09,2003-05-16,STD,0.090,4973836,0.094,4991931,-0.004,0.089,0.099
2003-137,2003-05-17,2003-05-24,STD,0.091,4978216,0.093,4991773,-0.002,0.089,0.097
2003-145,2003-05-25,2003-06-01,STD,0.090,4984295,0.092,4991843,-0.002,0.088,0.097
2003-153,2003-06-02,2003-06-09,STD,0.092,4953629,0.093,4991803,-0.001,0.088,0.098
2003-161,2003-06-10,2003-06-17,STD,0.089,4975765,0.092,4991775,-0.003,0.085,0.097
2003-169,2003-06-18,2003-06-25,STD,0.091,4983274,0.092,4991757,-0.001,0.085,0.097
2003-177,2003-06-26,2003-07-03,STD,0.089,4981582,0.091,4991396,-0.002,0.088,0.096
2003-185,2003-07-04,2003-07-11,STD,0.083,4958128,0.090,4991531,-0.007,0.083,0.095
2003-193,2003-07-12,2003-07-19,STD,0.084,4973398,0.089,4991497,-0.005,0.084,0.093
2003-201,2003-07-20,2003-07-27,STD,0.085,4977709,0.089,4991488,-0.004,0.081,0.094
2003-209,2003-07-28,2003-08-04,STD,0.088,4974706,0.090,4991818,-0.002,0.084,0.094
2003-217,2003-08-05,2003-08-12,STD,0.085,4878879,0.089,4991758,-0.004,0.081,0.095
2003-225,2003-08-13,2003-08-20,STD,0.087,4936815,0.089,4991841,-0.002,0.081,0.094
2003-233,2003-08-21,2003-08-28,STD,0.089,4981501,0.090,4991868,-0.001,0.086,0.093
2003-241,2003-08-29,2003-09-05,STD,0.086,4979835,0.090,4991868,-0.004,0.085,0.093
2003-249,2003-09-06,2003-09-13,STD,0.087,4965706,0.091,4991910,-0.004,0.087,0.096
2003-257,2003-09-14,2003-09-21,STD,0.087,4980829,0.090,4991893,-0.003,0.086,0.096
2003-265,2003-09-22,2003-09-29,STD,0.089,4982949,0.091,4991958,-0.002,0.086,0.094
2003-273,2003-09-30,2003-10-07,STD,0.088,4973311,0.091,4991991,-0.003,0.083,0.097
2003-281,2003-10-08,2003-10-15,STD,0.087,4954667,0.092,4991942,-0.005,0.086,0.095
2003-289,2003-10-16,2003-10-23,STD,0.089,4923759,0.093,4991957,-0.004,0.088,0.097
2003-297,2003-10-24,2003-10-31,STD,0.090,4920930,0.093,4992022,-0.003,0.088,0.098
2003-305,2003-11-01,2003-11-08,STD,0.091,4976138,0.094,4992044,-0.003,0.084,0.101
2003-313,2003-11-09,2003-11-16,STD,0.092,4971763,0.094,4991991,-0.002,0.088,0.103
2003-321,2003-11-17,2003-11-24,STD,0.094,4946587,0.095,4991948,-0.001,0.089,0.108
2003-329,2003-11-25,2003-12-02,STD,0.096,4941897,0.095,4991851,0.001,0.085,0.110
2003-337,2003-12-03,2003-12-10,STD,0.096,4905342,0.095,4991802,0.001,0.088,0.111
2003-345,2003-12-11,2003-12-18,STD,0.091,4831710,0.095,4991745,-0.004,0.084,0.114
2003-353,2003-12-19,2003-12-26,STD,0.103,4897451,0.096,4991692,0.007,0.085,0.115
2003-361,2003-12-27,2004-01-03,STD,0.099,4929764,0.096,4991731,0.003,0.086,0.118
