GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:12:49 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28609
MAX SAMPLE COUNT,13810221

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.668,2797795,0.699,13810077,-0.031,0.654,0.743
2001-009,2001-01-09,2001-01-16,STD,0.693,9400906,0.704,13809532,-0.011,0.651,0.751
2001-017,2001-01-17,2001-01-24,STD,0.698,2824445,0.712,13810072,-0.014,0.621,0.765
2001-025,2001-01-25,2001-02-01,STD,0.681,4989024,0.713,13808880,-0.032,0.623,0.752
2001-033,2001-02-02,2001-02-09,STD,0.721,2573656,0.716,13809927,0.005,0.690,0.742
2001-041,2001-02-10,2001-02-17,STD,0.727,3383724,0.719,13810221,0.008,0.692,0.741
2001-049,2001-02-18,2001-02-25,STD,0.727,7374483,0.718,13810221,0.009,0.693,0.757
2001-057,2001-02-26,2001-03-05,STD,0.706,6897096,0.719,13810221,-0.013,0.693,0.762
2001-065,2001-03-06,2001-03-13,STD,0.723,5259717,0.712,13810221,0.011,0.685,0.751
2001-073,2001-03-14,2001-03-21,STD,0.720,6168700,0.708,13810221,0.012,0.674,0.744
2001-081,2001-03-22,2001-03-29,STD,0.706,5707819,0.704,13810221,0.002,0.674,0.739
2001-089,2001-03-30,2001-04-06,STD,0.700,9887558,0.692,13810221,0.008,0.636,0.723
2001-097,2001-04-07,2001-04-14,STD,0.694,13174640,0.682,13810211,0.012,0.640,0.716
2001-105,2001-04-15,2001-04-22,STD,0.681,12159009,0.670,13810221,0.011,0.635,0.698
2001-113,2001-04-23,2001-04-30,STD,0.669,13698838,0.654,13810221,0.015,0.616,0.693
2001-121,2001-05-01,2001-05-08,STD,0.643,13782307,0.634,13810221,0.009,0.587,0.674
2001-129,2001-05-09,2001-05-16,STD,0.625,13539586,0.614,13810221,0.011,0.561,0.665
2001-137,2001-05-17,2001-05-24,STD,0.602,13627176,0.594,13810221,0.008,0.541,0.637
2001-145,2001-05-25,2001-06-01,STD,0.590,13799075,0.573,13810221,0.017,0.522,0.623
2001-153,2001-06-02,2001-06-09,STD,0.569,13784556,0.555,13810221,0.014,0.499,0.595
2001-161,2001-06-10,2001-06-17,STD,0.559,12907623,0.536,13810221,0.023,0.483,0.577
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.517,13810221,#N/A,0.469,0.556
2001-177,2001-06-26,2001-07-03,STD,0.441,1092136,0.499,13810221,-0.058,0.441,0.540
2001-185,2001-07-04,2001-07-11,STD,0.498,13761930,0.483,13810221,0.015,0.440,0.519
2001-193,2001-07-12,2001-07-19,STD,0.476,13809303,0.465,13810221,0.011,0.428,0.500
2001-201,2001-07-20,2001-07-27,STD,0.454,13808762,0.449,13810221,0.005,0.413,0.475
2001-209,2001-07-28,2001-08-04,STD,0.446,13762301,0.434,13810221,0.012,0.396,0.463
2001-217,2001-08-05,2001-08-12,STD,0.427,13800589,0.418,13810221,0.009,0.386,0.446
2001-225,2001-08-13,2001-08-20,STD,0.416,13809661,0.403,13810221,0.013,0.375,0.429
2001-233,2001-08-21,2001-08-28,STD,0.391,13809584,0.390,13810221,0.001,0.364,0.406
2001-241,2001-08-29,2001-09-05,STD,0.382,13808268,0.381,13810221,0.001,0.357,0.392
2001-249,2001-09-06,2001-09-13,STD,0.382,13808582,0.377,13810221,0.005,0.357,0.390
2001-257,2001-09-14,2001-09-21,STD,0.400,13809429,0.378,13810221,0.022,0.356,0.400
2001-265,2001-09-22,2001-09-29,STD,0.412,13808349,0.385,13810221,0.027,0.365,0.412
2001-273,2001-09-30,2001-10-07,STD,0.425,13804802,0.400,13810221,0.025,0.378,0.425
2001-281,2001-10-08,2001-10-15,STD,0.430,13711754,0.413,13810221,0.017,0.388,0.438
2001-289,2001-10-16,2001-10-23,STD,0.450,13775357,0.430,13810221,0.020,0.391,0.461
2001-297,2001-10-24,2001-10-31,STD,0.458,13208505,0.442,13810221,0.016,0.395,0.468
2001-305,2001-11-01,2001-11-08,STD,0.493,12127118,0.462,13810221,0.031,0.404,0.493
2001-313,2001-11-09,2001-11-16,STD,0.518,13239889,0.489,13810221,0.029,0.437,0.524
2001-321,2001-11-17,2001-11-24,STD,0.574,9809874,0.515,13810221,0.059,0.451,0.585
2001-329,2001-11-25,2001-12-02,STD,0.612,11686962,0.561,13810221,0.051,0.501,0.639
2001-337,2001-12-03,2001-12-10,STD,0.647,6667689,0.591,13810221,0.056,0.535,0.671
2001-345,2001-12-11,2001-12-18,STD,0.665,7391440,0.627,13810219,0.038,0.547,0.691
2001-353,2001-12-19,2001-12-26,STD,0.674,7685940,0.662,13809964,0.012,0.586,0.721
2001-361,2001-12-27,2002-01-03,STD,0.685,8426137,0.684,13810175,0.001,0.625,0.734
2002-001,2002-01-01,2002-01-08,STD,0.676,8902013,0.699,13810077,-0.023,0.654,0.743
2002-009,2002-01-09,2002-01-16,STD,0.717,6918281,0.704,13809532,0.013,0.651,0.751
2002-017,2002-01-17,2002-01-24,STD,0.655,3903292,0.712,13810072,-0.057,0.621,0.765
2002-025,2002-01-25,2002-02-01,STD,0.714,6347712,0.713,13808880,0.001,0.623,0.752
2002-033,2002-02-02,2002-02-09,STD,0.701,5538373,0.716,13809927,-0.015,0.690,0.742
2002-041,2002-02-10,2002-02-17,STD,0.707,6463946,0.719,13810221,-0.012,0.692,0.741
2002-049,2002-02-18,2002-02-25,STD,0.696,10495912,0.718,13810221,-0.022,0.693,0.757
2002-057,2002-02-26,2002-03-05,STD,0.696,11895858,0.719,13810221,-0.023,0.693,0.762
2002-065,2002-03-06,2002-03-13,STD,0.685,11761935,0.712,13810221,-0.027,0.685,0.751
2002-073,2002-03-14,2002-03-21,STD,0.674,11653853,0.708,13810221,-0.034,0.674,0.744
2002-081,2002-03-22,2002-03-29,STD,0.697,4767336,0.704,13810221,-0.007,0.674,0.739
2002-089,2002-03-30,2002-04-06,STD,0.636,10910897,0.692,13810221,-0.056,0.636,0.723
2002-097,2002-04-07,2002-04-14,STD,0.649,11123007,0.682,13810211,-0.033,0.640,0.716
2002-105,2002-04-15,2002-04-22,STD,0.649,13115621,0.670,13810221,-0.021,0.635,0.698
2002-113,2002-04-23,2002-04-30,STD,0.629,13514335,0.654,13810221,-0.025,0.616,0.693
2002-121,2002-05-01,2002-05-08,STD,0.610,13796005,0.634,13810221,-0.024,0.587,0.674
2002-129,2002-05-09,2002-05-16,STD,0.585,13809907,0.614,13810221,-0.029,0.561,0.665
2002-137,2002-05-17,2002-05-24,STD,0.564,13753703,0.594,13810221,-0.030,0.541,0.637
2002-145,2002-05-25,2002-06-01,STD,0.543,13800248,0.573,13810221,-0.030,0.522,0.623
2002-153,2002-06-02,2002-06-09,STD,0.534,13789944,0.555,13810221,-0.021,0.499,0.595
2002-161,2002-06-10,2002-06-17,STD,0.519,13784617,0.536,13810221,-0.017,0.483,0.577
2002-169,2002-06-18,2002-06-25,STD,0.499,13805177,0.517,13810221,-0.018,0.469,0.556
2002-177,2002-06-26,2002-07-03,STD,0.482,13786288,0.499,13810221,-0.017,0.441,0.540
2002-185,2002-07-04,2002-07-11,STD,0.462,13782379,0.483,13810221,-0.021,0.440,0.519
2002-193,2002-07-12,2002-07-19,STD,0.443,13806034,0.465,13810221,-0.022,0.428,0.500
2002-201,2002-07-20,2002-07-27,STD,0.429,13810129,0.449,13810221,-0.020,0.413,0.475
2002-209,2002-07-28,2002-08-04,STD,0.418,13808121,0.434,13810221,-0.016,0.396,0.463
2002-217,2002-08-05,2002-08-12,STD,0.401,13808592,0.418,13810221,-0.017,0.386,0.446
2002-225,2002-08-13,2002-08-20,STD,0.392,13810010,0.403,13810221,-0.011,0.375,0.429
2002-233,2002-08-21,2002-08-28,STD,0.386,13809394,0.390,13810221,-0.004,0.364,0.406
2002-241,2002-08-29,2002-09-05,STD,0.383,13808207,0.381,13810221,0.002,0.357,0.392
2002-249,2002-09-06,2002-09-13,STD,0.390,13796114,0.377,13810221,0.013,0.357,0.390
2002-257,2002-09-14,2002-09-21,STD,0.382,13516121,0.378,13810221,0.004,0.356,0.400
2002-265,2002-09-22,2002-09-29,STD,0.402,13593979,0.385,13810221,0.017,0.365,0.412
2002-273,2002-09-30,2002-10-07,STD,0.413,13781933,0.400,13810221,0.013,0.378,0.425
2002-281,2002-10-08,2002-10-15,STD,0.418,13800787,0.413,13810221,0.005,0.388,0.438
2002-289,2002-10-16,2002-10-23,STD,0.422,13752599,0.430,13810221,-0.008,0.391,0.461
2002-297,2002-10-24,2002-10-31,STD,0.437,12908077,0.442,13810221,-0.005,0.395,0.468
2002-305,2002-11-01,2002-11-08,STD,0.469,11130245,0.462,13810221,0.007,0.404,0.493
2002-313,2002-11-09,2002-11-16,STD,0.503,13483787,0.489,13810221,0.014,0.437,0.524
2002-321,2002-11-17,2002-11-24,STD,0.528,13025634,0.515,13810221,0.013,0.451,0.585
2002-329,2002-11-25,2002-12-02,STD,0.564,12820664,0.561,13810221,0.003,0.501,0.639
2002-337,2002-12-03,2002-12-10,STD,0.572,13089713,0.591,13810221,-0.019,0.535,0.671
2002-345,2002-12-11,2002-12-18,STD,0.611,9264221,0.627,13810219,-0.016,0.547,0.691
2002-353,2002-12-19,2002-12-26,STD,0.634,2432499,0.662,13809964,-0.028,0.586,0.721
2002-361,2002-12-27,2003-01-03,STD,0.678,6467532,0.684,13810175,-0.006,0.625,0.734
2003-001,2003-01-01,2003-01-08,STD,0.674,5719915,0.699,13810077,-0.025,0.654,0.743
2003-009,2003-01-09,2003-01-16,STD,0.690,11431175,0.704,13809532,-0.014,0.651,0.751
2003-017,2003-01-17,2003-01-24,STD,0.694,12392876,0.712,13810072,-0.018,0.621,0.765
2003-025,2003-01-25,2003-02-01,STD,0.713,3031577,0.713,13808880,0.000,0.623,0.752
