GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:15:21 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28618
MAX SAMPLE COUNT,23319689

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.587,16468497,0.630,23311617,-0.043,0.587,0.676
2001-009,2001-01-09,2001-01-16,STD,0.585,16828185,0.632,23318845,-0.047,0.585,0.706
2001-017,2001-01-17,2001-01-24,STD,0.579,12003034,0.630,23319320,-0.051,0.516,0.670
2001-025,2001-01-25,2001-02-01,STD,0.578,9604773,0.637,23316305,-0.059,0.578,0.676
2001-033,2001-02-02,2001-02-09,STD,0.585,7217747,0.637,23319276,-0.052,0.583,0.685
2001-041,2001-02-10,2001-02-17,STD,0.601,7436386,0.641,23316254,-0.040,0.599,0.678
2001-049,2001-02-18,2001-02-25,STD,0.631,15378706,0.638,23315846,-0.007,0.551,0.677
2001-057,2001-02-26,2001-03-05,STD,0.641,15853630,0.650,23319313,-0.009,0.610,0.687
2001-065,2001-03-06,2001-03-13,STD,0.668,14159439,0.653,23318350,0.015,0.609,0.681
2001-073,2001-03-14,2001-03-21,STD,0.653,13487478,0.652,23317167,0.001,0.607,0.688
2001-081,2001-03-22,2001-03-29,STD,0.668,15116886,0.658,23319147,0.010,0.620,0.693
2001-089,2001-03-30,2001-04-06,STD,0.663,8626942,0.658,23319451,0.005,0.593,0.676
2001-097,2001-04-07,2001-04-14,STD,0.684,19146572,0.654,23319223,0.030,0.623,0.684
2001-105,2001-04-15,2001-04-22,STD,0.667,20753549,0.650,23319333,0.017,0.624,0.670
2001-113,2001-04-23,2001-04-30,STD,0.669,21006394,0.640,23318705,0.029,0.599,0.669
2001-121,2001-05-01,2001-05-08,STD,0.651,21880441,0.624,23319577,0.027,0.595,0.653
2001-129,2001-05-09,2001-05-16,STD,0.635,23000120,0.604,23312583,0.031,0.575,0.635
2001-137,2001-05-17,2001-05-24,STD,0.615,23198818,0.584,23318780,0.031,0.551,0.615
2001-145,2001-05-25,2001-06-01,STD,0.583,22038019,0.561,23307925,0.022,0.523,0.592
2001-153,2001-06-02,2001-06-09,STD,0.565,22333116,0.540,23302527,0.025,0.503,0.576
2001-161,2001-06-10,2001-06-17,STD,0.546,21774232,0.519,23301641,0.027,0.490,0.547
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.497,23313441,#N/A,0.457,0.519
2001-177,2001-06-26,2001-07-03,STD,0.488,9386225,0.475,23318591,0.013,0.448,0.499
2001-185,2001-07-04,2001-07-11,STD,0.484,22265312,0.459,23308017,0.025,0.434,0.484
2001-193,2001-07-12,2001-07-19,STD,0.461,22355341,0.442,23319460,0.019,0.417,0.468
2001-201,2001-07-20,2001-07-27,STD,0.448,22957061,0.429,23319644,0.019,0.403,0.451
2001-209,2001-07-28,2001-08-04,STD,0.427,22759673,0.419,23312246,0.008,0.395,0.436
2001-217,2001-08-05,2001-08-12,STD,0.424,22548110,0.410,23319498,0.014,0.394,0.425
2001-225,2001-08-13,2001-08-20,STD,0.412,23030473,0.405,23296915,0.007,0.393,0.427
2001-233,2001-08-21,2001-08-28,STD,0.401,22411117,0.410,23314802,-0.009,0.393,0.435
2001-241,2001-08-29,2001-09-05,STD,0.417,22271387,0.420,23283690,-0.003,0.402,0.449
2001-249,2001-09-06,2001-09-13,STD,0.437,23086473,0.435,23319430,0.002,0.414,0.463
2001-257,2001-09-14,2001-09-21,STD,0.469,22067902,0.451,23273897,0.018,0.430,0.471
2001-265,2001-09-22,2001-09-29,STD,0.485,22113598,0.468,23265325,0.017,0.439,0.492
2001-273,2001-09-30,2001-10-07,STD,0.499,22851530,0.487,23199136,0.012,0.452,0.507
2001-281,2001-10-08,2001-10-15,STD,0.496,22553085,0.499,23180842,-0.003,0.436,0.522
2001-289,2001-10-16,2001-10-23,STD,0.523,22017515,0.512,23192707,0.011,0.479,0.547
2001-297,2001-10-24,2001-10-31,STD,0.513,16852465,0.532,23160420,-0.019,0.493,0.590
2001-305,2001-11-01,2001-11-08,STD,0.501,14206369,0.541,23244574,-0.040,0.501,0.577
2001-313,2001-11-09,2001-11-16,STD,0.554,16476479,0.556,23262638,-0.002,0.499,0.593
2001-321,2001-11-17,2001-11-24,STD,0.547,17747118,0.571,23279284,-0.024,0.494,0.622
2001-329,2001-11-25,2001-12-02,STD,0.573,12285209,0.587,23276392,-0.014,0.479,0.639
2001-337,2001-12-03,2001-12-10,STD,0.566,14799008,0.590,23293656,-0.024,0.486,0.648
2001-345,2001-12-11,2001-12-18,STD,0.556,9093497,0.604,23281839,-0.048,0.528,0.644
2001-353,2001-12-19,2001-12-26,STD,0.594,15687336,0.606,23299934,-0.012,0.530,0.644
2001-361,2001-12-27,2002-01-03,STD,0.602,17915752,0.628,23312789,-0.026,0.532,0.678
2002-001,2002-01-01,2002-01-08,STD,0.607,16819851,0.630,23311617,-0.023,0.587,0.676
2002-009,2002-01-09,2002-01-16,STD,0.614,10082147,0.632,23318845,-0.018,0.585,0.706
2002-017,2002-01-17,2002-01-24,STD,0.593,12860242,0.630,23319320,-0.037,0.516,0.670
2002-025,2002-01-25,2002-02-01,STD,0.622,14811950,0.637,23316305,-0.015,0.578,0.676
2002-033,2002-02-02,2002-02-09,STD,0.583,11341584,0.637,23319276,-0.054,0.583,0.685
2002-041,2002-02-10,2002-02-17,STD,0.627,13072276,0.641,23316254,-0.014,0.599,0.678
2002-049,2002-02-18,2002-02-25,STD,0.642,18594821,0.638,23315846,0.004,0.551,0.677
2002-057,2002-02-26,2002-03-05,STD,0.665,18268666,0.650,23319313,0.015,0.610,0.687
2002-065,2002-03-06,2002-03-13,STD,0.646,11410525,0.653,23318350,-0.007,0.609,0.681
2002-073,2002-03-14,2002-03-21,STD,0.671,13239605,0.652,23317167,0.019,0.607,0.688
2002-081,2002-03-22,2002-03-29,STD,0.690,8917204,0.658,23319147,0.032,0.620,0.693
2002-089,2002-03-30,2002-04-06,STD,0.670,19468108,0.658,23319451,0.012,0.593,0.676
2002-097,2002-04-07,2002-04-14,STD,0.665,21416391,0.654,23319223,0.011,0.623,0.684
2002-105,2002-04-15,2002-04-22,STD,0.650,16407777,0.650,23319333,0.000,0.624,0.670
2002-113,2002-04-23,2002-04-30,STD,0.649,21975404,0.640,23318705,0.009,0.599,0.669
2002-121,2002-05-01,2002-05-08,STD,0.633,22112334,0.624,23319577,0.009,0.595,0.653
2002-129,2002-05-09,2002-05-16,STD,0.605,23135366,0.604,23312583,0.001,0.575,0.635
