GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:11:22 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28603
MAX SAMPLE COUNT,467276

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.689,92473,0.697,467157,-0.008,0.636,0.748
2001-009,2001-01-09,2001-01-16,STD,0.705,277402,0.686,467215,0.019,0.636,0.742
2001-017,2001-01-17,2001-01-24,STD,0.677,40760,0.693,467276,-0.016,0.645,0.750
2001-025,2001-01-25,2001-02-01,STD,0.666,392292,0.677,467276,-0.011,0.623,0.730
2001-033,2001-02-02,2001-02-09,STD,0.674,273500,0.672,467276,0.002,0.617,0.740
2001-041,2001-02-10,2001-02-17,STD,0.725,403591,0.662,467276,0.063,0.588,0.725
2001-049,2001-02-18,2001-02-25,STD,0.725,133082,0.663,467276,0.062,0.622,0.725
2001-057,2001-02-26,2001-03-05,STD,0.689,224676,0.660,467276,0.029,0.610,0.720
2001-065,2001-03-06,2001-03-13,STD,0.735,135771,0.664,467276,0.071,0.610,0.735
2001-073,2001-03-14,2001-03-21,STD,0.715,310630,0.665,467276,0.050,0.609,0.719
2001-081,2001-03-22,2001-03-29,STD,0.698,249374,0.692,467128,0.006,0.647,0.734
2001-089,2001-03-30,2001-04-06,STD,0.708,144626,0.704,466127,0.004,0.668,0.749
2001-097,2001-04-07,2001-04-14,STD,0.766,174893,0.710,462407,0.056,0.677,0.766
2001-105,2001-04-15,2001-04-22,STD,0.712,171723,0.719,465608,-0.007,0.672,0.781
2001-113,2001-04-23,2001-04-30,STD,0.737,205443,0.716,464132,0.021,0.678,0.748
2001-121,2001-05-01,2001-05-08,STD,0.714,117655,0.712,463474,0.002,0.669,0.765
2001-129,2001-05-09,2001-05-16,STD,0.723,122159,0.713,466763,0.010,0.644,0.740
2001-137,2001-05-17,2001-05-24,STD,0.704,183689,0.698,467077,0.006,0.602,0.729
2001-145,2001-05-25,2001-06-01,STD,0.705,332262,0.676,467276,0.029,0.603,0.714
2001-153,2001-06-02,2001-06-09,STD,0.675,316516,0.663,467276,0.012,0.584,0.690
2001-161,2001-06-10,2001-06-17,STD,0.653,371146,0.641,467276,0.012,0.565,0.676
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.621,467276,#N/A,0.523,0.666
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.596,467276,#N/A,0.519,0.637
2001-185,2001-07-04,2001-07-11,STD,0.581,459295,0.573,467276,0.008,0.489,0.620
2001-193,2001-07-12,2001-07-19,STD,0.561,460841,0.549,467276,0.012,0.475,0.591
2001-201,2001-07-20,2001-07-27,STD,0.564,352173,0.530,467276,0.034,0.456,0.571
2001-209,2001-07-28,2001-08-04,STD,0.558,448335,0.517,467276,0.041,0.455,0.558
2001-217,2001-08-05,2001-08-12,STD,0.534,450736,0.496,467276,0.038,0.427,0.544
2001-225,2001-08-13,2001-08-20,STD,0.550,351674,0.488,467276,0.062,0.448,0.550
2001-233,2001-08-21,2001-08-28,STD,0.531,464297,0.481,467276,0.050,0.425,0.531
2001-241,2001-08-29,2001-09-05,STD,0.513,460895,0.475,467276,0.038,0.399,0.515
2001-249,2001-09-06,2001-09-13,STD,0.542,461085,0.478,467276,0.064,0.390,0.542
2001-257,2001-09-14,2001-09-21,STD,0.521,328845,0.481,467276,0.040,0.395,0.529
2001-265,2001-09-22,2001-09-29,STD,0.552,370859,0.479,467276,0.073,0.398,0.552
2001-273,2001-09-30,2001-10-07,STD,0.557,458057,0.492,467276,0.065,0.413,0.576
2001-281,2001-10-08,2001-10-15,STD,0.620,189331,0.502,467276,0.118,0.394,0.620
2001-289,2001-10-16,2001-10-23,STD,0.604,392358,0.527,467198,0.077,0.424,0.620
2001-297,2001-10-24,2001-10-31,STD,0.654,58249,0.555,467086,0.099,0.453,0.654
2001-305,2001-11-01,2001-11-08,STD,0.680,132040,0.583,466789,0.097,0.456,0.680
2001-313,2001-11-09,2001-11-16,STD,0.707,145526,0.605,465336,0.102,0.539,0.707
2001-321,2001-11-17,2001-11-24,STD,0.698,227127,0.642,466229,0.056,0.562,0.698
2001-329,2001-11-25,2001-12-02,STD,0.684,330456,0.659,465061,0.025,0.590,0.721
2001-337,2001-12-03,2001-12-10,STD,0.716,74050,0.673,464683,0.043,0.628,0.720
2001-345,2001-12-11,2001-12-18,STD,0.701,344631,0.693,466814,0.008,0.632,0.737
2001-353,2001-12-19,2001-12-26,STD,0.716,214688,0.686,466987,0.030,0.635,0.721
2001-361,2001-12-27,2002-01-03,STD,0.724,169893,0.696,466703,0.028,0.649,0.746
2002-001,2002-01-01,2002-01-08,STD,0.704,143523,0.697,467157,0.007,0.636,0.748
2002-009,2002-01-09,2002-01-16,STD,0.713,264794,0.686,467215,0.027,0.636,0.742
2002-017,2002-01-17,2002-01-24,STD,0.714,224303,0.693,467276,0.021,0.645,0.750
2002-025,2002-01-25,2002-02-01,STD,0.710,424351,0.677,467276,0.033,0.623,0.730
2002-033,2002-02-02,2002-02-09,STD,0.686,382725,0.672,467276,0.014,0.617,0.740
2002-041,2002-02-10,2002-02-17,STD,0.645,170734,0.662,467276,-0.017,0.588,0.725
2002-049,2002-02-18,2002-02-25,STD,0.678,383271,0.663,467276,0.015,0.622,0.725
2002-057,2002-02-26,2002-03-05,STD,0.672,277049,0.660,467276,0.012,0.610,0.720
2002-065,2002-03-06,2002-03-13,STD,0.719,216723,0.664,467276,0.055,0.610,0.735
2002-073,2002-03-14,2002-03-21,STD,0.697,94474,0.665,467276,0.032,0.609,0.719
2002-081,2002-03-22,2002-03-29,STD,0.707,2043,0.692,467128,0.015,0.647,0.734
2002-089,2002-03-30,2002-04-06,STD,0.717,155366,0.704,466127,0.013,0.668,0.749
2002-097,2002-04-07,2002-04-14,STD,0.729,202730,0.710,462407,0.019,0.677,0.766
2002-105,2002-04-15,2002-04-22,STD,0.750,29350,0.719,465608,0.031,0.672,0.781
2002-113,2002-04-23,2002-04-30,STD,0.730,54277,0.716,464132,0.014,0.678,0.748
2002-121,2002-05-01,2002-05-08,STD,0.750,62741,0.712,463474,0.038,0.669,0.765
2002-129,2002-05-09,2002-05-16,STD,0.729,408028,0.713,466763,0.016,0.644,0.740
2002-137,2002-05-17,2002-05-24,STD,0.719,429164,0.698,467077,0.021,0.602,0.729
2002-145,2002-05-25,2002-06-01,STD,0.682,312747,0.676,467276,0.006,0.603,0.714
2002-153,2002-06-02,2002-06-09,STD,0.671,451207,0.663,467276,0.008,0.584,0.690
2002-161,2002-06-10,2002-06-17,STD,0.635,458733,0.641,467276,-0.006,0.565,0.676
2002-169,2002-06-18,2002-06-25,STD,0.603,441724,0.621,467276,-0.018,0.523,0.666
2002-177,2002-06-26,2002-07-03,STD,0.585,415180,0.596,467276,-0.011,0.519,0.637
2002-185,2002-07-04,2002-07-11,STD,0.554,465379,0.573,467276,-0.019,0.489,0.620
2002-193,2002-07-12,2002-07-19,STD,0.543,439270,0.549,467276,-0.006,0.475,0.591
2002-201,2002-07-20,2002-07-27,STD,0.515,438700,0.530,467276,-0.015,0.456,0.571
2002-209,2002-07-28,2002-08-04,STD,0.549,463168,0.517,467276,0.032,0.455,0.558
2002-217,2002-08-05,2002-08-12,STD,0.499,463077,0.496,467276,0.003,0.427,0.544
2002-225,2002-08-13,2002-08-20,STD,0.468,465926,0.488,467276,-0.020,0.448,0.550
2002-233,2002-08-21,2002-08-28,STD,0.469,463565,0.481,467276,-0.012,0.425,0.531
2002-241,2002-08-29,2002-09-05,STD,0.436,326489,0.475,467276,-0.039,0.399,0.515
2002-249,2002-09-06,2002-09-13,STD,0.457,347433,0.478,467276,-0.021,0.390,0.542
2002-257,2002-09-14,2002-09-21,STD,0.478,358247,0.481,467276,-0.003,0.395,0.529
2002-265,2002-09-22,2002-09-29,STD,0.457,458636,0.479,467276,-0.022,0.398,0.552
2002-273,2002-09-30,2002-10-07,STD,0.460,357336,0.492,467276,-0.032,0.413,0.576
2002-281,2002-10-08,2002-10-15,STD,0.449,382561,0.502,467276,-0.053,0.394,0.620
2002-289,2002-10-16,2002-10-23,STD,0.475,182701,0.527,467198,-0.052,0.424,0.620
2002-297,2002-10-24,2002-10-31,STD,0.499,206773,0.555,467086,-0.056,0.453,0.654
2002-305,2002-11-01,2002-11-08,STD,0.528,96642,0.583,466789,-0.055,0.456,0.680
2002-313,2002-11-09,2002-11-16,STD,0.575,310293,0.605,465336,-0.030,0.539,0.707
2002-321,2002-11-17,2002-11-24,STD,0.653,211924,0.642,466229,0.011,0.562,0.698
2002-329,2002-11-25,2002-12-02,STD,0.647,247371,0.659,465061,-0.012,0.590,0.721
2002-337,2002-12-03,2002-12-10,STD,0.684,220142,0.673,464683,0.011,0.628,0.720
2002-345,2002-12-11,2002-12-18,STD,0.737,230998,0.693,466814,0.044,0.632,0.737
2002-353,2002-12-19,2002-12-26,STD,0.717,162165,0.686,466987,0.031,0.635,0.721
2002-361,2002-12-27,2003-01-03,STD,0.737,315273,0.696,466703,0.041,0.649,0.746
2003-001,2003-01-01,2003-01-08,STD,0.748,258277,0.697,467157,0.051,0.636,0.748
2003-009,2003-01-09,2003-01-16,STD,0.726,433589,0.686,467215,0.040,0.636,0.742
2003-017,2003-01-17,2003-01-24,STD,0.733,324550,0.693,467276,0.040,0.645,0.750
2003-025,2003-01-25,2003-02-01,STD,0.730,407863,0.677,467276,0.053,0.623,0.730
2003-033,2003-02-02,2003-02-09,STD,0.690,466405,0.672,467276,0.018,0.617,0.740
2003-041,2003-02-10,2003-02-17,STD,0.674,273213,0.662,467276,0.012,0.588,0.725
2003-049,2003-02-18,2003-02-25,STD,0.667,365678,0.663,467276,0.004,0.622,0.725
2003-057,2003-02-26,2003-03-05,STD,0.711,346199,0.660,467276,0.051,0.610,0.720
2003-065,2003-03-06,2003-03-13,STD,0.672,409405,0.664,467276,0.008,0.610,0.735
2003-073,2003-03-14,2003-03-21,STD,0.669,320528,0.665,467276,0.004,0.609,0.719
2003-081,2003-03-22,2003-03-29,STD,0.733,334781,0.692,467128,0.041,0.647,0.734
2003-089,2003-03-30,2003-04-06,STD,0.713,261663,0.704,466127,0.009,0.668,0.749
2003-097,2003-04-07,2003-04-14,STD,0.703,238074,0.710,462407,-0.007,0.677,0.766
2003-105,2003-04-15,2003-04-22,STD,0.749,44135,0.719,465608,0.030,0.672,0.781
2003-113,2003-04-23,2003-04-30,STD,0.725,277650,0.716,464132,0.009,0.678,0.748
2003-121,2003-05-01,2003-05-08,STD,0.765,147003,0.712,463474,0.053,0.669,0.765
2003-129,2003-05-09,2003-05-16,STD,0.738,220891,0.713,466763,0.025,0.644,0.740
2003-137,2003-05-17,2003-05-24,STD,0.719,155051,0.698,467077,0.021,0.602,0.729
2003-145,2003-05-25,2003-06-01,STD,0.707,92346,0.676,467276,0.031,0.603,0.714
2003-153,2003-06-02,2003-06-09,STD,0.690,408730,0.663,467276,0.027,0.584,0.690
2003-161,2003-06-10,2003-06-17,STD,0.661,449637,0.641,467276,0.020,0.565,0.676
2003-169,2003-06-18,2003-06-25,STD,0.635,387031,0.621,467276,0.014,0.523,0.666
2003-177,2003-06-26,2003-07-03,STD,0.598,374060,0.596,467276,0.002,0.519,0.637
2003-185,2003-07-04,2003-07-11,STD,0.587,466122,0.573,467276,0.014,0.489,0.620
2003-193,2003-07-12,2003-07-19,STD,0.549,466371,0.549,467276,0.000,0.475,0.591
2003-201,2003-07-20,2003-07-27,STD,0.526,455166,0.530,467276,-0.004,0.456,0.571
2003-209,2003-07-28,2003-08-04,STD,0.501,467146,0.517,467276,-0.016,0.455,0.558
2003-217,2003-08-05,2003-08-12,STD,0.489,466684,0.496,467276,-0.007,0.427,0.544
2003-225,2003-08-13,2003-08-20,STD,0.477,462538,0.488,467276,-0.011,0.448,0.550
2003-233,2003-08-21,2003-08-28,STD,0.486,409142,0.481,467276,0.005,0.425,0.531
2003-241,2003-08-29,2003-09-05,STD,0.476,467149,0.475,467276,0.001,0.399,0.515
2003-249,2003-09-06,2003-09-13,STD,0.488,324113,0.478,467276,0.010,0.390,0.542
2003-257,2003-09-14,2003-09-21,STD,0.459,377727,0.481,467276,-0.022,0.395,0.529
2003-265,2003-09-22,2003-09-29,STD,0.474,313921,0.479,467276,-0.005,0.398,0.552
2003-273,2003-09-30,2003-10-07,STD,0.470,401333,0.492,467276,-0.022,0.413,0.576
2003-281,2003-10-08,2003-10-15,STD,0.531,460365,0.502,467276,0.029,0.394,0.620
2003-289,2003-10-16,2003-10-23,STD,0.551,322528,0.527,467198,0.024,0.424,0.620
