GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:07:00 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28511
MAX SAMPLE COUNT,11588746

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.463,11587266,0.489,11588746,-0.026,0.449,0.543
2001-009,2001-01-09,2001-01-16,STD,0.445,11588525,0.474,11588746,-0.029,0.445,0.528
2001-017,2001-01-17,2001-01-24,STD,0.440,11581865,0.458,11588746,-0.018,0.422,0.512
2001-025,2001-01-25,2001-02-01,STD,0.431,11588684,0.457,11588746,-0.026,0.403,0.513
2001-033,2001-02-02,2001-02-09,STD,0.422,11586323,0.454,11588746,-0.032,0.406,0.492
2001-041,2001-02-10,2001-02-17,STD,0.436,11585741,0.455,11588746,-0.019,0.349,0.497
2001-049,2001-02-18,2001-02-25,STD,0.450,11549609,0.472,11588746,-0.022,0.376,0.510
2001-057,2001-02-26,2001-03-05,STD,0.472,11391365,0.488,11588746,-0.016,0.412,0.533
2001-065,2001-03-06,2001-03-13,STD,0.494,10963058,0.509,11588746,-0.015,0.277,0.572
2001-073,2001-03-14,2001-03-21,STD,0.488,9192570,0.512,11588746,-0.024,0.420,0.596
2001-081,2001-03-22,2001-03-29,STD,0.565,10982784,0.544,11588746,0.021,0.469,0.599
2001-089,2001-03-30,2001-04-06,STD,0.573,5207491,0.568,11588746,0.005,0.522,0.628
2001-097,2001-04-07,2001-04-14,STD,0.614,11182028,0.596,11588746,0.018,0.524,0.643
2001-105,2001-04-15,2001-04-22,STD,0.588,8311235,0.613,11588746,-0.025,0.546,0.672
2001-113,2001-04-23,2001-04-30,STD,0.640,10334026,0.636,11588746,0.004,0.536,0.698
2001-121,2001-05-01,2001-05-08,STD,0.637,10054932,0.661,11588746,-0.024,0.598,0.723
2001-129,2001-05-09,2001-05-16,STD,0.658,11060204,0.683,11588746,-0.025,0.537,0.758
2001-137,2001-05-17,2001-05-24,STD,0.644,8926280,0.696,11588746,-0.052,0.633,0.757
2001-145,2001-05-25,2001-06-01,STD,0.701,6990506,0.722,11588746,-0.021,0.661,0.772
2001-153,2001-06-02,2001-06-09,STD,0.711,9558064,0.728,11588746,-0.017,0.690,0.768
2001-161,2001-06-10,2001-06-17,STD,0.760,9123344,0.743,11588746,0.017,0.682,0.786
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.761,11588746,#N/A,0.682,0.796
2001-177,2001-06-26,2001-07-03,STD,0.802,706090,0.777,11588742,0.025,0.745,0.802
2001-185,2001-07-04,2001-07-11,STD,0.793,9055337,0.788,11588746,0.005,0.758,0.811
2001-193,2001-07-12,2001-07-19,STD,0.790,5218073,0.794,11588738,-0.004,0.744,0.820
2001-201,2001-07-20,2001-07-27,STD,0.806,2930964,0.797,11588181,0.009,0.772,0.820
2001-209,2001-07-28,2001-08-04,STD,0.800,6844595,0.800,11588547,0.000,0.776,0.827
2001-217,2001-08-05,2001-08-12,STD,0.779,4335440,0.803,11578126,-0.024,0.779,0.828
2001-225,2001-08-13,2001-08-20,STD,0.797,6506764,0.807,11588475,-0.010,0.761,0.827
2001-233,2001-08-21,2001-08-28,STD,0.779,4770773,0.805,11588501,-0.026,0.779,0.820
2001-241,2001-08-29,2001-09-05,STD,0.804,5942139,0.800,11588463,0.004,0.783,0.828
2001-249,2001-09-06,2001-09-13,STD,0.786,8611187,0.797,11588704,-0.011,0.751,0.830
2001-257,2001-09-14,2001-09-21,STD,0.798,8942231,0.794,11588746,0.004,0.773,0.819
2001-265,2001-09-22,2001-09-29,STD,0.773,7954517,0.785,11588746,-0.012,0.763,0.807
2001-273,2001-09-30,2001-10-07,STD,0.769,7366181,0.778,11588742,-0.009,0.760,0.797
2001-281,2001-10-08,2001-10-15,STD,0.758,8692262,0.768,11588746,-0.010,0.734,0.795
2001-289,2001-10-16,2001-10-23,STD,0.732,11226080,0.749,11588710,-0.017,0.712,0.785
2001-297,2001-10-24,2001-10-31,STD,0.706,9557399,0.735,11588746,-0.029,0.706,0.765
2001-305,2001-11-01,2001-11-08,STD,0.693,10672725,0.715,11588746,-0.022,0.687,0.754
2001-313,2001-11-09,2001-11-16,STD,0.668,10898481,0.693,11588746,-0.025,0.648,0.734
2001-321,2001-11-17,2001-11-24,STD,0.648,11448131,0.668,11588746,-0.020,0.609,0.703
2001-329,2001-11-25,2001-12-02,STD,0.607,11345596,0.643,11588746,-0.036,0.569,0.678
2001-337,2001-12-03,2001-12-10,STD,0.569,11504981,0.604,11588746,-0.035,0.529,0.649
2001-345,2001-12-11,2001-12-18,STD,0.525,11375647,0.575,11588746,-0.050,0.518,0.610
2001-353,2001-12-19,2001-12-26,STD,0.485,11326013,0.536,11588746,-0.051,0.397,0.592
2001-361,2001-12-27,2002-01-03,STD,0.457,11275236,0.509,11588746,-0.052,0.457,0.555
2002-001,2002-01-01,2002-01-08,STD,0.449,11127166,0.489,11588746,-0.040,0.449,0.543
2002-009,2002-01-09,2002-01-16,STD,0.446,11398049,0.474,11588746,-0.028,0.445,0.528
2002-017,2002-01-17,2002-01-24,STD,0.453,11453944,0.458,11588746,-0.005,0.422,0.512
2002-025,2002-01-25,2002-02-01,STD,0.461,11587492,0.457,11588746,0.004,0.403,0.513
2002-033,2002-02-02,2002-02-09,STD,0.450,11580032,0.454,11588746,-0.004,0.406,0.492
2002-041,2002-02-10,2002-02-17,STD,0.415,11316138,0.455,11588746,-0.040,0.349,0.497
2002-049,2002-02-18,2002-02-25,STD,0.464,11553208,0.472,11588746,-0.008,0.376,0.510
2002-057,2002-02-26,2002-03-05,STD,0.477,10999594,0.488,11588746,-0.011,0.412,0.533
2002-065,2002-03-06,2002-03-13,STD,0.519,10835604,0.509,11588746,0.010,0.277,0.572
2002-073,2002-03-14,2002-03-21,STD,0.501,6170630,0.512,11588746,-0.011,0.420,0.596
2002-081,2002-03-22,2002-03-29,STD,0.476,2374873,0.544,11588746,-0.068,0.469,0.599
2002-089,2002-03-30,2002-04-06,STD,0.584,11444618,0.568,11588746,0.016,0.522,0.628
2002-097,2002-04-07,2002-04-14,STD,0.593,9287003,0.596,11588746,-0.003,0.524,0.643
2002-105,2002-04-15,2002-04-22,STD,0.602,9010288,0.613,11588746,-0.011,0.546,0.672
2002-113,2002-04-23,2002-04-30,STD,0.536,5967608,0.636,11588746,-0.100,0.536,0.698
2002-121,2002-05-01,2002-05-08,STD,0.657,10166999,0.661,11588746,-0.004,0.598,0.723
2002-129,2002-05-09,2002-05-16,STD,0.654,11138327,0.683,11588746,-0.029,0.537,0.758
2002-137,2002-05-17,2002-05-24,STD,0.667,10842613,0.696,11588746,-0.029,0.633,0.757
2002-145,2002-05-25,2002-06-01,STD,0.661,8222322,0.722,11588746,-0.061,0.661,0.772
2002-153,2002-06-02,2002-06-09,STD,0.707,10532417,0.728,11588746,-0.021,0.690,0.768
2002-161,2002-06-10,2002-06-17,STD,0.728,8562455,0.743,11588746,-0.015,0.682,0.786
2002-169,2002-06-18,2002-06-25,STD,0.758,8671638,0.761,11588746,-0.003,0.682,0.796
2002-177,2002-06-26,2002-07-03,STD,0.769,9422168,0.777,11588742,-0.008,0.745,0.802
2002-185,2002-07-04,2002-07-11,STD,0.786,10546555,0.788,11588746,-0.002,0.758,0.811
2002-193,2002-07-12,2002-07-19,STD,0.787,9335424,0.794,11588738,-0.007,0.744,0.820
2002-201,2002-07-20,2002-07-27,STD,0.800,8808752,0.797,11588181,0.003,0.772,0.820
2002-209,2002-07-28,2002-08-04,STD,0.800,6147689,0.800,11588547,0.000,0.776,0.827
2002-217,2002-08-05,2002-08-12,STD,0.808,5697038,0.803,11578126,0.005,0.779,0.828
2002-225,2002-08-13,2002-08-20,STD,0.801,8463916,0.807,11588475,-0.006,0.761,0.827
2002-233,2002-08-21,2002-08-28,STD,0.809,7602177,0.805,11588501,0.004,0.779,0.820
2002-241,2002-08-29,2002-09-05,STD,0.783,7247307,0.800,11588463,-0.017,0.783,0.828
2002-249,2002-09-06,2002-09-13,STD,0.805,8565884,0.797,11588704,0.008,0.751,0.830
2002-257,2002-09-14,2002-09-21,STD,0.788,7584960,0.794,11588746,-0.006,0.773,0.819
2002-265,2002-09-22,2002-09-29,STD,0.782,9069525,0.785,11588746,-0.003,0.763,0.807
2002-273,2002-09-30,2002-10-07,STD,0.766,5820196,0.778,11588742,-0.012,0.760,0.797
2002-281,2002-10-08,2002-10-15,STD,0.778,9745300,0.768,11588746,0.010,0.734,0.795
2002-289,2002-10-16,2002-10-23,STD,0.737,7823784,0.749,11588710,-0.012,0.712,0.785
2002-297,2002-10-24,2002-10-31,STD,0.740,8327368,0.735,11588746,0.005,0.706,0.765
2002-305,2002-11-01,2002-11-08,STD,0.695,10061812,0.715,11588746,-0.020,0.687,0.754
2002-313,2002-11-09,2002-11-16,STD,0.672,10583691,0.693,11588746,-0.021,0.648,0.734
2002-321,2002-11-17,2002-11-24,STD,0.668,11469235,0.668,11588746,0.000,0.609,0.703
2002-329,2002-11-25,2002-12-02,STD,0.635,11347148,0.643,11588746,-0.008,0.569,0.678
2002-337,2002-12-03,2002-12-10,STD,0.616,11540683,0.604,11588746,0.012,0.529,0.649
2002-345,2002-12-11,2002-12-18,STD,0.586,11501302,0.575,11588746,0.011,0.518,0.610
2002-353,2002-12-19,2002-12-26,STD,0.540,11580238,0.536,11588746,0.004,0.397,0.592
2002-361,2002-12-27,2003-01-03,STD,0.515,11588393,0.509,11588746,0.006,0.457,0.555
2003-001,2003-01-01,2003-01-08,STD,0.500,11588550,0.489,11588746,0.011,0.449,0.543
2003-009,2003-01-09,2003-01-16,STD,0.471,11571735,0.474,11588746,-0.003,0.445,0.528
2003-017,2003-01-17,2003-01-24,STD,0.424,11286752,0.458,11588746,-0.034,0.422,0.512
2003-025,2003-01-25,2003-02-01,STD,0.447,11261046,0.457,11588746,-0.010,0.403,0.513
2003-033,2003-02-02,2003-02-09,STD,0.441,11507451,0.454,11588746,-0.013,0.406,0.492
2003-041,2003-02-10,2003-02-17,STD,0.434,11295819,0.455,11588746,-0.021,0.349,0.497
2003-049,2003-02-18,2003-02-25,STD,0.472,10505153,0.472,11588746,0.000,0.376,0.510
2003-057,2003-02-26,2003-03-05,STD,0.477,11255804,0.488,11588746,-0.011,0.412,0.533
2003-065,2003-03-06,2003-03-13,STD,0.485,10608102,0.509,11588746,-0.024,0.277,0.572
2003-073,2003-03-14,2003-03-21,STD,0.496,9494118,0.512,11588746,-0.016,0.420,0.596
2003-081,2003-03-22,2003-03-29,STD,0.520,9792425,0.544,11588746,-0.024,0.469,0.599
2003-089,2003-03-30,2003-04-06,STD,0.559,10942790,0.568,11588746,-0.009,0.522,0.628
2003-097,2003-04-07,2003-04-14,STD,0.582,8786175,0.596,11588746,-0.014,0.524,0.643
2003-105,2003-04-15,2003-04-22,STD,0.596,7618869,0.613,11588746,-0.017,0.546,0.672
2003-113,2003-04-23,2003-04-30,STD,0.630,10680628,0.636,11588746,-0.006,0.536,0.698
2003-121,2003-05-01,2003-05-08,STD,0.641,10179298,0.661,11588746,-0.020,0.598,0.723
2003-129,2003-05-09,2003-05-16,STD,0.679,11110779,0.683,11588746,-0.004,0.537,0.758
2003-137,2003-05-17,2003-05-24,STD,0.678,9766450,0.696,11588746,-0.018,0.633,0.757
2003-145,2003-05-25,2003-06-01,STD,0.707,9290169,0.722,11588746,-0.015,0.661,0.772
2003-153,2003-06-02,2003-06-09,STD,0.714,7218250,0.728,11588746,-0.014,0.690,0.768
2003-161,2003-06-10,2003-06-17,STD,0.732,8399988,0.743,11588746,-0.011,0.682,0.786
2003-169,2003-06-18,2003-06-25,STD,0.760,6819983,0.761,11588746,-0.001,0.682,0.796
2003-177,2003-06-26,2003-07-03,STD,0.770,7603607,0.777,11588742,-0.007,0.745,0.802
2003-185,2003-07-04,2003-07-11,STD,0.799,6544629,0.788,11588746,0.011,0.758,0.811
2003-193,2003-07-12,2003-07-19,STD,0.788,9086379,0.794,11588738,-0.006,0.744,0.820
2003-201,2003-07-20,2003-07-27,STD,0.802,6799869,0.797,11588181,0.005,0.772,0.820
2003-209,2003-07-28,2003-08-04,STD,0.794,7688662,0.800,11588547,-0.006,0.776,0.827
2003-217,2003-08-05,2003-08-12,STD,0.797,6311448,0.803,11578126,-0.006,0.779,0.828
2003-225,2003-08-13,2003-08-20,STD,0.799,7047372,0.807,11588475,-0.008,0.761,0.827
2003-233,2003-08-21,2003-08-28,STD,0.798,4508368,0.805,11588501,-0.007,0.779,0.820
2003-241,2003-08-29,2003-09-05,STD,0.792,5745734,0.800,11588463,-0.008,0.783,0.828
2003-249,2003-09-06,2003-09-13,STD,0.802,8375205,0.797,11588704,0.005,0.751,0.830
2003-257,2003-09-14,2003-09-21,STD,0.786,5233525,0.794,11588746,-0.008,0.773,0.819
2003-265,2003-09-22,2003-09-29,STD,0.777,8612409,0.785,11588746,-0.008,0.763,0.807
