GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:16:49 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28640
MAX SAMPLE COUNT,42830573

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.665,22126453,0.727,42812817,-0.062,0.665,0.781
2001-009,2001-01-09,2001-01-16,STD,0.659,28069337,0.707,42823982,-0.048,0.637,0.772
2001-017,2001-01-17,2001-01-24,STD,0.684,18867455,0.713,42827565,-0.029,0.661,0.764
2001-025,2001-01-25,2001-02-01,STD,0.689,32552117,0.721,42824772,-0.032,0.651,0.765
2001-033,2001-02-02,2001-02-09,STD,0.691,26364724,0.720,42828329,-0.029,0.670,0.759
2001-041,2001-02-10,2001-02-17,STD,0.737,30909335,0.723,42824101,0.014,0.665,0.756
2001-049,2001-02-18,2001-02-25,STD,0.727,32770746,0.732,42828593,-0.005,0.665,0.766
2001-057,2001-02-26,2001-03-05,STD,0.749,28010924,0.741,42826212,0.008,0.670,0.781
2001-065,2001-03-06,2001-03-13,STD,0.768,23772201,0.751,42829255,0.017,0.654,0.776
2001-073,2001-03-14,2001-03-21,STD,0.756,24982479,0.748,42828227,0.008,0.683,0.781
2001-081,2001-03-22,2001-03-29,STD,0.779,27320165,0.760,42828720,0.019,0.718,0.788
2001-089,2001-03-30,2001-04-06,STD,0.782,20806759,0.769,42824693,0.013,0.747,0.790
2001-097,2001-04-07,2001-04-14,STD,0.776,34175343,0.774,42814940,0.002,0.728,0.792
2001-105,2001-04-15,2001-04-22,STD,0.771,28933383,0.772,42820193,-0.001,0.753,0.788
2001-113,2001-04-23,2001-04-30,STD,0.772,34855596,0.772,42818321,0.000,0.744,0.791
2001-121,2001-05-01,2001-05-08,STD,0.746,33177232,0.766,42810138,-0.020,0.746,0.786
2001-129,2001-05-09,2001-05-16,STD,0.753,36949575,0.759,42788346,-0.006,0.708,0.784
2001-137,2001-05-17,2001-05-24,STD,0.730,31070523,0.749,42823134,-0.019,0.718,0.768
2001-145,2001-05-25,2001-06-01,STD,0.727,32174417,0.734,42781415,-0.007,0.689,0.758
2001-153,2001-06-02,2001-06-09,STD,0.708,31751510,0.720,42821880,-0.012,0.675,0.744
2001-161,2001-06-10,2001-06-17,STD,0.715,33677370,0.703,42816569,0.012,0.660,0.729
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.667,42817208,#N/A,0.589,0.698
2001-177,2001-06-26,2001-07-03,STD,0.618,3764216,0.660,42825189,-0.042,0.618,0.688
2001-185,2001-07-04,2001-07-11,STD,0.646,33103673,0.653,42802854,-0.007,0.595,0.698
2001-193,2001-07-12,2001-07-19,STD,0.601,28697971,0.634,42827406,-0.033,0.595,0.663
2001-201,2001-07-20,2001-07-27,STD,0.622,31987438,0.613,42826381,0.009,0.536,0.644
2001-209,2001-07-28,2001-08-04,STD,0.612,31964396,0.609,42816647,0.003,0.534,0.643
2001-217,2001-08-05,2001-08-12,STD,0.618,32582240,0.614,42826365,0.004,0.554,0.669
2001-225,2001-08-13,2001-08-20,STD,0.604,30742087,0.631,42812867,-0.027,0.549,0.671
2001-233,2001-08-21,2001-08-28,STD,0.619,28647930,0.648,42825794,-0.029,0.585,0.694
2001-241,2001-08-29,2001-09-05,STD,0.657,33253436,0.667,42824555,-0.010,0.622,0.696
2001-249,2001-09-06,2001-09-13,STD,0.667,34374534,0.683,42825774,-0.016,0.643,0.719
2001-257,2001-09-14,2001-09-21,STD,0.694,28231120,0.697,42789917,-0.003,0.668,0.729
2001-265,2001-09-22,2001-09-29,STD,0.718,32663095,0.714,42805539,0.004,0.668,0.740
2001-273,2001-09-30,2001-10-07,STD,0.707,29230237,0.724,42678675,-0.017,0.691,0.756
2001-281,2001-10-08,2001-10-15,STD,0.728,24719319,0.730,42756548,-0.002,0.692,0.757
2001-289,2001-10-16,2001-10-23,STD,0.759,33062289,0.746,42657903,0.013,0.710,0.770
2001-297,2001-10-24,2001-10-31,STD,0.729,15023750,0.760,42600815,-0.031,0.729,0.782
2001-305,2001-11-01,2001-11-08,STD,0.768,11764083,0.771,42728575,-0.003,0.743,0.793
2001-313,2001-11-09,2001-11-16,STD,0.772,21801275,0.780,42761962,-0.008,0.757,0.804
2001-321,2001-11-17,2001-11-24,STD,0.794,21329834,0.787,42750935,0.007,0.767,0.806
2001-329,2001-11-25,2001-12-02,STD,0.788,25003437,0.786,42794558,0.002,0.764,0.811
2001-337,2001-12-03,2001-12-10,STD,0.778,25544960,0.779,42788943,-0.001,0.755,0.802
2001-345,2001-12-11,2001-12-18,STD,0.796,31736167,0.768,42809616,0.028,0.729,0.801
2001-353,2001-12-19,2001-12-26,STD,0.756,22757820,0.746,42798571,0.010,0.659,0.782
2001-361,2001-12-27,2002-01-03,STD,0.724,18816847,0.732,42821515,-0.008,0.635,0.777
2002-001,2002-01-01,2002-01-08,STD,0.747,20751432,0.727,42812817,0.020,0.665,0.781
2002-009,2002-01-09,2002-01-16,STD,0.691,30081889,0.707,42823982,-0.016,0.637,0.772
2002-017,2002-01-17,2002-01-24,STD,0.709,24064305,0.713,42827565,-0.004,0.661,0.764
2002-025,2002-01-25,2002-02-01,STD,0.716,33094693,0.721,42824772,-0.005,0.651,0.765
2002-033,2002-02-02,2002-02-09,STD,0.711,31908983,0.720,42828329,-0.009,0.670,0.759
2002-041,2002-02-10,2002-02-17,STD,0.665,22005777,0.723,42824101,-0.058,0.665,0.756
2002-049,2002-02-18,2002-02-25,STD,0.742,37782372,0.732,42828593,0.010,0.665,0.766
2002-057,2002-02-26,2002-03-05,STD,0.741,32539526,0.741,42826212,0.000,0.670,0.781
2002-065,2002-03-06,2002-03-13,STD,0.754,23347225,0.751,42829255,0.003,0.654,0.776
2002-073,2002-03-14,2002-03-21,STD,0.773,15691312,0.748,42828227,0.025,0.683,0.781
2002-081,2002-03-22,2002-03-29,STD,0.775,9823548,0.760,42828720,0.015,0.718,0.788
2002-089,2002-03-30,2002-04-06,STD,0.783,29129733,0.769,42824693,0.014,0.747,0.790
2002-097,2002-04-07,2002-04-14,STD,0.789,36474412,0.774,42814940,0.015,0.728,0.792
2002-105,2002-04-15,2002-04-22,STD,0.782,22442447,0.772,42820193,0.010,0.753,0.788
2002-113,2002-04-23,2002-04-30,STD,0.772,32078814,0.772,42818321,0.000,0.744,0.791
2002-121,2002-05-01,2002-05-08,STD,0.768,33382484,0.766,42810138,0.002,0.746,0.786
2002-129,2002-05-09,2002-05-16,STD,0.760,41572397,0.759,42788346,0.001,0.708,0.784
2002-137,2002-05-17,2002-05-24,STD,0.744,38432857,0.749,42823134,-0.005,0.718,0.768
2002-145,2002-05-25,2002-06-01,STD,0.735,34592802,0.734,42781415,0.001,0.689,0.758
2002-153,2002-06-02,2002-06-09,STD,0.737,39098935,0.720,42821880,0.017,0.675,0.744
2002-161,2002-06-10,2002-06-17,STD,0.726,39395509,0.703,42816569,0.023,0.660,0.729
2002-169,2002-06-18,2002-06-25,STD,0.681,35265428,0.667,42817208,0.014,0.589,0.698
2002-177,2002-06-26,2002-07-03,STD,0.660,33463628,0.660,42825189,0.000,0.618,0.688
2002-185,2002-07-04,2002-07-11,STD,0.666,36491968,0.653,42802854,0.013,0.595,0.698
2002-193,2002-07-12,2002-07-19,STD,0.626,31989677,0.634,42827406,-0.008,0.595,0.663
2002-201,2002-07-20,2002-07-27,STD,0.613,28214271,0.613,42826381,0.000,0.536,0.644
2002-209,2002-07-28,2002-08-04,STD,0.643,29847017,0.609,42816647,0.034,0.534,0.643
2002-217,2002-08-05,2002-08-12,STD,0.636,30295124,0.614,42826365,0.022,0.554,0.669
