GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:10:16 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28533
MAX SAMPLE COUNT,18189955

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.116,17126470,0.118,18173319,-0.002,0.116,0.122
2001-009,2001-01-09,2001-01-16,STD,0.120,17685355,0.119,18183221,0.001,0.115,0.125
2001-017,2001-01-17,2001-01-24,STD,0.119,17321593,0.119,18178317,0.000,0.112,0.128
2001-025,2001-01-25,2001-02-01,STD,0.122,17594510,0.119,18183704,0.003,0.114,0.124
2001-033,2001-02-02,2001-02-09,STD,0.116,17226483,0.120,18184801,-0.004,0.113,0.125
2001-041,2001-02-10,2001-02-17,STD,0.120,17893950,0.120,18187951,0.000,0.109,0.125
2001-049,2001-02-18,2001-02-25,STD,0.123,17871730,0.119,18188481,0.004,0.109,0.126
2001-057,2001-02-26,2001-03-05,STD,0.120,17942775,0.119,18188604,0.001,0.111,0.125
2001-065,2001-03-06,2001-03-13,STD,0.122,18123441,0.121,18188935,0.001,0.111,0.126
2001-073,2001-03-14,2001-03-21,STD,0.122,18096745,0.120,18188869,0.002,0.114,0.124
2001-081,2001-03-22,2001-03-29,STD,0.121,18163709,0.120,18188968,0.001,0.110,0.125
2001-089,2001-03-30,2001-04-06,STD,0.116,17976567,0.119,18188997,-0.003,0.109,0.123
2001-097,2001-04-07,2001-04-14,STD,0.118,18147015,0.117,18189118,0.001,0.110,0.123
2001-105,2001-04-15,2001-04-22,STD,0.112,17945613,0.116,18189183,-0.004,0.112,0.119
2001-113,2001-04-23,2001-04-30,STD,0.111,18147564,0.114,18189236,-0.003,0.107,0.118
2001-121,2001-05-01,2001-05-08,STD,0.107,18087196,0.113,18189321,-0.006,0.107,0.116
2001-129,2001-05-09,2001-05-16,STD,0.106,18148544,0.113,18189314,-0.007,0.106,0.116
2001-137,2001-05-17,2001-05-24,STD,0.108,18162328,0.111,18189341,-0.003,0.108,0.114
2001-145,2001-05-25,2001-06-01,STD,0.108,18168727,0.111,18189391,-0.003,0.107,0.113
2001-153,2001-06-02,2001-06-09,STD,0.109,18153401,0.111,18189283,-0.002,0.107,0.114
2001-161,2001-06-10,2001-06-17,STD,0.111,18163422,0.112,18189362,-0.001,0.108,0.114
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.114,18189294,#N/A,0.109,0.116
2001-177,2001-06-26,2001-07-03,STD,0.120,14548487,0.116,18189415,0.004,0.112,0.120
2001-185,2001-07-04,2001-07-11,STD,0.116,18164209,0.117,18189374,-0.001,0.111,0.119
2001-193,2001-07-12,2001-07-19,STD,0.116,18167641,0.118,18189339,-0.002,0.116,0.121
2001-201,2001-07-20,2001-07-27,STD,0.117,18169510,0.120,18189359,-0.003,0.115,0.122
2001-209,2001-07-28,2001-08-04,STD,0.119,18166786,0.120,18189367,-0.001,0.114,0.123
2001-217,2001-08-05,2001-08-12,STD,0.118,18163838,0.120,18189426,-0.002,0.116,0.122
2001-225,2001-08-13,2001-08-20,STD,0.117,18158001,0.120,18189272,-0.003,0.116,0.123
2001-233,2001-08-21,2001-08-28,STD,0.117,18168656,0.119,18189294,-0.002,0.115,0.123
2001-241,2001-08-29,2001-09-05,STD,0.116,18170903,0.118,18189178,-0.002,0.112,0.122
2001-249,2001-09-06,2001-09-13,STD,0.114,18170670,0.116,18189244,-0.002,0.108,0.121
2001-257,2001-09-14,2001-09-21,STD,0.112,18136682,0.115,18189132,-0.003,0.112,0.120
2001-265,2001-09-22,2001-09-29,STD,0.111,18169588,0.113,18189239,-0.002,0.111,0.116
2001-273,2001-09-30,2001-10-07,STD,0.110,18165123,0.112,18189293,-0.002,0.109,0.115
2001-281,2001-10-08,2001-10-15,STD,0.109,18146423,0.111,18189237,-0.002,0.107,0.114
2001-289,2001-10-16,2001-10-23,STD,0.110,18119670,0.111,18189328,-0.001,0.108,0.114
2001-297,2001-10-24,2001-10-31,STD,0.109,18039200,0.112,18189257,-0.003,0.109,0.116
2001-305,2001-11-01,2001-11-08,STD,0.111,18151226,0.113,18189267,-0.002,0.107,0.116
2001-313,2001-11-09,2001-11-16,STD,0.110,18029520,0.113,18189101,-0.003,0.110,0.116
2001-321,2001-11-17,2001-11-24,STD,0.110,17943362,0.114,18188920,-0.004,0.110,0.117
2001-329,2001-11-25,2001-12-02,STD,0.110,17903055,0.115,18188644,-0.005,0.110,0.118
2001-337,2001-12-03,2001-12-10,STD,0.112,17102364,0.115,18187962,-0.003,0.109,0.119
2001-345,2001-12-11,2001-12-18,STD,0.115,17350483,0.116,18183848,-0.001,0.112,0.120
2001-353,2001-12-19,2001-12-26,STD,0.116,17392031,0.117,18175345,-0.001,0.107,0.122
2001-361,2001-12-27,2002-01-03,STD,0.116,16447482,0.118,18181973,-0.002,0.114,0.123
2002-001,2002-01-01,2002-01-08,STD,0.117,16613046,0.118,18173319,-0.001,0.116,0.122
2002-009,2002-01-09,2002-01-16,STD,0.115,16153864,0.119,18183221,-0.004,0.115,0.125
2002-017,2002-01-17,2002-01-24,STD,0.119,17098333,0.119,18178317,0.000,0.112,0.128
2002-025,2002-01-25,2002-02-01,STD,0.121,17369703,0.119,18183704,0.002,0.114,0.124
2002-033,2002-02-02,2002-02-09,STD,0.121,17668730,0.120,18184801,0.001,0.113,0.125
2002-041,2002-02-10,2002-02-17,STD,0.109,16939048,0.120,18187951,-0.011,0.109,0.125
2002-049,2002-02-18,2002-02-25,STD,0.121,17642236,0.119,18188481,0.002,0.109,0.126
2002-057,2002-02-26,2002-03-05,STD,0.121,17877644,0.119,18188604,0.002,0.111,0.125
2002-065,2002-03-06,2002-03-13,STD,0.122,18147123,0.121,18188935,0.001,0.111,0.126
2002-073,2002-03-14,2002-03-21,STD,0.118,18012585,0.120,18188869,-0.002,0.114,0.124
2002-081,2002-03-22,2002-03-29,STD,0.110,16217804,0.120,18188968,-0.010,0.110,0.125
2002-089,2002-03-30,2002-04-06,STD,0.109,17805934,0.119,18188997,-0.010,0.109,0.123
2002-097,2002-04-07,2002-04-14,STD,0.116,18001441,0.117,18189118,-0.001,0.110,0.123
2002-105,2002-04-15,2002-04-22,STD,0.114,18076550,0.116,18189183,-0.002,0.112,0.119
2002-113,2002-04-23,2002-04-30,STD,0.111,18133039,0.114,18189236,-0.003,0.107,0.118
2002-121,2002-05-01,2002-05-08,STD,0.112,18155340,0.113,18189321,-0.001,0.107,0.116
2002-129,2002-05-09,2002-05-16,STD,0.109,18165331,0.113,18189314,-0.004,0.106,0.116
2002-137,2002-05-17,2002-05-24,STD,0.110,18162557,0.111,18189341,-0.001,0.108,0.114
2002-145,2002-05-25,2002-06-01,STD,0.110,18166207,0.111,18189391,-0.001,0.107,0.113
2002-153,2002-06-02,2002-06-09,STD,0.110,18166500,0.111,18189283,-0.001,0.107,0.114
2002-161,2002-06-10,2002-06-17,STD,0.111,18162947,0.112,18189362,-0.001,0.108,0.114
2002-169,2002-06-18,2002-06-25,STD,0.113,18167309,0.114,18189294,-0.001,0.109,0.116
2002-177,2002-06-26,2002-07-03,STD,0.114,18162251,0.116,18189415,-0.002,0.112,0.120
2002-185,2002-07-04,2002-07-11,STD,0.115,18168638,0.117,18189374,-0.002,0.111,0.119
2002-193,2002-07-12,2002-07-19,STD,0.117,18167127,0.118,18189339,-0.001,0.116,0.121
2002-201,2002-07-20,2002-07-27,STD,0.118,18160876,0.120,18189359,-0.002,0.115,0.122
2002-209,2002-07-28,2002-08-04,STD,0.117,18165129,0.120,18189367,-0.003,0.114,0.123
2002-217,2002-08-05,2002-08-12,STD,0.118,18168822,0.120,18189426,-0.002,0.116,0.122
2002-225,2002-08-13,2002-08-20,STD,0.117,18164310,0.120,18189272,-0.003,0.116,0.123
2002-233,2002-08-21,2002-08-28,STD,0.118,18161525,0.119,18189294,-0.001,0.115,0.123
2002-241,2002-08-29,2002-09-05,STD,0.117,18165848,0.118,18189178,-0.001,0.112,0.122
2002-249,2002-09-06,2002-09-13,STD,0.115,18167066,0.116,18189244,-0.001,0.108,0.121
2002-257,2002-09-14,2002-09-21,STD,0.114,18170078,0.115,18189132,-0.001,0.112,0.120
2002-265,2002-09-22,2002-09-29,STD,0.111,18169446,0.113,18189239,-0.002,0.111,0.116
2002-273,2002-09-30,2002-10-07,STD,0.110,18155693,0.112,18189293,-0.002,0.109,0.115
2002-281,2002-10-08,2002-10-15,STD,0.109,18125500,0.111,18189237,-0.002,0.107,0.114
2002-289,2002-10-16,2002-10-23,STD,0.110,18052732,0.111,18189328,-0.001,0.108,0.114
2002-297,2002-10-24,2002-10-31,STD,0.110,18120610,0.112,18189257,-0.002,0.109,0.116
2002-305,2002-11-01,2002-11-08,STD,0.113,18159429,0.113,18189267,0.000,0.107,0.116
2002-313,2002-11-09,2002-11-16,STD,0.111,18075559,0.113,18189101,-0.002,0.110,0.116
2002-321,2002-11-17,2002-11-24,STD,0.114,18158374,0.114,18188920,0.000,0.110,0.117
2002-329,2002-11-25,2002-12-02,STD,0.112,17588601,0.115,18188644,-0.003,0.110,0.118
2002-337,2002-12-03,2002-12-10,STD,0.113,17743893,0.115,18187962,-0.002,0.109,0.119
2002-345,2002-12-11,2002-12-18,STD,0.117,17565724,0.116,18183848,0.001,0.112,0.120
2002-353,2002-12-19,2002-12-26,STD,0.118,17075652,0.117,18175345,0.001,0.107,0.122
2002-361,2002-12-27,2003-01-03,STD,0.118,17318395,0.118,18181973,0.000,0.114,0.123
2003-001,2003-01-01,2003-01-08,STD,0.119,17264301,0.118,18173319,0.001,0.116,0.122
2003-009,2003-01-09,2003-01-16,STD,0.120,17469062,0.119,18183221,0.001,0.115,0.125
