GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:02:39 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28489
MAX SAMPLE COUNT,622956

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.601,621926,0.569,622916,0.032,0.399,0.643
2001-009,2001-01-09,2001-01-16,STD,0.570,618046,0.548,622938,0.022,0.334,0.611
2001-017,2001-01-17,2001-01-24,STD,0.565,619770,0.537,622915,0.028,0.452,0.608
2001-025,2001-01-25,2001-02-01,STD,0.505,619835,0.529,622916,-0.024,0.454,0.572
2001-033,2001-02-02,2001-02-09,STD,0.484,615227,0.496,622929,-0.012,0.412,0.540
2001-041,2001-02-10,2001-02-17,STD,0.466,615682,0.481,622912,-0.015,0.404,0.538
2001-049,2001-02-18,2001-02-25,STD,0.479,613072,0.467,622926,0.012,0.323,0.522
2001-057,2001-02-26,2001-03-05,STD,0.468,621585,0.459,622930,0.009,0.409,0.498
2001-065,2001-03-06,2001-03-13,STD,0.450,621626,0.446,622915,0.004,0.350,0.497
2001-073,2001-03-14,2001-03-21,STD,0.452,618893,0.439,622894,0.013,0.378,0.503
2001-081,2001-03-22,2001-03-29,STD,0.462,619860,0.439,622917,0.023,0.360,0.484
2001-089,2001-03-30,2001-04-06,STD,0.423,610891,0.434,622904,-0.011,0.316,0.495
2001-097,2001-04-07,2001-04-14,STD,0.435,613873,0.446,622943,-0.011,0.393,0.485
2001-105,2001-04-15,2001-04-22,STD,0.462,613874,0.444,622916,0.018,0.388,0.495
2001-113,2001-04-23,2001-04-30,STD,0.457,619550,0.451,622915,0.006,0.388,0.489
2001-121,2001-05-01,2001-05-08,STD,0.455,543634,0.453,622916,0.002,0.299,0.501
2001-129,2001-05-09,2001-05-16,STD,0.480,611788,0.460,622923,0.020,0.422,0.508
2001-137,2001-05-17,2001-05-24,STD,0.500,613293,0.469,622932,0.031,0.387,0.519
2001-145,2001-05-25,2001-06-01,STD,0.491,595451,0.471,622885,0.020,0.411,0.557
2001-153,2001-06-02,2001-06-09,STD,0.496,555420,0.501,622887,-0.005,0.415,0.567
2001-161,2001-06-10,2001-06-17,STD,0.530,553668,0.539,622867,-0.009,0.421,0.634
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.594,620896,#N/A,0.439,0.700
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.628,617063,#N/A,0.534,0.732
2001-185,2001-07-04,2001-07-11,STD,0.718,402207,0.659,620584,0.059,0.566,0.747
2001-193,2001-07-12,2001-07-19,STD,0.695,269996,0.697,621686,-0.002,0.620,0.758
2001-201,2001-07-20,2001-07-27,STD,0.672,186871,0.718,605957,-0.046,0.662,0.794
2001-209,2001-07-28,2001-08-04,STD,0.766,162035,0.731,606406,0.035,0.690,0.775
2001-217,2001-08-05,2001-08-12,STD,0.746,59661,0.727,613294,0.019,0.665,0.802
2001-225,2001-08-13,2001-08-20,STD,0.698,75132,0.745,584672,-0.047,0.696,0.808
2001-233,2001-08-21,2001-08-28,STD,0.750,135278,0.758,604338,-0.008,0.693,0.808
2001-241,2001-08-29,2001-09-05,STD,0.785,27511,0.749,612871,0.036,0.684,0.812
2001-249,2001-09-06,2001-09-13,STD,0.734,399950,0.750,621923,-0.016,0.674,0.787
2001-257,2001-09-14,2001-09-21,STD,0.727,51473,0.747,622778,-0.020,0.671,0.793
2001-265,2001-09-22,2001-09-29,STD,0.752,557029,0.758,622839,-0.006,0.709,0.802
2001-273,2001-09-30,2001-10-07,STD,0.759,499918,0.745,622922,0.014,0.645,0.798
2001-281,2001-10-08,2001-10-15,STD,0.755,481191,0.746,622905,0.009,0.689,0.811
2001-289,2001-10-16,2001-10-23,STD,0.727,576847,0.736,622911,-0.009,0.695,0.769
2001-297,2001-10-24,2001-10-31,STD,0.703,575587,0.738,622939,-0.035,0.671,0.767
2001-305,2001-11-01,2001-11-08,STD,0.725,609491,0.719,622911,0.006,0.645,0.766
2001-313,2001-11-09,2001-11-16,STD,0.680,543742,0.705,622929,-0.025,0.627,0.752
2001-321,2001-11-17,2001-11-24,STD,0.691,596663,0.697,622930,-0.006,0.641,0.739
2001-329,2001-11-25,2001-12-02,STD,0.645,584550,0.681,622938,-0.036,0.639,0.712
2001-337,2001-12-03,2001-12-10,STD,0.610,583406,0.651,622873,-0.041,0.595,0.698
2001-345,2001-12-11,2001-12-18,STD,0.635,622208,0.634,622936,0.001,0.542,0.684
2001-353,2001-12-19,2001-12-26,STD,0.594,605408,0.605,622896,-0.011,0.469,0.645
2001-361,2001-12-27,2002-01-03,STD,0.609,599758,0.592,622931,0.017,0.539,0.634
2002-001,2002-01-01,2002-01-08,STD,0.600,621809,0.569,622916,0.031,0.399,0.643
2002-009,2002-01-09,2002-01-16,STD,0.509,607943,0.548,622938,-0.039,0.334,0.611
2002-017,2002-01-17,2002-01-24,STD,0.536,615343,0.537,622915,-0.001,0.452,0.608
