GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:11:44 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28606
MAX SAMPLE COUNT,10664783

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.372,9158246,0.391,10664780,-0.019,0.280,0.547
2001-009,2001-01-09,2001-01-16,STD,0.358,8710568,0.371,10664768,-0.013,0.288,0.518
2001-017,2001-01-17,2001-01-24,STD,0.378,9038717,0.363,10664779,0.015,0.289,0.483
2001-025,2001-01-25,2001-02-01,STD,0.372,9704273,0.346,10664766,0.026,0.286,0.455
2001-033,2001-02-02,2001-02-09,STD,0.364,10302691,0.336,10664674,0.028,0.270,0.483
2001-041,2001-02-10,2001-02-17,STD,0.353,8210453,0.326,10664778,0.027,0.272,0.483
2001-049,2001-02-18,2001-02-25,STD,0.332,9419928,0.315,10664726,0.017,0.261,0.424
2001-057,2001-02-26,2001-03-05,STD,0.315,10603713,0.310,10664761,0.005,0.252,0.402
2001-065,2001-03-06,2001-03-13,STD,0.304,10351034,0.310,10664751,-0.006,0.265,0.425
2001-073,2001-03-14,2001-03-21,STD,0.322,7473068,0.315,10663767,0.007,0.263,0.417
2001-081,2001-03-22,2001-03-29,STD,0.311,8664314,0.331,10664160,-0.020,0.279,0.498
2001-089,2001-03-30,2001-04-06,STD,0.367,6758014,0.348,10663513,0.019,0.282,0.475
2001-097,2001-04-07,2001-04-14,STD,0.425,7047401,0.381,10664098,0.044,0.299,0.514
2001-105,2001-04-15,2001-04-22,STD,0.453,6735935,0.402,10663487,0.051,0.294,0.533
2001-113,2001-04-23,2001-04-30,STD,0.467,7191760,0.430,10663070,0.037,0.342,0.568
2001-121,2001-05-01,2001-05-08,STD,0.451,8674927,0.441,10663993,0.010,0.327,0.590
2001-129,2001-05-09,2001-05-16,STD,0.433,7672318,0.447,10664342,-0.014,0.341,0.559
2001-137,2001-05-17,2001-05-24,STD,0.405,7470807,0.439,10664746,-0.034,0.347,0.551
2001-145,2001-05-25,2001-06-01,STD,0.382,8808702,0.418,10664723,-0.036,0.343,0.513
2001-153,2001-06-02,2001-06-09,STD,0.363,8687435,0.396,10664743,-0.033,0.330,0.475
2001-161,2001-06-10,2001-06-17,STD,0.345,5087426,0.374,10664674,-0.029,0.323,0.489
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.365,10664070,#N/A,0.317,0.442
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.360,10664737,#N/A,0.300,0.434
2001-185,2001-07-04,2001-07-11,STD,0.336,8663289,0.346,10664657,-0.010,0.283,0.406
2001-193,2001-07-12,2001-07-19,STD,0.326,8721419,0.338,10664668,-0.012,0.283,0.392
2001-201,2001-07-20,2001-07-27,STD,0.316,8789369,0.329,10664064,-0.013,0.285,0.378
2001-209,2001-07-28,2001-08-04,STD,0.322,8003162,0.326,10664463,-0.004,0.279,0.389
2001-217,2001-08-05,2001-08-12,STD,0.323,9380280,0.326,10664273,-0.003,0.277,0.393
