GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:13:32 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28613
MAX SAMPLE COUNT,567498

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.450,567317,0.441,567498,0.009,0.297,0.547
2001-009,2001-01-09,2001-01-16,STD,0.441,567374,0.458,567498,-0.017,0.311,0.525
2001-017,2001-01-17,2001-01-24,STD,0.447,558720,0.466,567498,-0.019,0.355,0.540
2001-025,2001-01-25,2001-02-01,STD,0.473,543052,0.494,567498,-0.021,0.373,0.574
2001-033,2001-02-02,2001-02-09,STD,0.453,567498,0.490,567498,-0.037,0.401,0.563
2001-041,2001-02-10,2001-02-17,STD,0.476,546717,0.509,567498,-0.033,0.405,0.568
2001-049,2001-02-18,2001-02-25,STD,0.486,560520,0.517,567498,-0.031,0.307,0.571
2001-057,2001-02-26,2001-03-05,STD,0.480,565804,0.513,567498,-0.033,0.436,0.568
2001-065,2001-03-06,2001-03-13,STD,0.476,566921,0.511,567498,-0.035,0.437,0.557
2001-073,2001-03-14,2001-03-21,STD,0.477,564825,0.506,567498,-0.029,0.408,0.552
2001-081,2001-03-22,2001-03-29,STD,0.473,567198,0.504,567498,-0.031,0.407,0.572
2001-089,2001-03-30,2001-04-06,STD,0.488,515143,0.485,567498,0.003,0.391,0.530
2001-097,2001-04-07,2001-04-14,STD,0.474,552939,0.475,567498,-0.001,0.401,0.562
2001-105,2001-04-15,2001-04-22,STD,0.453,559153,0.457,567498,-0.004,0.399,0.505
2001-113,2001-04-23,2001-04-30,STD,0.462,563546,0.435,567498,0.027,0.389,0.485
2001-121,2001-05-01,2001-05-08,STD,0.442,553002,0.415,567498,0.027,0.351,0.461
2001-129,2001-05-09,2001-05-16,STD,0.401,567498,0.393,567498,0.008,0.336,0.438
2001-137,2001-05-17,2001-05-24,STD,0.376,566307,0.373,567498,0.003,0.337,0.411
2001-145,2001-05-25,2001-06-01,STD,0.357,566667,0.354,567498,0.003,0.301,0.401
2001-153,2001-06-02,2001-06-09,STD,0.346,567458,0.338,567498,0.008,0.308,0.373
2001-161,2001-06-10,2001-06-17,STD,0.335,566475,0.325,567498,0.010,0.281,0.362
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.312,567498,#N/A,0.274,0.341
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.303,567498,#N/A,0.271,0.325
2001-185,2001-07-04,2001-07-11,STD,0.301,494626,0.294,567498,0.007,0.260,0.315
2001-193,2001-07-12,2001-07-19,STD,0.292,555722,0.287,567498,0.005,0.256,0.311
2001-201,2001-07-20,2001-07-27,STD,0.292,541086,0.280,567498,0.012,0.253,0.309
2001-209,2001-07-28,2001-08-04,STD,0.271,554025,0.272,567498,-0.001,0.253,0.303
2001-217,2001-08-05,2001-08-12,STD,0.263,559237,0.270,567498,-0.007,0.255,0.297
2001-225,2001-08-13,2001-08-20,STD,0.254,494593,0.266,567498,-0.012,0.252,0.292
2001-233,2001-08-21,2001-08-28,STD,0.258,567287,0.269,567498,-0.011,0.249,0.291
2001-241,2001-08-29,2001-09-05,STD,0.276,554007,0.268,567498,0.008,0.246,0.287
2001-249,2001-09-06,2001-09-13,STD,0.262,561879,0.270,567498,-0.008,0.245,0.293
2001-257,2001-09-14,2001-09-21,STD,0.271,462827,0.275,567498,-0.004,0.247,0.315
2001-265,2001-09-22,2001-09-29,STD,0.280,567389,0.279,567498,0.001,0.250,0.321
2001-273,2001-09-30,2001-10-07,STD,0.288,567492,0.286,567498,0.002,0.250,0.334
2001-281,2001-10-08,2001-10-15,STD,0.304,567498,0.293,567498,0.011,0.249,0.344
2001-289,2001-10-16,2001-10-23,STD,0.322,562956,0.305,567498,0.017,0.256,0.376
2001-297,2001-10-24,2001-10-31,STD,0.380,500031,0.320,567498,0.060,0.248,0.409
2001-305,2001-11-01,2001-11-08,STD,0.379,554483,0.331,567498,0.048,0.258,0.447
2001-313,2001-11-09,2001-11-16,STD,0.396,379515,0.340,567498,0.056,0.283,0.449
2001-321,2001-11-17,2001-11-24,STD,0.415,564325,0.360,567498,0.055,0.277,0.441
2001-329,2001-11-25,2001-12-02,STD,0.458,447230,0.374,567498,0.084,0.286,0.460
2001-337,2001-12-03,2001-12-10,STD,0.466,547759,0.395,567498,0.071,0.308,0.466
2001-345,2001-12-11,2001-12-18,STD,0.479,567227,0.408,567498,0.071,0.306,0.536
2001-353,2001-12-19,2001-12-26,STD,0.475,560426,0.424,567498,0.051,0.292,0.497
2001-361,2001-12-27,2002-01-03,STD,0.498,566797,0.434,567498,0.064,0.312,0.536
2002-001,2002-01-01,2002-01-08,STD,0.505,562953,0.441,567498,0.064,0.297,0.547
2002-009,2002-01-09,2002-01-16,STD,0.509,567101,0.458,567498,0.051,0.311,0.525
2002-017,2002-01-17,2002-01-24,STD,0.500,564648,0.466,567498,0.034,0.355,0.540
2002-025,2002-01-25,2002-02-01,STD,0.522,497496,0.494,567498,0.028,0.373,0.574
2002-033,2002-02-02,2002-02-09,STD,0.515,567478,0.490,567498,0.025,0.401,0.563
2002-041,2002-02-10,2002-02-17,STD,0.501,563788,0.509,567498,-0.008,0.405,0.568
2002-049,2002-02-18,2002-02-25,STD,0.496,565953,0.517,567498,-0.021,0.307,0.571
2002-057,2002-02-26,2002-03-05,STD,0.512,539541,0.513,567498,-0.001,0.436,0.568
2002-065,2002-03-06,2002-03-13,STD,0.527,399634,0.511,567498,0.016,0.437,0.557
2002-073,2002-03-14,2002-03-21,STD,0.509,565072,0.506,567498,0.003,0.408,0.552
2002-081,2002-03-22,2002-03-29,STD,0.551,566728,0.504,567498,0.047,0.407,0.572
2002-089,2002-03-30,2002-04-06,STD,0.451,564089,0.485,567498,-0.034,0.391,0.530
2002-097,2002-04-07,2002-04-14,STD,0.457,563879,0.475,567498,-0.018,0.401,0.562
2002-105,2002-04-15,2002-04-22,STD,0.404,567498,0.457,567498,-0.053,0.399,0.505
2002-113,2002-04-23,2002-04-30,STD,0.398,562668,0.435,567498,-0.037,0.389,0.485
2002-121,2002-05-01,2002-05-08,STD,0.396,565050,0.415,567498,-0.019,0.351,0.461
2002-129,2002-05-09,2002-05-16,STD,0.353,560427,0.393,567498,-0.040,0.336,0.438
2002-137,2002-05-17,2002-05-24,STD,0.347,528348,0.373,567498,-0.026,0.337,0.411
2002-145,2002-05-25,2002-06-01,STD,0.349,548652,0.354,567498,-0.005,0.301,0.401
2002-153,2002-06-02,2002-06-09,STD,0.319,539508,0.338,567498,-0.019,0.308,0.373
2002-161,2002-06-10,2002-06-17,STD,0.320,540938,0.325,567498,-0.005,0.281,0.362
2002-169,2002-06-18,2002-06-25,STD,0.306,457123,0.312,567498,-0.006,0.274,0.341
2002-177,2002-06-26,2002-07-03,STD,0.291,488056,0.303,567498,-0.012,0.271,0.325
2002-185,2002-07-04,2002-07-11,STD,0.282,497683,0.294,567498,-0.012,0.260,0.315
2002-193,2002-07-12,2002-07-19,STD,0.275,504351,0.287,567498,-0.012,0.256,0.311
