GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:00:49 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28482
MAX SAMPLE COUNT,1790476

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.635,875826,0.680,1790470,-0.045,0.575,0.759
2001-009,2001-01-09,2001-01-16,STD,0.643,579611,0.674,1790456,-0.031,0.555,0.752
2001-017,2001-01-17,2001-01-24,STD,0.698,1435619,0.672,1790274,0.026,0.599,0.746
2001-025,2001-01-25,2001-02-01,STD,0.622,1268755,0.667,1788680,-0.045,0.586,0.777
2001-033,2001-02-02,2001-02-09,STD,0.693,1565276,0.682,1787655,0.011,0.583,0.741
2001-041,2001-02-10,2001-02-17,STD,0.544,994216,0.687,1789613,-0.143,0.544,0.786
2001-049,2001-02-18,2001-02-25,STD,0.671,1245577,0.709,1789876,-0.038,0.528,0.747
2001-057,2001-02-26,2001-03-05,STD,0.713,696900,0.719,1789820,-0.006,0.654,0.788
2001-065,2001-03-06,2001-03-13,STD,0.683,681905,0.715,1790332,-0.032,0.511,0.782
2001-073,2001-03-14,2001-03-21,STD,0.727,570072,0.726,1789027,0.001,0.621,0.785
2001-081,2001-03-22,2001-03-29,STD,0.753,658900,0.740,1790080,0.013,0.583,0.779
2001-089,2001-03-30,2001-04-06,STD,0.744,188749,0.751,1789647,-0.007,0.664,0.786
2001-097,2001-04-07,2001-04-14,STD,0.800,693631,0.758,1789868,0.042,0.707,0.800
2001-105,2001-04-15,2001-04-22,STD,0.785,315366,0.770,1790012,0.015,0.646,0.792
2001-113,2001-04-23,2001-04-30,STD,0.761,800640,0.774,1785207,-0.013,0.719,0.846
2001-121,2001-05-01,2001-05-08,STD,0.787,385366,0.777,1785384,0.010,0.733,0.842
2001-129,2001-05-09,2001-05-16,STD,0.759,172248,0.788,1778885,-0.029,0.729,0.811
2001-137,2001-05-17,2001-05-24,STD,0.792,336461,0.776,1717890,0.016,0.710,0.812
2001-145,2001-05-25,2001-06-01,STD,0.798,266056,0.787,1710567,0.011,0.731,0.818
2001-153,2001-06-02,2001-06-09,STD,0.794,210938,0.792,1701132,0.002,0.728,0.825
2001-161,2001-06-10,2001-06-17,STD,0.779,418444,0.772,1607262,0.007,0.725,0.817
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.783,1377196,#N/A,0.750,0.828
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.804,1443966,#N/A,0.754,0.851
2001-185,2001-07-04,2001-07-11,STD,0.827,54886,0.799,1323832,0.028,0.753,0.833
