GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:07:22 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28512
MAX SAMPLE COUNT,30163101

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.106,28820367,0.108,30142898,-0.002,0.105,0.110
2001-009,2001-01-09,2001-01-16,STD,0.106,29430371,0.108,30149463,-0.002,0.105,0.112
2001-017,2001-01-17,2001-01-24,STD,0.108,29334768,0.108,30136287,0.000,0.102,0.111
2001-025,2001-01-25,2001-02-01,STD,0.110,29672661,0.109,30147570,0.001,0.105,0.112
2001-033,2001-02-02,2001-02-09,STD,0.108,29483564,0.109,30152132,-0.001,0.105,0.112
2001-041,2001-02-10,2001-02-17,STD,0.108,29619079,0.110,30156232,-0.002,0.107,0.113
2001-049,2001-02-18,2001-02-25,STD,0.111,29821634,0.110,30157368,0.001,0.106,0.118
2001-057,2001-02-26,2001-03-05,STD,0.112,29801593,0.111,30162752,0.001,0.106,0.114
2001-065,2001-03-06,2001-03-13,STD,0.111,30015772,0.112,30162654,-0.001,0.108,0.116
2001-073,2001-03-14,2001-03-21,STD,0.112,30069911,0.112,30162603,0.000,0.109,0.115
2001-081,2001-03-22,2001-03-29,STD,0.113,30138030,0.111,30162744,0.002,0.105,0.115
2001-089,2001-03-30,2001-04-06,STD,0.111,30098794,0.111,30162726,0.000,0.107,0.114
2001-097,2001-04-07,2001-04-14,STD,0.111,30057158,0.111,30162780,0.000,0.105,0.115
2001-105,2001-04-15,2001-04-22,STD,0.106,30070918,0.111,30162629,-0.005,0.106,0.114
2001-113,2001-04-23,2001-04-30,STD,0.106,30118837,0.110,30162576,-0.004,0.106,0.113
2001-121,2001-05-01,2001-05-08,STD,0.107,30146614,0.109,30162405,-0.002,0.104,0.112
2001-129,2001-05-09,2001-05-16,STD,0.107,30141578,0.109,30162443,-0.002,0.105,0.111
2001-137,2001-05-17,2001-05-24,STD,0.107,30036092,0.108,30162344,-0.001,0.101,0.111
2001-145,2001-05-25,2001-06-01,STD,0.105,30089537,0.108,30162281,-0.003,0.105,0.110
2001-153,2001-06-02,2001-06-09,STD,0.107,30148258,0.108,30162518,-0.001,0.104,0.110
2001-161,2001-06-10,2001-06-17,STD,0.108,30147870,0.109,30162394,-0.001,0.106,0.111
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.109,30161929,#N/A,0.105,0.111
2001-177,2001-06-26,2001-07-03,STD,0.115,446585,0.109,30162450,0.006,0.106,0.115
2001-185,2001-07-04,2001-07-11,STD,0.108,30149818,0.109,30162180,-0.001,0.107,0.111
2001-193,2001-07-12,2001-07-19,STD,0.106,30149275,0.109,30162522,-0.003,0.106,0.112
