GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:16:27 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28625
MAX SAMPLE COUNT,10979267

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.585,7828784,0.537,10977952,0.048,0.453,0.605
2001-009,2001-01-09,2001-01-16,STD,0.590,5748414,0.546,10978021,0.044,0.498,0.592
2001-017,2001-01-17,2001-01-24,STD,0.590,3915302,0.563,10977548,0.027,0.513,0.611
2001-025,2001-01-25,2001-02-01,STD,0.619,4337502,0.576,10976624,0.043,0.509,0.647
2001-033,2001-02-02,2001-02-09,STD,0.616,7457342,0.591,10978596,0.025,0.514,0.626
2001-041,2001-02-10,2001-02-17,STD,0.619,9144383,0.601,10978997,0.018,0.534,0.660
2001-049,2001-02-18,2001-02-25,STD,0.624,8068424,0.615,10978587,0.009,0.540,0.674
2001-057,2001-02-26,2001-03-05,STD,0.634,9404042,0.619,10978960,0.015,0.578,0.660
2001-065,2001-03-06,2001-03-13,STD,0.630,7911503,0.621,10978978,0.009,0.561,0.660
2001-073,2001-03-14,2001-03-21,STD,0.630,9290991,0.622,10979009,0.008,0.564,0.646
2001-081,2001-03-22,2001-03-29,STD,0.622,8461959,0.620,10979031,0.002,0.580,0.650
2001-089,2001-03-30,2001-04-06,STD,0.619,9845117,0.614,10978874,0.005,0.576,0.637
2001-097,2001-04-07,2001-04-14,STD,0.634,10318415,0.613,10979135,0.021,0.574,0.647
2001-105,2001-04-15,2001-04-22,STD,0.603,9864260,0.602,10978977,0.001,0.558,0.638
2001-113,2001-04-23,2001-04-30,STD,0.600,10520099,0.591,10978874,0.009,0.547,0.626
2001-121,2001-05-01,2001-05-08,STD,0.587,10825115,0.579,10979112,0.008,0.528,0.612
2001-129,2001-05-09,2001-05-16,STD,0.537,8951317,0.566,10979110,-0.029,0.531,0.606
2001-137,2001-05-17,2001-05-24,STD,0.543,9344349,0.554,10979084,-0.011,0.513,0.592
2001-145,2001-05-25,2001-06-01,STD,0.536,10230620,0.545,10979105,-0.009,0.510,0.578
2001-153,2001-06-02,2001-06-09,STD,0.515,9711785,0.534,10979119,-0.019,0.482,0.562
2001-161,2001-06-10,2001-06-17,STD,0.503,9393843,0.520,10978853,-0.017,0.484,0.556
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.506,10975697,#N/A,0.472,0.542
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.505,10979011,#N/A,0.459,0.538
2001-185,2001-07-04,2001-07-11,STD,0.478,9864059,0.492,10979080,-0.014,0.441,0.524
2001-193,2001-07-12,2001-07-19,STD,0.464,10000280,0.478,10979028,-0.014,0.437,0.506
2001-201,2001-07-20,2001-07-27,STD,0.479,10775467,0.464,10978692,0.015,0.421,0.499
2001-209,2001-07-28,2001-08-04,STD,0.415,8249223,0.451,10979041,-0.036,0.415,0.479
2001-217,2001-08-05,2001-08-12,STD,0.423,9138722,0.442,10979035,-0.019,0.412,0.465
2001-225,2001-08-13,2001-08-20,STD,0.458,10770781,0.440,10979070,0.018,0.407,0.471
2001-233,2001-08-21,2001-08-28,STD,0.424,9718302,0.425,10979103,-0.001,0.381,0.463
2001-241,2001-08-29,2001-09-05,STD,0.406,9636358,0.417,10978948,-0.011,0.383,0.446
2001-249,2001-09-06,2001-09-13,STD,0.424,10551878,0.407,10978853,0.017,0.367,0.429
2001-257,2001-09-14,2001-09-21,STD,0.422,10599319,0.406,10979047,0.016,0.352,0.428
2001-265,2001-09-22,2001-09-29,STD,0.414,10687973,0.399,10979027,0.015,0.359,0.429
2001-273,2001-09-30,2001-10-07,STD,0.376,9345846,0.390,10978611,-0.014,0.354,0.418
2001-281,2001-10-08,2001-10-15,STD,0.380,9521781,0.386,10978841,-0.006,0.320,0.423
2001-289,2001-10-16,2001-10-23,STD,0.384,9591445,0.393,10978861,-0.009,0.371,0.418
2001-297,2001-10-24,2001-10-31,STD,0.379,8077936,0.391,10978722,-0.012,0.347,0.432
2001-305,2001-11-01,2001-11-08,STD,0.399,9451013,0.395,10978685,0.004,0.360,0.424
2001-313,2001-11-09,2001-11-16,STD,0.424,10152261,0.403,10978734,0.021,0.346,0.450
2001-321,2001-11-17,2001-11-24,STD,0.424,9040670,0.411,10978340,0.013,0.364,0.457
2001-329,2001-11-25,2001-12-02,STD,0.447,10184566,0.429,10978149,0.018,0.350,0.485
2001-337,2001-12-03,2001-12-10,STD,0.470,8499858,0.445,10977615,0.025,0.390,0.493
2001-345,2001-12-11,2001-12-18,STD,0.475,9926192,0.467,10977231,0.008,0.399,0.528
2001-353,2001-12-19,2001-12-26,STD,0.525,8496300,0.495,10977251,0.030,0.430,0.550
2001-361,2001-12-27,2002-01-03,STD,0.588,3766286,0.504,10977784,0.084,0.438,0.588
2002-001,2002-01-01,2002-01-08,STD,0.554,9252834,0.537,10977952,0.017,0.453,0.605
2002-009,2002-01-09,2002-01-16,STD,0.552,9246574,0.546,10978021,0.006,0.498,0.592
2002-017,2002-01-17,2002-01-24,STD,0.557,10003528,0.563,10977548,-0.006,0.513,0.611
2002-025,2002-01-25,2002-02-01,STD,0.557,7696533,0.576,10976624,-0.019,0.509,0.647
2002-033,2002-02-02,2002-02-09,STD,0.614,6902240,0.591,10978596,0.023,0.514,0.626
2002-041,2002-02-10,2002-02-17,STD,0.618,7016462,0.601,10978997,0.017,0.534,0.660
2002-049,2002-02-18,2002-02-25,STD,0.644,9206026,0.615,10978587,0.029,0.540,0.674
2002-057,2002-02-26,2002-03-05,STD,0.623,8506392,0.619,10978960,0.004,0.578,0.660
2002-065,2002-03-06,2002-03-13,STD,0.652,8679066,0.621,10978978,0.031,0.561,0.660
2002-073,2002-03-14,2002-03-21,STD,0.639,8065242,0.622,10979009,0.017,0.564,0.646
2002-081,2002-03-22,2002-03-29,STD,0.615,7262131,0.620,10979031,-0.005,0.580,0.650
2002-089,2002-03-30,2002-04-06,STD,0.613,8964072,0.614,10978874,-0.001,0.576,0.637
2002-097,2002-04-07,2002-04-14,STD,0.612,9621610,0.613,10979135,-0.001,0.574,0.647
2002-105,2002-04-15,2002-04-22,STD,0.610,9637056,0.602,10978977,0.008,0.558,0.638
2002-113,2002-04-23,2002-04-30,STD,0.590,10009563,0.591,10978874,-0.001,0.547,0.626
2002-121,2002-05-01,2002-05-08,STD,0.566,9621534,0.579,10979112,-0.013,0.528,0.612
2002-129,2002-05-09,2002-05-16,STD,0.556,7322605,0.566,10979110,-0.010,0.531,0.606
2002-137,2002-05-17,2002-05-24,STD,0.554,9504963,0.554,10979084,0.000,0.513,0.592
2002-145,2002-05-25,2002-06-01,STD,0.562,10723158,0.545,10979105,0.017,0.510,0.578
2002-153,2002-06-02,2002-06-09,STD,0.550,10253651,0.534,10979119,0.016,0.482,0.562
2002-161,2002-06-10,2002-06-17,STD,0.528,9418171,0.520,10978853,0.008,0.484,0.556
2002-169,2002-06-18,2002-06-25,STD,0.514,9759851,0.506,10975697,0.008,0.472,0.542
2002-177,2002-06-26,2002-07-03,STD,0.513,10057133,0.505,10979011,0.008,0.459,0.538
2002-185,2002-07-04,2002-07-11,STD,0.524,10805233,0.492,10979080,0.032,0.441,0.524
2002-193,2002-07-12,2002-07-19,STD,0.506,10737743,0.478,10979028,0.028,0.437,0.506
