GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:03:01 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28490
MAX SAMPLE COUNT,23313384

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.162,22868545,0.165,23313384,-0.003,0.147,0.179
2001-009,2001-01-09,2001-01-16,STD,0.159,23290311,0.162,23313372,-0.003,0.141,0.174
2001-017,2001-01-17,2001-01-24,STD,0.157,22717273,0.159,23313368,-0.002,0.145,0.174
2001-025,2001-01-25,2001-02-01,STD,0.159,22083053,0.159,23313384,0.000,0.149,0.175
2001-033,2001-02-02,2001-02-09,STD,0.156,21535097,0.157,23313364,-0.001,0.148,0.167
2001-041,2001-02-10,2001-02-17,STD,0.150,21247029,0.154,23313384,-0.004,0.137,0.166
2001-049,2001-02-18,2001-02-25,STD,0.153,23298002,0.153,23313384,0.000,0.142,0.173
2001-057,2001-02-26,2001-03-05,STD,0.154,22905109,0.151,23313384,0.003,0.138,0.161
2001-065,2001-03-06,2001-03-13,STD,0.151,23141324,0.150,23313384,0.001,0.135,0.160
2001-073,2001-03-14,2001-03-21,STD,0.150,23203965,0.149,23313384,0.001,0.140,0.158
2001-081,2001-03-22,2001-03-29,STD,0.152,23133947,0.150,23313384,0.002,0.135,0.161
2001-089,2001-03-30,2001-04-06,STD,0.151,23239304,0.149,23313384,0.002,0.135,0.160
2001-097,2001-04-07,2001-04-14,STD,0.153,23056068,0.151,23313384,0.002,0.134,0.162
2001-105,2001-04-15,2001-04-22,STD,0.145,22461266,0.149,23313384,-0.004,0.126,0.162
2001-113,2001-04-23,2001-04-30,STD,0.150,23303974,0.152,23313384,-0.002,0.144,0.163
2001-121,2001-05-01,2001-05-08,STD,0.151,22780177,0.152,23313384,-0.001,0.132,0.162
2001-129,2001-05-09,2001-05-16,STD,0.146,22493525,0.152,23313384,-0.006,0.140,0.161
2001-137,2001-05-17,2001-05-24,STD,0.152,22622481,0.152,23313384,0.000,0.140,0.164
2001-145,2001-05-25,2001-06-01,STD,0.160,23150652,0.153,23313384,0.007,0.129,0.169
2001-153,2001-06-02,2001-06-09,STD,0.152,22687944,0.156,23313053,-0.004,0.128,0.170
2001-161,2001-06-10,2001-06-17,STD,0.160,23014633,0.157,23313380,0.003,0.142,0.177
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.160,23313000,#N/A,0.129,0.176
2001-177,2001-06-26,2001-07-03,STD,0.134,6741070,0.165,23312121,-0.031,0.134,0.187
2001-185,2001-07-04,2001-07-11,STD,0.191,21629094,0.174,23309398,0.017,0.130,0.193
2001-193,2001-07-12,2001-07-19,STD,0.174,20148993,0.178,23308339,-0.004,0.130,0.205
2001-201,2001-07-20,2001-07-27,STD,0.187,19545956,0.183,23311430,0.004,0.129,0.231
2001-209,2001-07-28,2001-08-04,STD,0.183,19318630,0.181,23306019,0.002,0.142,0.214
2001-217,2001-08-05,2001-08-12,STD,0.213,20483223,0.187,23311410,0.026,0.120,0.222
2001-225,2001-08-13,2001-08-20,STD,0.228,19597177,0.200,23290953,0.028,0.134,0.228
2001-233,2001-08-21,2001-08-28,STD,0.241,20445355,0.220,23304838,0.021,0.161,0.253
2001-241,2001-08-29,2001-09-05,STD,0.237,20285915,0.232,23313237,0.005,0.151,0.266
2001-249,2001-09-06,2001-09-13,STD,0.265,22145068,0.254,23313384,0.011,0.213,0.277
2001-257,2001-09-14,2001-09-21,STD,0.258,22458962,0.256,23313384,0.002,0.220,0.288
2001-265,2001-09-22,2001-09-29,STD,0.244,22531840,0.258,23313384,-0.014,0.198,0.292
2001-273,2001-09-30,2001-10-07,STD,0.235,23280480,0.248,23313384,-0.013,0.220,0.279
2001-281,2001-10-08,2001-10-15,STD,0.229,23159450,0.237,23313384,-0.008,0.218,0.270
2001-289,2001-10-16,2001-10-23,STD,0.217,23303844,0.229,23313384,-0.012,0.211,0.260
2001-297,2001-10-24,2001-10-31,STD,0.199,23202191,0.220,23313384,-0.021,0.199,0.242
2001-305,2001-11-01,2001-11-08,STD,0.194,23308921,0.210,23313384,-0.016,0.194,0.229
2001-313,2001-11-09,2001-11-16,STD,0.188,23266627,0.201,23313380,-0.013,0.185,0.219
2001-321,2001-11-17,2001-11-24,STD,0.181,23280182,0.192,23313376,-0.011,0.173,0.209
2001-329,2001-11-25,2001-12-02,STD,0.176,21965821,0.186,23313384,-0.010,0.170,0.201
2001-337,2001-12-03,2001-12-10,STD,0.172,23190814,0.181,23313384,-0.009,0.164,0.196
2001-345,2001-12-11,2001-12-18,STD,0.174,23067721,0.176,23313384,-0.002,0.162,0.192
2001-353,2001-12-19,2001-12-26,STD,0.169,23298258,0.172,23313380,-0.003,0.153,0.196
2001-361,2001-12-27,2002-01-03,STD,0.164,23298890,0.167,23313368,-0.003,0.156,0.182
2002-001,2002-01-01,2002-01-08,STD,0.160,23147422,0.165,23313384,-0.005,0.147,0.179
2002-009,2002-01-09,2002-01-16,STD,0.156,23208294,0.162,23313372,-0.006,0.141,0.174
