GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:03:22 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28491
MAX SAMPLE COUNT,19448399

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.109,19424730,0.110,19448385,-0.001,0.104,0.116
2001-009,2001-01-09,2001-01-16,STD,0.109,19424531,0.110,19448377,-0.001,0.102,0.117
2001-017,2001-01-17,2001-01-24,STD,0.108,18864802,0.109,19448341,-0.001,0.103,0.117
2001-025,2001-01-25,2001-02-01,STD,0.110,18348349,0.110,19448301,0.000,0.106,0.118
2001-033,2001-02-02,2001-02-09,STD,0.113,14611411,0.111,19448373,0.002,0.107,0.117
2001-041,2001-02-10,2001-02-17,STD,0.107,15813755,0.110,19448363,-0.003,0.102,0.116
2001-049,2001-02-18,2001-02-25,STD,0.111,19348343,0.110,19448377,0.001,0.106,0.128
2001-057,2001-02-26,2001-03-05,STD,0.111,19292771,0.110,19448365,0.001,0.096,0.116
2001-065,2001-03-06,2001-03-13,STD,0.110,19433912,0.110,19448382,0.000,0.106,0.116
2001-073,2001-03-14,2001-03-21,STD,0.110,19437312,0.110,19448364,0.000,0.098,0.115
2001-081,2001-03-22,2001-03-29,STD,0.111,19266538,0.109,19448254,0.002,0.091,0.116
2001-089,2001-03-30,2001-04-06,STD,0.108,19422628,0.110,19448362,-0.002,0.106,0.113
2001-097,2001-04-07,2001-04-14,STD,0.109,19370691,0.109,19448373,0.000,0.106,0.115
2001-105,2001-04-15,2001-04-22,STD,0.109,19410732,0.109,19448338,0.000,0.104,0.114
2001-113,2001-04-23,2001-04-30,STD,0.107,19433950,0.109,19448396,-0.002,0.102,0.113
2001-121,2001-05-01,2001-05-08,STD,0.106,19409149,0.108,19448393,-0.002,0.103,0.111
2001-129,2001-05-09,2001-05-16,STD,0.106,19426784,0.108,19448392,-0.002,0.105,0.111
2001-137,2001-05-17,2001-05-24,STD,0.107,19439566,0.107,19448393,0.000,0.103,0.111
2001-145,2001-05-25,2001-06-01,STD,0.106,19440414,0.106,19448397,0.000,0.101,0.112
2001-153,2001-06-02,2001-06-09,STD,0.105,19401078,0.106,19448385,-0.001,0.100,0.111
2001-161,2001-06-10,2001-06-17,STD,0.104,19413632,0.106,19448398,-0.002,0.097,0.111
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.106,19448350,#N/A,0.101,0.110
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.107,19448328,#N/A,0.102,0.110
2001-185,2001-07-04,2001-07-11,STD,0.107,19373177,0.107,19448234,0.000,0.100,0.113
2001-193,2001-07-12,2001-07-19,STD,0.106,19271643,0.108,19446693,-0.002,0.101,0.116
2001-201,2001-07-20,2001-07-27,STD,0.108,19215265,0.110,19447976,-0.002,0.099,0.119
2001-209,2001-07-28,2001-08-04,STD,0.109,18617030,0.109,19409182,0.000,0.096,0.121
2001-217,2001-08-05,2001-08-12,STD,0.119,18955752,0.112,19445955,0.007,0.098,0.131
2001-225,2001-08-13,2001-08-20,STD,0.127,18784724,0.117,19435011,0.010,0.077,0.133
2001-233,2001-08-21,2001-08-28,STD,0.125,18626073,0.123,19438503,0.002,0.097,0.138
2001-241,2001-08-29,2001-09-05,STD,0.126,18749731,0.127,19445863,-0.001,0.113,0.151
2001-249,2001-09-06,2001-09-13,STD,0.125,18806863,0.133,19448113,-0.008,0.111,0.153
2001-257,2001-09-14,2001-09-21,STD,0.129,19296485,0.131,19448347,-0.002,0.106,0.157
2001-265,2001-09-22,2001-09-29,STD,0.126,19183733,0.130,19448391,-0.004,0.115,0.149
2001-273,2001-09-30,2001-10-07,STD,0.121,19422010,0.126,19448399,-0.005,0.114,0.140
2001-281,2001-10-08,2001-10-15,STD,0.116,19328939,0.121,19448302,-0.005,0.109,0.134
2001-289,2001-10-16,2001-10-23,STD,0.116,19442124,0.119,19448283,-0.003,0.111,0.131
2001-297,2001-10-24,2001-10-31,STD,0.113,19435822,0.117,19447955,-0.004,0.107,0.131
2001-305,2001-11-01,2001-11-08,STD,0.113,19375688,0.116,19448011,-0.003,0.110,0.128
2001-313,2001-11-09,2001-11-16,STD,0.113,19436652,0.114,19448287,-0.001,0.108,0.126
2001-321,2001-11-17,2001-11-24,STD,0.112,19346917,0.114,19448378,-0.002,0.108,0.122
2001-329,2001-11-25,2001-12-02,STD,0.111,18210707,0.113,19448167,-0.002,0.106,0.122
2001-337,2001-12-03,2001-12-10,STD,0.111,18708498,0.112,19448356,-0.001,0.105,0.121
2001-345,2001-12-11,2001-12-18,STD,0.109,19419812,0.111,19448250,-0.002,0.105,0.118
2001-353,2001-12-19,2001-12-26,STD,0.113,19433008,0.111,19448377,0.002,0.105,0.121
2001-361,2001-12-27,2002-01-03,STD,0.109,19418449,0.110,19448382,-0.001,0.105,0.117
