GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:09:11 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28519
MAX SAMPLE COUNT,22111996

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.115,21994374,0.120,22111856,-0.005,0.114,0.129
2001-009,2001-01-09,2001-01-16,STD,0.117,21937699,0.120,22110904,-0.003,0.112,0.128
2001-017,2001-01-17,2001-01-24,STD,0.116,21097507,0.120,22111720,-0.004,0.114,0.128
2001-025,2001-01-25,2001-02-01,STD,0.117,22036956,0.119,22110932,-0.002,0.112,0.129
2001-033,2001-02-02,2001-02-09,STD,0.115,20736682,0.118,22111080,-0.003,0.112,0.129
2001-041,2001-02-10,2001-02-17,STD,0.115,21948348,0.118,22110700,-0.003,0.111,0.126
2001-049,2001-02-18,2001-02-25,STD,0.117,21955658,0.118,22110892,-0.001,0.114,0.138
2001-057,2001-02-26,2001-03-05,STD,0.118,22001757,0.116,22110540,0.002,0.112,0.123
2001-065,2001-03-06,2001-03-13,STD,0.115,21274147,0.117,22110556,-0.002,0.106,0.124
2001-073,2001-03-14,2001-03-21,STD,0.116,22071739,0.115,22110232,0.001,0.108,0.118
2001-081,2001-03-22,2001-03-29,STD,0.116,21970032,0.115,22111996,0.001,0.111,0.120
2001-089,2001-03-30,2001-04-06,STD,0.115,21914529,0.115,22110232,0.000,0.107,0.121
2001-097,2001-04-07,2001-04-14,STD,0.115,21946568,0.114,22110324,0.001,0.109,0.121
2001-105,2001-04-15,2001-04-22,STD,0.113,21915475,0.115,22110888,-0.002,0.110,0.120
2001-113,2001-04-23,2001-04-30,STD,0.110,22044245,0.113,22110676,-0.003,0.104,0.118
2001-121,2001-05-01,2001-05-08,STD,0.110,21555557,0.113,22110524,-0.003,0.106,0.120
2001-129,2001-05-09,2001-05-16,STD,0.106,21424764,0.112,22110404,-0.006,0.102,0.120
2001-137,2001-05-17,2001-05-24,STD,0.112,22092522,0.113,22110260,-0.001,0.105,0.120
2001-145,2001-05-25,2001-06-01,STD,0.111,22062420,0.112,22111936,-0.001,0.102,0.121
2001-153,2001-06-02,2001-06-09,STD,0.113,22095208,0.111,22110272,0.002,0.106,0.118
2001-161,2001-06-10,2001-06-17,STD,0.113,21954838,0.112,22110536,0.001,0.105,0.118
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.114,22111003,#N/A,0.106,0.119
2001-177,2001-06-26,2001-07-03,STD,0.116,2812763,0.116,22111219,0.000,0.108,0.124
2001-185,2001-07-04,2001-07-11,STD,0.119,21863916,0.118,22111052,0.001,0.113,0.125
2001-193,2001-07-12,2001-07-19,STD,0.118,21375503,0.121,22083174,-0.003,0.112,0.134
2001-201,2001-07-20,2001-07-27,STD,0.118,20129610,0.125,22084080,-0.007,0.114,0.140
2001-209,2001-07-28,2001-08-04,STD,0.117,18282720,0.124,21883719,-0.007,0.113,0.137
2001-217,2001-08-05,2001-08-12,STD,0.131,19956523,0.131,22015982,0.000,0.115,0.145
2001-225,2001-08-13,2001-08-20,STD,0.131,18593132,0.136,22062547,-0.005,0.107,0.154
2001-233,2001-08-21,2001-08-28,STD,0.145,19980711,0.144,22081022,0.001,0.115,0.176
2001-241,2001-08-29,2001-09-05,STD,0.141,18937464,0.149,22101202,-0.008,0.127,0.170
2001-249,2001-09-06,2001-09-13,STD,0.154,21092121,0.154,22111400,0.000,0.137,0.177
2001-257,2001-09-14,2001-09-21,STD,0.148,21123031,0.152,22111692,-0.004,0.134,0.175
2001-265,2001-09-22,2001-09-29,STD,0.146,21665894,0.150,22111496,-0.004,0.138,0.171
2001-273,2001-09-30,2001-10-07,STD,0.141,21964703,0.143,22111996,-0.002,0.120,0.166
2001-281,2001-10-08,2001-10-15,STD,0.136,22088433,0.139,22111156,-0.003,0.131,0.161
