GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:12:05 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28607
MAX SAMPLE COUNT,445725

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.676,192286,0.653,445583,0.023,0.562,0.719
2001-009,2001-01-09,2001-01-16,STD,0.671,345847,0.636,445459,0.035,0.518,0.717
2001-017,2001-01-17,2001-01-24,STD,0.663,105712,0.625,445608,0.038,0.560,0.702
2001-025,2001-01-25,2001-02-01,STD,0.651,404102,0.611,445713,0.040,0.527,0.674
2001-033,2001-02-02,2001-02-09,STD,0.596,257188,0.601,445725,-0.005,0.520,0.708
2001-041,2001-02-10,2001-02-17,STD,0.681,376825,0.587,445725,0.094,0.485,0.681
2001-049,2001-02-18,2001-02-25,STD,0.690,101976,0.600,445725,0.090,0.496,0.690
2001-057,2001-02-26,2001-03-05,STD,0.652,334273,0.599,445552,0.053,0.539,0.700
2001-065,2001-03-06,2001-03-13,STD,0.689,224664,0.603,445704,0.086,0.551,0.698
2001-073,2001-03-14,2001-03-21,STD,0.665,340525,0.605,445668,0.060,0.529,0.706
2001-081,2001-03-22,2001-03-29,STD,0.658,252298,0.644,445560,0.014,0.590,0.703
2001-089,2001-03-30,2001-04-06,STD,0.686,107227,0.656,444594,0.030,0.600,0.717
2001-097,2001-04-07,2001-04-14,STD,0.742,158180,0.667,435671,0.075,0.623,0.742
2001-105,2001-04-15,2001-04-22,STD,0.710,82071,0.703,438044,0.007,0.656,0.753
2001-113,2001-04-23,2001-04-30,STD,0.733,165628,0.707,440266,0.026,0.675,0.738
2001-121,2001-05-01,2001-05-08,STD,0.724,214784,0.714,433677,0.010,0.659,0.757
2001-129,2001-05-09,2001-05-16,STD,0.711,162293,0.718,433604,-0.007,0.659,0.746
2001-137,2001-05-17,2001-05-24,STD,0.720,165597,0.705,444471,0.015,0.618,0.749
2001-145,2001-05-25,2001-06-01,STD,0.714,195449,0.682,445167,0.032,0.623,0.725
2001-153,2001-06-02,2001-06-09,STD,0.684,291381,0.668,445725,0.016,0.622,0.706
2001-161,2001-06-10,2001-06-17,STD,0.678,320090,0.645,445725,0.033,0.585,0.679
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.622,445725,#N/A,0.538,0.685
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.598,445725,#N/A,0.526,0.659
2001-185,2001-07-04,2001-07-11,STD,0.588,417662,0.575,445725,0.013,0.506,0.638
2001-193,2001-07-12,2001-07-19,STD,0.559,386812,0.550,445725,0.009,0.478,0.608
2001-201,2001-07-20,2001-07-27,STD,0.571,308320,0.532,445721,0.039,0.452,0.586
2001-209,2001-07-28,2001-08-04,STD,0.586,359916,0.523,445723,0.063,0.461,0.586
2001-217,2001-08-05,2001-08-12,STD,0.559,412721,0.502,445725,0.057,0.423,0.565
2001-225,2001-08-13,2001-08-20,STD,0.605,266743,0.498,445723,0.107,0.432,0.605
2001-233,2001-08-21,2001-08-28,STD,0.580,399419,0.493,445725,0.087,0.438,0.580
2001-241,2001-08-29,2001-09-05,STD,0.562,375496,0.486,445725,0.076,0.398,0.562
2001-249,2001-09-06,2001-09-13,STD,0.589,386811,0.493,445657,0.096,0.400,0.589
2001-257,2001-09-14,2001-09-21,STD,0.585,273902,0.501,445550,0.084,0.378,0.585
2001-265,2001-09-22,2001-09-29,STD,0.588,394384,0.503,445705,0.085,0.402,0.588
2001-273,2001-09-30,2001-10-07,STD,0.582,395922,0.513,445490,0.069,0.411,0.612
2001-281,2001-10-08,2001-10-15,STD,0.638,185969,0.525,445682,0.113,0.403,0.638
2001-289,2001-10-16,2001-10-23,STD,0.614,349086,0.562,444763,0.052,0.430,0.646
2001-297,2001-10-24,2001-10-31,STD,0.663,38507,0.593,442821,0.070,0.498,0.693
2001-305,2001-11-01,2001-11-08,STD,0.710,168035,0.627,442174,0.083,0.509,0.710
2001-313,2001-11-09,2001-11-16,STD,0.749,146436,0.643,439514,0.106,0.601,0.749
2001-321,2001-11-17,2001-11-24,STD,0.712,256606,0.664,444491,0.048,0.624,0.712
2001-329,2001-11-25,2001-12-02,STD,0.715,321963,0.673,443648,0.042,0.620,0.737
2001-337,2001-12-03,2001-12-10,STD,0.711,98736,0.679,441472,0.032,0.641,0.727
2001-345,2001-12-11,2001-12-18,STD,0.721,391877,0.680,445392,0.041,0.631,0.724
2001-353,2001-12-19,2001-12-26,STD,0.719,274845,0.658,444861,0.061,0.588,0.721
2001-361,2001-12-27,2002-01-03,STD,0.703,206907,0.655,445476,0.048,0.559,0.714
2002-001,2002-01-01,2002-01-08,STD,0.711,199852,0.653,445583,0.058,0.562,0.719
2002-009,2002-01-09,2002-01-16,STD,0.705,256293,0.636,445459,0.069,0.518,0.717
2002-017,2002-01-17,2002-01-24,STD,0.684,111661,0.625,445608,0.059,0.560,0.702
2002-025,2002-01-25,2002-02-01,STD,0.674,409073,0.611,445713,0.063,0.527,0.674
2002-033,2002-02-02,2002-02-09,STD,0.647,397240,0.601,445725,0.046,0.520,0.708
2002-041,2002-02-10,2002-02-17,STD,0.582,214140,0.587,445725,-0.005,0.485,0.681
2002-049,2002-02-18,2002-02-25,STD,0.651,367554,0.600,445725,0.051,0.496,0.690
2002-057,2002-02-26,2002-03-05,STD,0.643,270359,0.599,445552,0.044,0.539,0.700
2002-065,2002-03-06,2002-03-13,STD,0.698,267792,0.603,445704,0.095,0.551,0.698
2002-073,2002-03-14,2002-03-21,STD,0.706,72835,0.605,445668,0.101,0.529,0.706
2002-081,2002-03-22,2002-03-29,STD,#N/A,#N/A,0.644,445560,#N/A,0.590,0.703
2002-089,2002-03-30,2002-04-06,STD,0.717,166912,0.656,444594,0.061,0.600,0.717
2002-097,2002-04-07,2002-04-14,STD,0.719,188869,0.667,435671,0.052,0.623,0.742
2002-105,2002-04-15,2002-04-22,STD,0.734,27718,0.703,438044,0.031,0.656,0.753
2002-113,2002-04-23,2002-04-30,STD,0.730,76583,0.707,440266,0.023,0.675,0.738
2002-121,2002-05-01,2002-05-08,STD,0.757,125085,0.714,433677,0.043,0.659,0.757
2002-129,2002-05-09,2002-05-16,STD,0.746,243780,0.718,433604,0.028,0.659,0.746
2002-137,2002-05-17,2002-05-24,STD,0.749,377865,0.705,444471,0.044,0.618,0.749
2002-145,2002-05-25,2002-06-01,STD,0.714,252358,0.682,445167,0.032,0.623,0.725
2002-153,2002-06-02,2002-06-09,STD,0.703,409959,0.668,445725,0.035,0.622,0.706
2002-161,2002-06-10,2002-06-17,STD,0.663,376044,0.645,445725,0.018,0.585,0.679
2002-169,2002-06-18,2002-06-25,STD,0.621,363587,0.622,445725,-0.001,0.538,0.685
2002-177,2002-06-26,2002-07-03,STD,0.600,341099,0.598,445725,0.002,0.526,0.659
2002-185,2002-07-04,2002-07-11,STD,0.574,442786,0.575,445725,-0.001,0.506,0.638
2002-193,2002-07-12,2002-07-19,STD,0.550,342516,0.550,445725,0.000,0.478,0.608
2002-201,2002-07-20,2002-07-27,STD,0.535,438035,0.532,445721,0.003,0.452,0.586
2002-209,2002-07-28,2002-08-04,STD,0.568,427111,0.523,445723,0.045,0.461,0.586
2002-217,2002-08-05,2002-08-12,STD,0.522,431048,0.502,445725,0.020,0.423,0.565
2002-225,2002-08-13,2002-08-20,STD,0.476,439724,0.498,445723,-0.022,0.432,0.605
2002-233,2002-08-21,2002-08-28,STD,0.478,425455,0.493,445725,-0.015,0.438,0.580
2002-241,2002-08-29,2002-09-05,STD,0.445,194706,0.486,445725,-0.041,0.398,0.562
2002-249,2002-09-06,2002-09-13,STD,0.451,343998,0.493,445657,-0.042,0.400,0.589
