GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:03:44 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28492
MAX SAMPLE COUNT,3643740

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.301,3639515,0.288,3643725,0.013,0.238,0.331
2001-009,2001-01-09,2001-01-16,STD,0.282,3634743,0.277,3643722,0.005,0.220,0.316
2001-017,2001-01-17,2001-01-24,STD,0.269,3639695,0.267,3643663,0.002,0.232,0.304
2001-025,2001-01-25,2001-02-01,STD,0.259,3633874,0.264,3643677,-0.005,0.229,0.294
2001-033,2001-02-02,2001-02-09,STD,0.246,3639760,0.252,3643695,-0.006,0.227,0.273
2001-041,2001-02-10,2001-02-17,STD,0.229,3631974,0.245,3643706,-0.016,0.217,0.270
2001-049,2001-02-18,2001-02-25,STD,0.241,3608907,0.240,3643681,0.001,0.217,0.262
2001-057,2001-02-26,2001-03-05,STD,0.236,3640833,0.234,3643719,0.002,0.204,0.256
2001-065,2001-03-06,2001-03-13,STD,0.234,3642027,0.226,3643708,0.008,0.192,0.254
2001-073,2001-03-14,2001-03-21,STD,0.236,3640942,0.228,3643708,0.008,0.198,0.252
2001-081,2001-03-22,2001-03-29,STD,0.236,3639132,0.225,3643671,0.011,0.193,0.248
2001-089,2001-03-30,2001-04-06,STD,0.221,3634962,0.226,3643660,-0.005,0.194,0.252
2001-097,2001-04-07,2001-04-14,STD,0.223,3640649,0.228,3643679,-0.005,0.199,0.249
2001-105,2001-04-15,2001-04-22,STD,0.227,3614358,0.228,3643665,-0.001,0.196,0.252
2001-113,2001-04-23,2001-04-30,STD,0.224,3642160,0.227,3643656,-0.003,0.168,0.252
2001-121,2001-05-01,2001-05-08,STD,0.226,3634654,0.227,3643717,-0.001,0.184,0.253
2001-129,2001-05-09,2001-05-16,STD,0.228,3637985,0.228,3643687,0.000,0.196,0.250
2001-137,2001-05-17,2001-05-24,STD,0.232,3638011,0.229,3643668,0.003,0.193,0.256
2001-145,2001-05-25,2001-06-01,STD,0.234,3608374,0.229,3643645,0.005,0.174,0.262
2001-153,2001-06-02,2001-06-09,STD,0.238,3619704,0.239,3643634,-0.001,0.196,0.276
2001-161,2001-06-10,2001-06-17,STD,0.247,3489449,0.244,3643622,0.003,0.179,0.294
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.254,3639979,#N/A,0.181,0.323
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.275,3574397,#N/A,0.200,0.370
2001-185,2001-07-04,2001-07-11,STD,0.377,3296611,0.316,3637088,0.061,0.182,0.383
2001-193,2001-07-12,2001-07-19,STD,0.337,1665924,0.347,3580012,-0.010,0.266,0.505
2001-201,2001-07-20,2001-07-27,STD,0.449,2589308,0.380,3538566,0.069,0.249,0.477
2001-209,2001-07-28,2001-08-04,STD,0.489,1900942,0.416,3625399,0.073,0.281,0.505
2001-217,2001-08-05,2001-08-12,STD,0.469,1841723,0.448,3634118,0.021,0.205,0.524
2001-225,2001-08-13,2001-08-20,STD,0.554,1678696,0.514,3606392,0.040,0.364,0.726
2001-233,2001-08-21,2001-08-28,STD,0.486,1388898,0.563,3635332,-0.077,0.473,0.647
2001-241,2001-08-29,2001-09-05,STD,0.591,1845050,0.597,3642553,-0.006,0.521,0.660
2001-249,2001-09-06,2001-09-13,STD,0.611,2829781,0.613,3643495,-0.002,0.559,0.708
2001-257,2001-09-14,2001-09-21,STD,0.569,2058347,0.590,3643696,-0.021,0.495,0.658
2001-265,2001-09-22,2001-09-29,STD,0.584,3243610,0.592,3643681,-0.008,0.528,0.643
2001-273,2001-09-30,2001-10-07,STD,0.562,3539930,0.556,3643681,0.006,0.465,0.604
2001-281,2001-10-08,2001-10-15,STD,0.530,3259638,0.532,3643677,-0.002,0.428,0.583
2001-289,2001-10-16,2001-10-23,STD,0.490,3639215,0.493,3643716,-0.003,0.439,0.550
2001-297,2001-10-24,2001-10-31,STD,0.450,3613949,0.470,3643702,-0.020,0.412,0.522
2001-305,2001-11-01,2001-11-08,STD,0.403,3638553,0.433,3643694,-0.030,0.384,0.482
2001-313,2001-11-09,2001-11-16,STD,0.373,3637249,0.401,3643696,-0.028,0.346,0.450
2001-321,2001-11-17,2001-11-24,STD,0.355,3616778,0.379,3643720,-0.024,0.326,0.418
2001-329,2001-11-25,2001-12-02,STD,0.327,3372513,0.359,3643692,-0.032,0.326,0.407
2001-337,2001-12-03,2001-12-10,STD,0.322,3609468,0.340,3643730,-0.018,0.296,0.384
