GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:14:38 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28616
MAX SAMPLE COUNT,22688956

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.360,22484666,0.356,22688109,0.004,0.285,0.428
2001-009,2001-01-09,2001-01-16,STD,0.353,22584562,0.365,22688218,-0.012,0.281,0.424
2001-017,2001-01-17,2001-01-24,STD,0.358,22362413,0.368,22688289,-0.010,0.316,0.448
2001-025,2001-01-25,2001-02-01,STD,0.347,21617079,0.378,22688220,-0.031,0.328,0.442
2001-033,2001-02-02,2001-02-09,STD,0.350,22515111,0.389,22688379,-0.039,0.333,0.467
2001-041,2001-02-10,2001-02-17,STD,0.353,21276894,0.399,22688278,-0.046,0.346,0.462
2001-049,2001-02-18,2001-02-25,STD,0.338,19057458,0.401,22688188,-0.063,0.277,0.461
2001-057,2001-02-26,2001-03-05,STD,0.367,21289682,0.406,22688417,-0.039,0.348,0.467
2001-065,2001-03-06,2001-03-13,STD,0.374,22362530,0.404,22688529,-0.030,0.347,0.453
2001-073,2001-03-14,2001-03-21,STD,0.374,22449369,0.400,22688322,-0.026,0.342,0.445
2001-081,2001-03-22,2001-03-29,STD,0.381,21164424,0.402,22688358,-0.021,0.334,0.460
2001-089,2001-03-30,2001-04-06,STD,0.401,21684368,0.399,22688606,0.002,0.346,0.458
2001-097,2001-04-07,2001-04-14,STD,0.415,22026910,0.398,22688390,0.017,0.356,0.445
2001-105,2001-04-15,2001-04-22,STD,0.422,22236831,0.391,22688361,0.031,0.354,0.435
2001-113,2001-04-23,2001-04-30,STD,0.423,22043996,0.384,22688424,0.039,0.350,0.439
2001-121,2001-05-01,2001-05-08,STD,0.417,22481559,0.374,22688294,0.043,0.337,0.417
2001-129,2001-05-09,2001-05-16,STD,0.397,22637915,0.361,22687752,0.036,0.321,0.397
2001-137,2001-05-17,2001-05-24,STD,0.381,22393386,0.351,22688152,0.030,0.309,0.389
2001-145,2001-05-25,2001-06-01,STD,0.372,22360776,0.340,22687714,0.032,0.304,0.375
2001-153,2001-06-02,2001-06-09,STD,0.358,22482219,0.329,22688111,0.029,0.304,0.358
2001-161,2001-06-10,2001-06-17,STD,0.350,22414033,0.321,22686393,0.029,0.298,0.350
