GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:17:33 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),38806
MAX SAMPLE COUNT,11799633

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.331,11799536,0.365,11799633,-0.034,0.320,0.446
2001-009,2001-01-09,2001-01-16,STD,0.315,11772112,0.346,11799633,-0.031,0.299,0.430
2001-017,2001-01-17,2001-01-24,STD,0.302,11774219,0.334,11799633,-0.032,0.299,0.399
2001-025,2001-01-25,2001-02-01,STD,0.300,11799302,0.324,11799633,-0.024,0.285,0.394
2001-033,2001-02-02,2001-02-09,STD,0.290,11799617,0.317,11799633,-0.027,0.267,0.389
2001-041,2001-02-10,2001-02-17,STD,0.296,11745481,0.313,11799633,-0.017,0.280,0.370
2001-049,2001-02-18,2001-02-25,STD,0.297,11404787,0.312,11799633,-0.015,0.270,0.371
2001-057,2001-02-26,2001-03-05,STD,0.300,11778244,0.311,11799633,-0.011,0.267,0.364
2001-065,2001-03-06,2001-03-13,STD,0.315,10825889,0.318,11799633,-0.003,0.236,0.364
2001-073,2001-03-14,2001-03-21,STD,0.311,10909410,0.323,11799633,-0.012,0.273,0.373
2001-081,2001-03-22,2001-03-29,STD,0.332,10767413,0.326,11799633,0.006,0.262,0.390
2001-089,2001-03-30,2001-04-06,STD,0.352,10045069,0.345,11799633,0.007,0.296,0.402
2001-097,2001-04-07,2001-04-14,STD,0.363,10712785,0.360,11799633,0.003,0.285,0.415
2001-105,2001-04-15,2001-04-22,STD,0.382,11030558,0.374,11799633,0.008,0.306,0.453
2001-113,2001-04-23,2001-04-30,STD,0.398,10743294,0.398,11799633,0.000,0.336,0.478
2001-121,2001-05-01,2001-05-08,STD,0.394,11578291,0.428,11799633,-0.034,0.361,0.538
2001-129,2001-05-09,2001-05-16,STD,0.421,10501372,0.468,11799633,-0.047,0.397,0.608
2001-137,2001-05-17,2001-05-24,STD,0.465,9872269,0.501,11799633,-0.036,0.386,0.612
2001-145,2001-05-25,2001-06-01,STD,0.490,10612334,0.543,11799633,-0.053,0.473,0.630
2001-153,2001-06-02,2001-06-09,STD,0.537,10405989,0.568,11799633,-0.031,0.484,0.653
2001-161,2001-06-10,2001-06-17,STD,0.594,8735977,0.589,11799633,0.005,0.503,0.650
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.620,11799633,#N/A,0.550,0.690
2001-177,2001-06-26,2001-07-03,STD,0.769,746159,0.651,11799621,0.118,0.562,0.769
2001-185,2001-07-04,2001-07-11,STD,0.646,10285645,0.671,11799622,-0.025,0.590,0.738
2001-193,2001-07-12,2001-07-19,STD,0.657,9543295,0.683,11799633,-0.026,0.612,0.772
2001-201,2001-07-20,2001-07-27,STD,0.678,7826361,0.701,11799472,-0.023,0.638,0.763
2001-209,2001-07-28,2001-08-04,STD,0.716,4728756,0.714,11799633,0.002,0.652,0.764
2001-217,2001-08-05,2001-08-12,STD,0.733,7542374,0.720,11799625,0.013,0.650,0.766
2001-225,2001-08-13,2001-08-20,STD,0.720,8000221,0.723,11799629,-0.003,0.664,0.765
2001-233,2001-08-21,2001-08-28,STD,0.713,8073525,0.725,11799633,-0.012,0.674,0.766
2001-241,2001-08-29,2001-09-05,STD,0.727,8360238,0.716,11799633,0.011,0.679,0.762
2001-249,2001-09-06,2001-09-13,STD,0.691,11184795,0.707,11799633,-0.016,0.667,0.753
2001-257,2001-09-14,2001-09-21,STD,0.691,11387561,0.697,11799633,-0.006,0.653,0.731
2001-265,2001-09-22,2001-09-29,STD,0.684,10502495,0.687,11799633,-0.003,0.648,0.718
2001-273,2001-09-30,2001-10-07,STD,0.675,10734867,0.670,11799633,0.005,0.645,0.719
2001-281,2001-10-08,2001-10-15,STD,0.650,10562727,0.654,11799633,-0.004,0.629,0.694
2001-289,2001-10-16,2001-10-23,STD,0.624,11615111,0.635,11799633,-0.011,0.601,0.683
2001-297,2001-10-24,2001-10-31,STD,0.607,8330143,0.622,11799633,-0.015,0.580,0.672
2001-305,2001-11-01,2001-11-08,STD,0.596,11468685,0.595,11799633,0.001,0.537,0.647
2001-313,2001-11-09,2001-11-16,STD,0.571,11213476,0.569,11799633,0.002,0.499,0.624
2001-321,2001-11-17,2001-11-24,STD,0.547,11303898,0.537,11799633,0.010,0.469,0.587
2001-329,2001-11-25,2001-12-02,STD,0.515,11792660,0.507,11799633,0.008,0.429,0.582
2001-337,2001-12-03,2001-12-10,STD,0.485,11690841,0.471,11799633,0.014,0.398,0.551
2001-345,2001-12-11,2001-12-18,STD,0.457,11770639,0.440,11799633,0.017,0.378,0.535
2001-353,2001-12-19,2001-12-26,STD,0.419,11794955,0.405,11799633,0.014,0.344,0.501
2001-361,2001-12-27,2002-01-03,STD,0.393,11768149,0.381,11799633,0.012,0.331,0.481
2002-001,2002-01-01,2002-01-08,STD,0.382,11548411,0.365,11799633,0.017,0.320,0.446
2002-009,2002-01-09,2002-01-16,STD,0.358,11152922,0.346,11799633,0.012,0.299,0.430
2002-017,2002-01-17,2002-01-24,STD,0.342,11258114,0.334,11799633,0.008,0.299,0.399
2002-025,2002-01-25,2002-02-01,STD,0.328,11792365,0.324,11799633,0.004,0.285,0.394
2002-033,2002-02-02,2002-02-09,STD,0.324,11798922,0.317,11799633,0.007,0.267,0.389
2002-041,2002-02-10,2002-02-17,STD,0.282,11788061,0.313,11799633,-0.031,0.280,0.370
2002-049,2002-02-18,2002-02-25,STD,0.318,11796849,0.312,11799633,0.006,0.270,0.371
2002-057,2002-02-26,2002-03-05,STD,0.301,11789991,0.311,11799633,-0.010,0.267,0.364
2002-065,2002-03-06,2002-03-13,STD,0.321,11550368,0.318,11799633,0.003,0.236,0.364
2002-073,2002-03-14,2002-03-21,STD,0.311,7991376,0.323,11799633,-0.012,0.273,0.373
2002-081,2002-03-22,2002-03-29,STD,0.262,3468132,0.326,11799633,-0.064,0.262,0.390
2002-089,2002-03-30,2002-04-06,STD,0.359,10710818,0.345,11799633,0.014,0.296,0.402
2002-097,2002-04-07,2002-04-14,STD,0.370,11710217,0.360,11799633,0.010,0.285,0.415
2002-105,2002-04-15,2002-04-22,STD,0.368,11266713,0.374,11799633,-0.006,0.306,0.453
2002-113,2002-04-23,2002-04-30,STD,0.372,11418907,0.398,11799633,-0.026,0.336,0.478
2002-121,2002-05-01,2002-05-08,STD,0.411,11001006,0.428,11799633,-0.017,0.361,0.538
2002-129,2002-05-09,2002-05-16,STD,0.431,11457388,0.468,11799633,-0.037,0.397,0.608
2002-137,2002-05-17,2002-05-24,STD,0.453,11604461,0.501,11799633,-0.048,0.386,0.612
