GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:12:27 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28608
MAX SAMPLE COUNT,16511307

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.693,6528154,0.621,16507301,0.072,0.444,0.706
2001-009,2001-01-09,2001-01-16,STD,0.703,8491415,0.624,16507226,0.079,0.446,0.708
2001-017,2001-01-17,2001-01-24,STD,0.710,5213002,0.637,16508741,0.073,0.503,0.718
2001-025,2001-01-25,2001-02-01,STD,0.700,10384539,0.631,16478375,0.069,0.527,0.710
2001-033,2001-02-02,2001-02-09,STD,0.705,10640401,0.635,16500493,0.070,0.546,0.712
2001-041,2001-02-10,2001-02-17,STD,0.709,10684654,0.642,16508593,0.067,0.535,0.715
2001-049,2001-02-18,2001-02-25,STD,0.698,9771997,0.640,16506549,0.058,0.569,0.708
2001-057,2001-02-26,2001-03-05,STD,0.676,12443804,0.649,16510628,0.027,0.565,0.702
2001-065,2001-03-06,2001-03-13,STD,0.671,10401717,0.644,16498057,0.027,0.571,0.705
2001-073,2001-03-14,2001-03-21,STD,0.683,10472127,0.652,16504908,0.031,0.580,0.704
2001-081,2001-03-22,2001-03-29,STD,0.678,9506939,0.657,16496996,0.021,0.567,0.729
2001-089,2001-03-30,2001-04-06,STD,0.678,9506876,0.671,16489200,0.007,0.635,0.721
2001-097,2001-04-07,2001-04-14,STD,0.699,9412724,0.671,16447205,0.028,0.608,0.700
2001-105,2001-04-15,2001-04-22,STD,0.689,9707607,0.673,16473101,0.016,0.609,0.717
2001-113,2001-04-23,2001-04-30,STD,0.677,11417247,0.669,16493312,0.008,0.632,0.705
2001-121,2001-05-01,2001-05-08,STD,0.667,12109709,0.666,16477816,0.001,0.621,0.699
2001-129,2001-05-09,2001-05-16,STD,0.643,12711240,0.647,16497486,-0.004,0.594,0.681
2001-137,2001-05-17,2001-05-24,STD,0.623,12734328,0.627,16509662,-0.004,0.569,0.674
2001-145,2001-05-25,2001-06-01,STD,0.610,15022236,0.601,16506995,0.009,0.546,0.645
2001-153,2001-06-02,2001-06-09,STD,0.579,13656380,0.581,16510487,-0.002,0.520,0.617
2001-161,2001-06-10,2001-06-17,STD,0.561,14631086,0.554,16510800,0.007,0.499,0.594
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.526,16510063,#N/A,0.464,0.576
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.501,16509573,#N/A,0.453,0.543
2001-185,2001-07-04,2001-07-11,STD,0.482,14076673,0.480,16510803,0.002,0.442,0.527
2001-193,2001-07-12,2001-07-19,STD,0.470,15722747,0.458,16510885,0.012,0.416,0.511
2001-201,2001-07-20,2001-07-27,STD,0.449,14864016,0.438,16510551,0.011,0.389,0.485
2001-209,2001-07-28,2001-08-04,STD,0.431,14770345,0.421,16510590,0.010,0.387,0.470
2001-217,2001-08-05,2001-08-12,STD,0.428,15897666,0.407,16510747,0.021,0.359,0.450
2001-225,2001-08-13,2001-08-20,STD,0.421,15695518,0.397,16510694,0.024,0.317,0.441
2001-233,2001-08-21,2001-08-28,STD,0.395,15336357,0.389,16510907,0.006,0.360,0.415
2001-241,2001-08-29,2001-09-05,STD,0.379,14400370,0.379,16510796,0.000,0.349,0.412
2001-249,2001-09-06,2001-09-13,STD,0.386,15523877,0.376,16510786,0.010,0.344,0.412
2001-257,2001-09-14,2001-09-21,STD,0.374,14478896,0.372,16510812,0.002,0.344,0.402
2001-265,2001-09-22,2001-09-29,STD,0.388,14560603,0.370,16510266,0.018,0.337,0.397
