GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:09:55 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28522
MAX SAMPLE COUNT,1062951

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.341,1043155,0.370,1062951,-0.029,0.293,0.437
2001-009,2001-01-09,2001-01-16,STD,0.344,1024489,0.344,1062951,0.000,0.226,0.411
2001-017,2001-01-17,2001-01-24,STD,0.329,1046574,0.333,1062951,-0.004,0.278,0.381
2001-025,2001-01-25,2001-02-01,STD,0.305,1050992,0.334,1062951,-0.029,0.251,0.395
2001-033,2001-02-02,2001-02-09,STD,0.324,993218,0.332,1062951,-0.008,0.250,0.389
2001-041,2001-02-10,2001-02-17,STD,0.302,1060560,0.334,1062951,-0.032,0.260,0.390
2001-049,2001-02-18,2001-02-25,STD,0.313,1004519,0.340,1062947,-0.027,0.276,0.399
2001-057,2001-02-26,2001-03-05,STD,0.337,943661,0.358,1062951,-0.021,0.290,0.415
2001-065,2001-03-06,2001-03-13,STD,0.348,962052,0.380,1062946,-0.032,0.263,0.449
2001-073,2001-03-14,2001-03-21,STD,0.369,975630,0.398,1062951,-0.029,0.299,0.486
2001-081,2001-03-22,2001-03-29,STD,0.375,878817,0.418,1062907,-0.043,0.288,0.494
2001-089,2001-03-30,2001-04-06,STD,0.435,1054555,0.439,1062951,-0.004,0.355,0.516
2001-097,2001-04-07,2001-04-14,STD,0.416,867800,0.464,1062860,-0.048,0.379,0.528
2001-105,2001-04-15,2001-04-22,STD,0.410,748065,0.483,1062853,-0.073,0.377,0.560
2001-113,2001-04-23,2001-04-30,STD,0.502,779066,0.513,1062951,-0.011,0.260,0.610
2001-121,2001-05-01,2001-05-08,STD,0.503,521486,0.533,1062939,-0.030,0.450,0.687
2001-129,2001-05-09,2001-05-16,STD,0.550,643912,0.563,1062842,-0.013,0.499,0.633
2001-137,2001-05-17,2001-05-24,STD,0.501,587584,0.567,1060821,-0.066,0.449,0.628
2001-145,2001-05-25,2001-06-01,STD,0.632,704328,0.603,1062679,0.029,0.504,0.672
2001-153,2001-06-02,2001-06-09,STD,0.624,528519,0.623,1061790,0.001,0.540,0.726
2001-161,2001-06-10,2001-06-17,STD,0.598,326812,0.617,1061057,-0.019,0.488,0.679
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.639,1054863,#N/A,0.557,0.694
