GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:07:44 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28514
MAX SAMPLE COUNT,2876086

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.182,2451834,0.193,2870085,-0.011,0.165,0.214
2001-009,2001-01-09,2001-01-16,STD,0.197,2426085,0.201,2861477,-0.004,0.155,0.239
2001-017,2001-01-17,2001-01-24,STD,0.185,2489637,0.197,2869585,-0.012,0.159,0.225
2001-025,2001-01-25,2001-02-01,STD,0.187,2497751,0.198,2873342,-0.011,0.162,0.227
2001-033,2001-02-02,2001-02-09,STD,0.160,2496961,0.195,2873565,-0.035,0.160,0.220
2001-041,2001-02-10,2001-02-17,STD,0.170,2482626,0.199,2873105,-0.029,0.155,0.221
2001-049,2001-02-18,2001-02-25,STD,0.172,2583140,0.201,2874450,-0.029,0.137,0.233
2001-057,2001-02-26,2001-03-05,STD,0.177,2668808,0.201,2875752,-0.024,0.158,0.230
2001-065,2001-03-06,2001-03-13,STD,0.198,2847484,0.205,2875613,-0.007,0.159,0.240
2001-073,2001-03-14,2001-03-21,STD,0.194,2839426,0.208,2875706,-0.014,0.153,0.245
2001-081,2001-03-22,2001-03-29,STD,0.187,2824358,0.210,2876047,-0.023,0.100,0.241
2001-089,2001-03-30,2001-04-06,STD,0.186,2852885,0.211,2875936,-0.025,0.154,0.240
2001-097,2001-04-07,2001-04-14,STD,0.168,2628366,0.208,2876069,-0.040,0.165,0.236
2001-105,2001-04-15,2001-04-22,STD,0.181,2795208,0.206,2876062,-0.025,0.160,0.233
2001-113,2001-04-23,2001-04-30,STD,0.176,2830510,0.201,2876036,-0.025,0.160,0.241
2001-121,2001-05-01,2001-05-08,STD,0.163,2843064,0.189,2876069,-0.026,0.149,0.232
2001-129,2001-05-09,2001-05-16,STD,0.157,2849921,0.180,2876067,-0.023,0.150,0.213
2001-137,2001-05-17,2001-05-24,STD,0.143,2360967,0.170,2876057,-0.027,0.143,0.194
2001-145,2001-05-25,2001-06-01,STD,0.149,2871118,0.164,2876076,-0.015,0.146,0.181
2001-153,2001-06-02,2001-06-09,STD,0.144,2870915,0.158,2876077,-0.014,0.139,0.172
2001-161,2001-06-10,2001-06-17,STD,0.145,2865569,0.156,2876061,-0.011,0.138,0.169
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.152,2876078,#N/A,0.135,0.163
2001-177,2001-06-26,2001-07-03,STD,0.148,2758250,0.150,2876061,-0.002,0.136,0.159
2001-185,2001-07-04,2001-07-11,STD,0.133,2870812,0.147,2876066,-0.014,0.131,0.156
2001-193,2001-07-12,2001-07-19,STD,0.134,2872783,0.146,2876077,-0.012,0.129,0.154
2001-201,2001-07-20,2001-07-27,STD,0.133,2865460,0.145,2876067,-0.012,0.132,0.153
2001-209,2001-07-28,2001-08-04,STD,0.135,2873984,0.145,2876076,-0.010,0.133,0.156
2001-217,2001-08-05,2001-08-12,STD,0.129,2872220,0.145,2876071,-0.016,0.128,0.151
2001-225,2001-08-13,2001-08-20,STD,0.133,2861853,0.145,2876062,-0.012,0.133,0.157
2001-233,2001-08-21,2001-08-28,STD,0.134,2872589,0.146,2876067,-0.012,0.132,0.163
2001-241,2001-08-29,2001-09-05,STD,0.134,2871698,0.146,2876071,-0.012,0.134,0.160
2001-249,2001-09-06,2001-09-13,STD,0.137,2867614,0.147,2876059,-0.010,0.133,0.163
2001-257,2001-09-14,2001-09-21,STD,0.137,2852190,0.150,2876063,-0.013,0.134,0.168
2001-265,2001-09-22,2001-09-29,STD,0.135,2854727,0.152,2876056,-0.017,0.133,0.178
2001-273,2001-09-30,2001-10-07,STD,0.126,2863864,0.155,2876068,-0.029,0.126,0.177
2001-281,2001-10-08,2001-10-15,STD,0.143,2870404,0.157,2876031,-0.014,0.137,0.181
2001-289,2001-10-16,2001-10-23,STD,0.140,2869796,0.161,2876067,-0.021,0.140,0.180
2001-297,2001-10-24,2001-10-31,STD,0.145,2845041,0.163,2875985,-0.018,0.142,0.187
2001-305,2001-11-01,2001-11-08,STD,0.145,2733310,0.169,2875931,-0.024,0.145,0.195
2001-313,2001-11-09,2001-11-16,STD,0.146,2736152,0.171,2875795,-0.025,0.146,0.204
2001-321,2001-11-17,2001-11-24,STD,0.133,2288691,0.173,2874234,-0.040,0.133,0.202
2001-329,2001-11-25,2001-12-02,STD,0.143,2301186,0.177,2873573,-0.034,0.143,0.201
2001-337,2001-12-03,2001-12-10,STD,0.140,2273417,0.184,2873742,-0.044,0.140,0.215
2001-345,2001-12-11,2001-12-18,STD,0.153,2537376,0.186,2873110,-0.033,0.153,0.218
2001-353,2001-12-19,2001-12-26,STD,0.147,2212548,0.188,2872209,-0.041,0.147,0.221
2001-361,2001-12-27,2002-01-03,STD,0.165,2505996,0.193,2873852,-0.028,0.165,0.226
2002-001,2002-01-01,2002-01-08,STD,0.165,2441352,0.193,2870085,-0.028,0.165,0.214
2002-009,2002-01-09,2002-01-16,STD,0.158,2336874,0.201,2861477,-0.043,0.155,0.239
2002-017,2002-01-17,2002-01-24,STD,0.164,2428015,0.197,2869585,-0.033,0.159,0.225
2002-025,2002-01-25,2002-02-01,STD,0.162,2379934,0.198,2873342,-0.036,0.162,0.227
2002-033,2002-02-02,2002-02-09,STD,0.161,2342312,0.195,2873565,-0.034,0.160,0.220
2002-041,2002-02-10,2002-02-17,STD,0.155,2501022,0.199,2873105,-0.044,0.155,0.221
2002-049,2002-02-18,2002-02-25,STD,0.137,2351973,0.201,2874450,-0.064,0.137,0.233
2002-057,2002-02-26,2002-03-05,STD,0.158,2674049,0.201,2875752,-0.043,0.158,0.230
2002-065,2002-03-06,2002-03-13,STD,0.159,2659601,0.205,2875613,-0.046,0.159,0.240
2002-073,2002-03-14,2002-03-21,STD,0.153,2536001,0.208,2875706,-0.055,0.153,0.245
2002-081,2002-03-22,2002-03-29,STD,0.100,908400,0.210,2876047,-0.110,0.100,0.241
2002-089,2002-03-30,2002-04-06,STD,0.155,2307353,0.211,2875936,-0.056,0.154,0.240
2002-097,2002-04-07,2002-04-14,STD,0.165,2853044,0.208,2876069,-0.043,0.165,0.236
2002-105,2002-04-15,2002-04-22,STD,0.160,2733002,0.206,2876062,-0.046,0.160,0.233
2002-113,2002-04-23,2002-04-30,STD,0.160,2848597,0.201,2876036,-0.041,0.160,0.241
2002-121,2002-05-01,2002-05-08,STD,0.149,2705705,0.189,2876069,-0.040,0.149,0.232
2002-129,2002-05-09,2002-05-16,STD,0.150,2832767,0.180,2876067,-0.030,0.150,0.213
2002-137,2002-05-17,2002-05-24,STD,0.145,2836550,0.170,2876057,-0.025,0.143,0.194
2002-145,2002-05-25,2002-06-01,STD,0.146,2867516,0.164,2876076,-0.018,0.146,0.181
2002-153,2002-06-02,2002-06-09,STD,0.139,2868757,0.158,2876077,-0.019,0.139,0.172
2002-161,2002-06-10,2002-06-17,STD,0.138,2870427,0.156,2876061,-0.018,0.138,0.169
2002-169,2002-06-18,2002-06-25,STD,0.135,2871976,0.152,2876078,-0.017,0.135,0.163
2002-177,2002-06-26,2002-07-03,STD,0.136,2869317,0.150,2876061,-0.014,0.136,0.159
2002-185,2002-07-04,2002-07-11,STD,0.131,2872613,0.147,2876066,-0.016,0.131,0.156
2002-193,2002-07-12,2002-07-19,STD,0.129,2868684,0.146,2876077,-0.017,0.129,0.154
2002-201,2002-07-20,2002-07-27,STD,0.132,2872899,0.145,2876067,-0.013,0.132,0.153
2002-209,2002-07-28,2002-08-04,STD,0.133,2870103,0.145,2876076,-0.012,0.133,0.156
2002-217,2002-08-05,2002-08-12,STD,0.128,2843291,0.145,2876071,-0.017,0.128,0.151
2002-225,2002-08-13,2002-08-20,STD,0.134,2872397,0.145,2876062,-0.011,0.133,0.157
2002-233,2002-08-21,2002-08-28,STD,0.132,2837958,0.146,2876067,-0.014,0.132,0.163
2002-241,2002-08-29,2002-09-05,STD,0.136,2854114,0.146,2876071,-0.010,0.134,0.160
2002-249,2002-09-06,2002-09-13,STD,0.137,2862815,0.147,2876059,-0.010,0.133,0.163
2002-257,2002-09-14,2002-09-21,STD,0.134,2864551,0.150,2876063,-0.016,0.134,0.168
2002-265,2002-09-22,2002-09-29,STD,0.133,2705818,0.152,2876056,-0.019,0.133,0.178
2002-273,2002-09-30,2002-10-07,STD,0.140,2816448,0.155,2876068,-0.015,0.126,0.177
2002-281,2002-10-08,2002-10-15,STD,0.144,2817514,0.157,2876031,-0.013,0.137,0.181
2002-289,2002-10-16,2002-10-23,STD,0.144,2859988,0.161,2876067,-0.017,0.140,0.180
2002-297,2002-10-24,2002-10-31,STD,0.145,2867822,0.163,2875985,-0.018,0.142,0.187
2002-305,2002-11-01,2002-11-08,STD,0.147,2655109,0.169,2875931,-0.022,0.145,0.195
2002-313,2002-11-09,2002-11-16,STD,0.153,2650611,0.171,2875795,-0.018,0.146,0.204
2002-321,2002-11-17,2002-11-24,STD,0.134,2348409,0.173,2874234,-0.039,0.133,0.202
2002-329,2002-11-25,2002-12-02,STD,0.148,2366295,0.177,2873573,-0.029,0.143,0.201
2002-337,2002-12-03,2002-12-10,STD,0.166,2476265,0.184,2873742,-0.018,0.140,0.215
2002-345,2002-12-11,2002-12-18,STD,0.172,2414133,0.186,2873110,-0.014,0.153,0.218
2002-353,2002-12-19,2002-12-26,STD,0.183,2503086,0.188,2872209,-0.005,0.147,0.221
2002-361,2002-12-27,2003-01-03,STD,0.166,2343844,0.193,2873852,-0.027,0.165,0.226
2003-001,2003-01-01,2003-01-08,STD,0.179,2417670,0.193,2870085,-0.014,0.165,0.214
2003-009,2003-01-09,2003-01-16,STD,0.173,1982843,0.201,2861477,-0.028,0.155,0.239
2003-017,2003-01-17,2003-01-24,STD,0.159,2256150,0.197,2869585,-0.038,0.159,0.225
2003-025,2003-01-25,2003-02-01,STD,0.187,2381343,0.198,2873342,-0.011,0.162,0.227
2003-033,2003-02-02,2003-02-09,STD,0.190,2377255,0.195,2873565,-0.005,0.160,0.220
2003-041,2003-02-10,2003-02-17,STD,0.180,2283194,0.199,2873105,-0.019,0.155,0.221
2003-049,2003-02-18,2003-02-25,STD,0.195,2505053,0.201,2874450,-0.006,0.137,0.233
2003-057,2003-02-26,2003-03-05,STD,0.206,2570917,0.201,2875752,0.005,0.158,0.230
2003-065,2003-03-06,2003-03-13,STD,0.201,2613470,0.205,2875613,-0.004,0.159,0.240
2003-073,2003-03-14,2003-03-21,STD,0.211,2619388,0.208,2875706,0.003,0.153,0.245
2003-081,2003-03-22,2003-03-29,STD,0.215,2702857,0.210,2876047,0.005,0.100,0.241
2003-089,2003-03-30,2003-04-06,STD,0.201,2233928,0.211,2875936,-0.010,0.154,0.240
2003-097,2003-04-07,2003-04-14,STD,0.217,2770210,0.208,2876069,0.009,0.165,0.236
2003-105,2003-04-15,2003-04-22,STD,0.224,2777977,0.206,2876062,0.018,0.160,0.233
2003-113,2003-04-23,2003-04-30,STD,0.222,2866388,0.201,2876036,0.021,0.160,0.241
2003-121,2003-05-01,2003-05-08,STD,0.206,2863073,0.189,2876069,0.017,0.149,0.232
2003-129,2003-05-09,2003-05-16,STD,0.189,2864553,0.180,2876067,0.009,0.150,0.213
2003-137,2003-05-17,2003-05-24,STD,0.182,2861974,0.170,2876057,0.012,0.143,0.194
2003-145,2003-05-25,2003-06-01,STD,0.167,2869833,0.164,2876076,0.003,0.146,0.181
2003-153,2003-06-02,2003-06-09,STD,0.160,2869051,0.158,2876077,0.002,0.139,0.172
2003-161,2003-06-10,2003-06-17,STD,0.159,2871152,0.156,2876061,0.003,0.138,0.169
2003-169,2003-06-18,2003-06-25,STD,0.153,2870457,0.152,2876078,0.001,0.135,0.163
2003-177,2003-06-26,2003-07-03,STD,0.146,2871654,0.150,2876061,-0.004,0.136,0.159
2003-185,2003-07-04,2003-07-11,STD,0.146,2870757,0.147,2876066,-0.001,0.131,0.156
2003-193,2003-07-12,2003-07-19,STD,0.141,2873048,0.146,2876077,-0.005,0.129,0.154
2003-201,2003-07-20,2003-07-27,STD,0.141,2873043,0.145,2876067,-0.004,0.132,0.153
2003-209,2003-07-28,2003-08-04,STD,0.145,2869661,0.145,2876076,0.000,0.133,0.156
