GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:05:55 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28499
MAX SAMPLE COUNT,3832196

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.534,3358396,0.560,3831656,-0.026,0.447,0.662
2001-009,2001-01-09,2001-01-16,STD,0.534,3644691,0.534,3831354,0.000,0.418,0.631
2001-017,2001-01-17,2001-01-24,STD,0.484,2953930,0.512,3832132,-0.028,0.407,0.600
2001-025,2001-01-25,2001-02-01,STD,0.498,3815156,0.498,3832158,0.000,0.407,0.575
2001-033,2001-02-02,2001-02-09,STD,0.472,3688561,0.484,3832108,-0.012,0.398,0.608
2001-041,2001-02-10,2001-02-17,STD,0.505,3729156,0.470,3831728,0.035,0.389,0.592
2001-049,2001-02-18,2001-02-25,STD,0.473,3470107,0.464,3832118,0.009,0.375,0.590
2001-057,2001-02-26,2001-03-05,STD,0.468,3791642,0.467,3831312,0.001,0.354,0.634
2001-065,2001-03-06,2001-03-13,STD,0.462,2995307,0.481,3831612,-0.019,0.411,0.615
2001-073,2001-03-14,2001-03-21,STD,0.494,3292667,0.487,3830900,0.007,0.392,0.588
2001-081,2001-03-22,2001-03-29,STD,0.531,2465946,0.527,3831425,0.004,0.397,0.661
2001-089,2001-03-30,2001-04-06,STD,0.575,2729042,0.563,3831641,0.012,0.452,0.666
2001-097,2001-04-07,2001-04-14,STD,0.656,3018977,0.594,3831326,0.062,0.471,0.691
2001-105,2001-04-15,2001-04-22,STD,0.644,3055183,0.639,3825679,0.005,0.498,0.711
2001-113,2001-04-23,2001-04-30,STD,0.698,3269387,0.668,3826391,0.030,0.559,0.745
2001-121,2001-05-01,2001-05-08,STD,0.709,3322129,0.693,3823771,0.016,0.605,0.741
2001-129,2001-05-09,2001-05-16,STD,0.714,3138623,0.710,3829566,0.004,0.638,0.756
2001-137,2001-05-17,2001-05-24,STD,0.719,3183250,0.714,3831197,0.005,0.654,0.752
2001-145,2001-05-25,2001-06-01,STD,0.723,3102327,0.717,3831155,0.006,0.678,0.752
2001-153,2001-06-02,2001-06-09,STD,0.712,2606129,0.708,3831000,0.004,0.663,0.754
2001-161,2001-06-10,2001-06-17,STD,0.732,2212928,0.696,3831391,0.036,0.653,0.732
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.693,3829546,#N/A,0.629,0.745
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.682,3830064,#N/A,0.628,0.738
2001-185,2001-07-04,2001-07-11,STD,0.683,3609973,0.673,3831991,0.010,0.601,0.726
2001-193,2001-07-12,2001-07-19,STD,0.667,3144614,0.661,3832011,0.006,0.594,0.726
2001-201,2001-07-20,2001-07-27,STD,0.680,2951827,0.658,3828632,0.022,0.584,0.713
2001-209,2001-07-28,2001-08-04,STD,0.698,2909285,0.660,3829183,0.038,0.587,0.704
2001-217,2001-08-05,2001-08-12,STD,0.688,3467281,0.656,3824808,0.032,0.569,0.716
2001-225,2001-08-13,2001-08-20,STD,0.688,2969878,0.658,3830442,0.030,0.580,0.719
2001-233,2001-08-21,2001-08-28,STD,0.691,3335878,0.658,3830442,0.033,0.597,0.701
2001-241,2001-08-29,2001-09-05,STD,0.681,2911107,0.658,3829257,0.023,0.587,0.709
2001-249,2001-09-06,2001-09-13,STD,0.681,3577879,0.657,3829105,0.024,0.599,0.705
2001-257,2001-09-14,2001-09-21,STD,0.671,3142788,0.655,3827608,0.016,0.604,0.699
2001-265,2001-09-22,2001-09-29,STD,0.664,3334789,0.655,3828281,0.009,0.591,0.693
2001-273,2001-09-30,2001-10-07,STD,0.668,2694571,0.655,3827435,0.013,0.602,0.697
2001-281,2001-10-08,2001-10-15,STD,0.656,2887524,0.655,3828326,0.001,0.603,0.721
2001-289,2001-10-16,2001-10-23,STD,0.655,3182944,0.660,3822628,-0.005,0.604,0.710
2001-297,2001-10-24,2001-10-31,STD,0.632,1360536,0.667,3822148,-0.035,0.617,0.722
2001-305,2001-11-01,2001-11-08,STD,0.671,2759586,0.669,3825468,0.002,0.627,0.713
2001-313,2001-11-09,2001-11-16,STD,0.688,2167218,0.667,3823698,0.021,0.620,0.703
2001-321,2001-11-17,2001-11-24,STD,0.692,3197619,0.662,3826819,0.030,0.616,0.717
2001-329,2001-11-25,2001-12-02,STD,0.675,3760706,0.649,3827851,0.026,0.581,0.708
2001-337,2001-12-03,2001-12-10,STD,0.654,3203039,0.633,3827250,0.021,0.564,0.709
2001-345,2001-12-11,2001-12-18,STD,0.662,3777841,0.619,3830613,0.043,0.533,0.700
2001-353,2001-12-19,2001-12-26,STD,0.603,3528405,0.589,3831086,0.014,0.456,0.695
2001-361,2001-12-27,2002-01-03,STD,0.550,3149966,0.575,3831481,-0.025,0.448,0.680
2002-001,2002-01-01,2002-01-08,STD,0.506,2185712,0.560,3831656,-0.054,0.447,0.662
2002-009,2002-01-09,2002-01-16,STD,0.551,3424883,0.534,3831354,0.017,0.418,0.631
2002-017,2002-01-17,2002-01-24,STD,0.528,3309769,0.512,3832132,0.016,0.407,0.600
2002-025,2002-01-25,2002-02-01,STD,0.488,3689205,0.498,3832158,-0.010,0.407,0.575
2002-033,2002-02-02,2002-02-09,STD,0.471,3805309,0.484,3832108,-0.013,0.398,0.608
2002-041,2002-02-10,2002-02-17,STD,0.393,3135370,0.470,3831728,-0.077,0.389,0.592
2002-049,2002-02-18,2002-02-25,STD,0.450,3552160,0.464,3832118,-0.014,0.375,0.590
2002-057,2002-02-26,2002-03-05,STD,0.438,3129182,0.467,3831312,-0.029,0.354,0.634
2002-065,2002-03-06,2002-03-13,STD,0.519,3214595,0.481,3831612,0.038,0.411,0.615
2002-073,2002-03-14,2002-03-21,STD,0.533,2905636,0.487,3830900,0.046,0.392,0.588
2002-081,2002-03-22,2002-03-29,STD,0.647,364383,0.527,3831425,0.120,0.397,0.661
2002-089,2002-03-30,2002-04-06,STD,0.602,3040243,0.563,3831641,0.039,0.452,0.666
2002-097,2002-04-07,2002-04-14,STD,0.634,3541576,0.594,3831326,0.040,0.471,0.691
2002-105,2002-04-15,2002-04-22,STD,0.671,2712921,0.639,3825679,0.032,0.498,0.711
2002-113,2002-04-23,2002-04-30,STD,0.686,3601224,0.668,3826391,0.018,0.559,0.745
2002-121,2002-05-01,2002-05-08,STD,0.707,2107331,0.693,3823771,0.014,0.605,0.741
2002-129,2002-05-09,2002-05-16,STD,0.723,3162841,0.710,3829566,0.013,0.638,0.756
2002-137,2002-05-17,2002-05-24,STD,0.733,3616609,0.714,3831197,0.019,0.654,0.752
2002-145,2002-05-25,2002-06-01,STD,0.720,3624283,0.717,3831155,0.003,0.678,0.752
2002-153,2002-06-02,2002-06-09,STD,0.703,3732865,0.708,3831000,-0.005,0.663,0.754
2002-161,2002-06-10,2002-06-17,STD,0.708,3531665,0.696,3831391,0.012,0.653,0.732
2002-169,2002-06-18,2002-06-25,STD,0.691,3520502,0.693,3829546,-0.002,0.629,0.745
2002-177,2002-06-26,2002-07-03,STD,0.667,2918107,0.682,3830064,-0.015,0.628,0.738
2002-185,2002-07-04,2002-07-11,STD,0.656,3802436,0.673,3831991,-0.017,0.601,0.726
2002-193,2002-07-12,2002-07-19,STD,0.647,3522631,0.661,3832011,-0.014,0.594,0.726
2002-201,2002-07-20,2002-07-27,STD,0.635,3601173,0.658,3828632,-0.023,0.584,0.713
2002-209,2002-07-28,2002-08-04,STD,0.675,3095092,0.660,3829183,0.015,0.587,0.704
2002-217,2002-08-05,2002-08-12,STD,0.648,2647392,0.656,3824808,-0.008,0.569,0.716
2002-225,2002-08-13,2002-08-20,STD,0.646,3496094,0.658,3830442,-0.012,0.580,0.719
