GLAM Project
NASA/GSFC/GIMMS
USDA/FAS/IPAD
Created on 2023-02-06 04:13:11 UTC

DB VERSION,v11
SAT,Terra EOS AM
PRODUCT,MODIS NDVI 8-day
MEAN,2001-2021
MASK,MOD44W_2009_land
SHAPE,ADM
ID(s),28610
MAX SAMPLE COUNT,7225455

ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-001,2001-01-01,2001-01-08,STD,0.583,6267171,0.561,7225455,0.022,0.453,0.630
2001-009,2001-01-09,2001-01-16,STD,0.558,6595685,0.569,7225455,-0.011,0.476,0.670
2001-017,2001-01-17,2001-01-24,STD,0.564,5143512,0.586,7225455,-0.022,0.500,0.686
2001-025,2001-01-25,2001-02-01,STD,0.523,3859075,0.596,7225449,-0.073,0.523,0.700
2001-033,2001-02-02,2001-02-09,STD,0.566,4400977,0.602,7225451,-0.036,0.525,0.680
2001-041,2001-02-10,2001-02-17,STD,0.571,2959839,0.609,7225455,-0.038,0.514,0.694
2001-049,2001-02-18,2001-02-25,STD,0.652,1712392,0.616,7225455,0.036,0.519,0.708
2001-057,2001-02-26,2001-03-05,STD,0.661,2084451,0.613,7225455,0.048,0.523,0.705
2001-065,2001-03-06,2001-03-13,STD,0.672,4721737,0.615,7225455,0.057,0.497,0.687
2001-073,2001-03-14,2001-03-21,STD,0.660,2201247,0.609,7225455,0.051,0.504,0.677
2001-081,2001-03-22,2001-03-29,STD,0.673,5997836,0.602,7225455,0.071,0.527,0.673
2001-089,2001-03-30,2001-04-06,STD,0.651,5764133,0.589,7225455,0.062,0.443,0.652
2001-097,2001-04-07,2001-04-14,STD,0.639,6855068,0.576,7225455,0.063,0.453,0.649
2001-105,2001-04-15,2001-04-22,STD,0.620,6862218,0.558,7225455,0.062,0.476,0.622
2001-113,2001-04-23,2001-04-30,STD,0.589,7221894,0.540,7225455,0.049,0.462,0.618
2001-121,2001-05-01,2001-05-08,STD,0.573,7216052,0.518,7225455,0.055,0.430,0.583
2001-129,2001-05-09,2001-05-16,STD,0.550,7224122,0.496,7225455,0.054,0.411,0.577
2001-137,2001-05-17,2001-05-24,STD,0.530,7191725,0.479,7225455,0.051,0.402,0.552
2001-145,2001-05-25,2001-06-01,STD,0.511,7206970,0.461,7225455,0.050,0.385,0.536
2001-153,2001-06-02,2001-06-09,STD,0.492,7209417,0.445,7225455,0.047,0.370,0.513
2001-161,2001-06-10,2001-06-17,STD,0.482,6726954,0.429,7225455,0.053,0.362,0.504
2001-169,2001-06-18,2001-06-25,STD,#N/A,#N/A,0.414,7225455,#N/A,0.359,0.495
2001-177,2001-06-26,2001-07-03,STD,#N/A,#N/A,0.399,7225455,#N/A,0.351,0.480
2001-185,2001-07-04,2001-07-11,STD,0.432,7224516,0.390,7225455,0.042,0.342,0.462
2001-193,2001-07-12,2001-07-19,STD,0.414,7219887,0.375,7225455,0.039,0.336,0.448
2001-201,2001-07-20,2001-07-27,STD,0.396,7211762,0.361,7225455,0.035,0.323,0.424
2001-209,2001-07-28,2001-08-04,STD,0.383,7193488,0.350,7225455,0.033,0.314,0.405
2001-217,2001-08-05,2001-08-12,STD,0.369,7220914,0.338,7225455,0.031,0.311,0.399
2001-225,2001-08-13,2001-08-20,STD,0.356,7225431,0.329,7225455,0.027,0.307,0.381
2001-233,2001-08-21,2001-08-28,STD,0.342,7219586,0.320,7225455,0.022,0.299,0.365
2001-241,2001-08-29,2001-09-05,STD,0.337,7224515,0.314,7225455,0.023,0.293,0.352
2001-249,2001-09-06,2001-09-13,STD,0.337,7225436,0.309,7225455,0.028,0.288,0.340
2001-257,2001-09-14,2001-09-21,STD,0.338,7221961,0.306,7225455,0.032,0.283,0.338
2001-265,2001-09-22,2001-09-29,STD,0.342,7224869,0.304,7225455,0.038,0.285,0.342
2001-273,2001-09-30,2001-10-07,STD,0.340,7225433,0.306,7225455,0.034,0.281,0.340
2001-281,2001-10-08,2001-10-15,STD,0.341,7182448,0.307,7225455,0.034,0.279,0.341
2001-289,2001-10-16,2001-10-23,STD,0.348,7223933,0.313,7225455,0.035,0.277,0.348
2001-297,2001-10-24,2001-10-31,STD,0.359,7222828,0.321,7225455,0.038,0.276,0.359
2001-305,2001-11-01,2001-11-08,STD,0.361,7191950,0.330,7225455,0.031,0.281,0.388
2001-313,2001-11-09,2001-11-16,STD,0.389,7012277,0.347,7225455,0.042,0.297,0.459
2001-321,2001-11-17,2001-11-24,STD,0.477,4963225,0.373,7225455,0.104,0.317,0.477
2001-329,2001-11-25,2001-12-02,STD,0.516,6177736,0.411,7225455,0.105,0.350,0.529
2001-337,2001-12-03,2001-12-10,STD,0.579,4036187,0.442,7225455,0.137,0.382,0.579
2001-345,2001-12-11,2001-12-18,STD,0.608,4399342,0.494,7225455,0.114,0.425,0.608
2001-353,2001-12-19,2001-12-26,STD,0.615,6923340,0.527,7225455,0.088,0.448,0.615
2001-361,2001-12-27,2002-01-03,STD,0.606,5686442,0.551,7225455,0.055,0.461,0.638
2002-001,2002-01-01,2002-01-08,STD,0.584,7012731,0.561,7225455,0.023,0.453,0.630
2002-009,2002-01-09,2002-01-16,STD,0.599,6263938,0.569,7225455,0.030,0.476,0.670
2002-017,2002-01-17,2002-01-24,STD,0.575,6161931,0.586,7225455,-0.011,0.500,0.686
2002-025,2002-01-25,2002-02-01,STD,0.568,5784672,0.596,7225449,-0.028,0.523,0.700
2002-033,2002-02-02,2002-02-09,STD,0.580,6208343,0.602,7225451,-0.022,0.525,0.680
2002-041,2002-02-10,2002-02-17,STD,0.563,7168554,0.609,7225455,-0.046,0.514,0.694
2002-049,2002-02-18,2002-02-25,STD,0.542,6227380,0.616,7225455,-0.074,0.519,0.708
2002-057,2002-02-26,2002-03-05,STD,0.523,7184313,0.613,7225455,-0.090,0.523,0.705
2002-065,2002-03-06,2002-03-13,STD,0.497,7144862,0.615,7225455,-0.118,0.497,0.687
2002-073,2002-03-14,2002-03-21,STD,0.504,5918692,0.609,7225455,-0.105,0.504,0.677
2002-081,2002-03-22,2002-03-29,STD,0.562,3422332,0.602,7225455,-0.040,0.527,0.673
2002-089,2002-03-30,2002-04-06,STD,0.443,7223052,0.589,7225455,-0.146,0.443,0.652
2002-097,2002-04-07,2002-04-14,STD,0.453,6672386,0.576,7225455,-0.123,0.453,0.649
2002-105,2002-04-15,2002-04-22,STD,0.479,7224327,0.558,7225455,-0.079,0.476,0.622
2002-113,2002-04-23,2002-04-30,STD,0.478,7174959,0.540,7225455,-0.062,0.462,0.618
2002-121,2002-05-01,2002-05-08,STD,0.471,7225219,0.518,7225455,-0.047,0.430,0.583
2002-129,2002-05-09,2002-05-16,STD,0.455,7224661,0.496,7225455,-0.041,0.411,0.577
2002-137,2002-05-17,2002-05-24,STD,0.440,7048151,0.479,7225455,-0.039,0.402,0.552
2002-145,2002-05-25,2002-06-01,STD,0.430,7225327,0.461,7225455,-0.031,0.385,0.536
2002-153,2002-06-02,2002-06-09,STD,0.437,7058888,0.445,7225455,-0.008,0.370,0.513
2002-161,2002-06-10,2002-06-17,STD,0.412,7224184,0.429,7225455,-0.017,0.362,0.504
2002-169,2002-06-18,2002-06-25,STD,0.403,7154792,0.414,7225455,-0.011,0.359,0.495
2002-177,2002-06-26,2002-07-03,STD,0.395,7037658,0.399,7225455,-0.004,0.351,0.480
2002-185,2002-07-04,2002-07-11,STD,0.371,7152433,0.390,7225455,-0.019,0.342,0.462
2002-193,2002-07-12,2002-07-19,STD,0.359,7190479,0.375,7225455,-0.016,0.336,0.448
2002-201,2002-07-20,2002-07-27,STD,0.351,7224951,0.361,7225455,-0.010,0.323,0.424
2002-209,2002-07-28,2002-08-04,STD,0.339,7225093,0.350,7225455,-0.011,0.314,0.405
